TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
10642,34028,,,Nebraska National Bank,KEARNEY,NE,Y,Y
10644,,1064175,,"PERRY BANCSHARES, INC.",PERRY,OK, ,Y
10644,13366,,,Exchange Bank and Trust Company,PERRY,OK,Y,Y
10646,,2754334,,STONEBRIDGE FINANCIAL CORP.,WEST CHESTER,PA, ,Y
10646,35077,,,Stonebridge Bank,WEST CHESTER,PA,Y,Y
10647,7598,,,Riverview National Bank,MARYSVILLE,PA,Y,N
10648,,2735164,,CLARKSTON FINANCIAL CORPORATION,WATERFORD,MI, ,Y
10648,34957,,,Clarkston State Bank,CLARKSTON,MI,Y,Y
10649,,2735333,,COMMUNITY SHORES BANK CORPORATION,MUSKEGON,MI, ,Y
10649,34944,,,Community Shores Bank,MUSKEGON,MI,Y,Y
10652,,2747644,,UMPQUA HOLDINGS CORPORATION,PORTLAND,OR, ,N
10652,17266,,,Umpqua Bank,ROSEBURG,OR,Y,N
10653,,2748490,,"SYNERGY BANCSHARES, INC.",HOUMA,LA, ,Y
10653,34978,,,Synergy Bank,HOUMA,LA,Y,Y
10655,,2752125,,"CYRUS BANCSHARES, INC.",CYRUS,MN, ,N
10655,10197,,,Hometown Community Bank,CYRUS,MN,N,N
10656,,2757111,,"CAPITAL BANCORP, INC.",DELHI,LA, ,N
10656,34784,,,Commercial Capital Bank,DELHI,LA,Y,N
10659,,2764977,,SOUTH GEORGIA BANK HOLDING COMPANY,OMEGA,GA, ,N
10659,20198,,,South Georgia Banking Company,OMEGA,GA,Y,N
10660,,2772990,,AMERI-NATIONAL CORPORATION,OVERLAND PARK,KS, ,Y
10660,35014,,,National Bank of Kansas City,OVERLAND PARK,KS,Y,Y
10660,58416,,,"Heritage Bank, National Association",PHOENIX,AZ,Y,Y
10667,24540,,,Bank of New England,SALEM,NH,Y,N
10673,35260,,,"Republic Bank, Inc.",BOUNTIFUL,UT,N,N
10678,35265,,,Allegiance Community Bank,SOUTH ORANGE,NJ,Y,Y
10693,,1200665,,PIONEER DEVELOPMENT COMPANY,SERGEANT BLUFF,IA, ,N
10693,19540,,,Pioneer Bank,SERGEANT BLUFF,IA,Y,N
10695,,1208504,,"ILLINOIS VALLEY BANCORP, INC.",MORRIS,IL, ,Y
10695,3713,,,Grundy Bank,MORRIS,IL,Y,Y
10697,,2650324,,"PSB BANCGROUP, INC.",LAKE CITY,FL, ,Y
10697,34702,,,Peoples State Bank,LAKE CITY,FL,Y,Y
10698,,2711887,,"NCB HOLDINGS, INC.",CHICAGO,IL, ,Y
10698,34821,,,New Century Bank,CHICAGO,IL,Y,Y
10699,,2736899,,"OAKFIELD BANCORP., INC.",OAKFIELD,WI, ,Y
10699,9523,,,Bank of Oakfield,OAKFIELD,WI,Y,Y
10701,,2741053,,"BANK OF TEXAS BANCSHARES, INC., THE",DEVINE,TX, ,N
10701,,2741062,,"BOT FINANCIAL GROUP, INC.",CARSON CITY,NV, ,N
10701,26905,,,The Bank of Texas,DEVINE,TX,Y,N
10702,,2745604,,TOWER FINANCIAL CORPORATION,FORT WAYNE,IN, ,Y
10702,35040,,,Tower Bank & Trust Company,FORT WAYNE,IN,Y,Y
10704,,2749433,,"LIMBERLOST BANCSHARES, INC.",GENEVA,IN, ,N
10704,5775,,,Bank of Geneva,GENEVA,IN,N,N
10705,,2750952,,CITIZENS FIRST CORPORATION,BOWLING GREEN,KY, ,Y
10705,35022,,,"Citizens First Bank, Inc.",BOWLING GREEN,KY,Y,Y
10706,,2762898,,MEMPHISFIRST CORPORATION,COLLIERVILLE,TN, ,Y
10706,34982,,,Landmark Community Bank,COLLIERVILLE,TN,Y,Y
10708,,2765282,,"PFSB BANCORPORATION, INC.",PIGEON FALLS,WI, ,Y
10708,13030,,,Pigeon Falls State Bank,PIGEON FALLS,WI,Y,Y
10710,,2767660,,MILLENNIUM BANKSHARES CORPORATION,RESTON,VA, ,Y
10710,35096,,,"Millennium Bank, National Association",RESTON,VA,Y,Y
10713,,2770660,,"COMMERCE BANCORP, INC",GREENWOOD,MS, ,N
10713,9359,,,Bank of Commerce,GREENWOOD,MS,Y,N
10714,,2775142,,"COMMUNITY CAPITAL BANCSHARES, INC.",ALBANY,GA, ,Y
10714,27207,,,AB&T National Bank,DOTHAN,AL,Y,Y
10714,35029,,,"Albany Bank & Trust, National Association",ALBANY,GA,Y,Y
10715,,2777016,,"CAPITAL BANCSHARES, INC",LITTLE ROCK,AR, ,Y
10715,34562,,,The Capital Bank,LITTLE ROCK,AR,Y,Y
10717,,2787118,,"RELIANCE BANCSHARES, INC.",DES PERES,MO, ,Y
10717,35123,,,Reliance Bank,DES PERES,MO,Y,Y
10717,58129,,,"Reliance Bank, FSB",FORT MYERS,FL,Y,Y
10745,35286,,,Cornerstone Bank,MOORESTOWN,NJ,Y,Y
10768,,1208054,,"ILLINOIS NATIONAL BANCORP, INC.",SPRINGFIELD,IL, ,Y
10768,3664,,,Illinois National Bank,SPRINGFIELD,IL,Y,Y
10774,35312,,,First CornerStone Bank,KING OF PRUSSIA,PA,Y,Y
10779,,2728577,,"MACHIAS BANCORP, MHC",MACHIAS,ME, ,Y
10779,,2728586,,"MACHIAS BANCORP, INC.",MACHIAS,ME, ,Y
10779,19531,,,Machias Savings Bank,MACHIAS,ME,Y,Y
10780,,2728652,,"PETEFISH, SKILES BANCSHARES, INC.",VIRGINIA,IL, ,Y
10780,10829,,,"Petefish, Skiles & Co.",VIRGINIA,IL,Y,Y
10782,,2734073,,"ARENZVILLE BANCORP, INC",ARENZVILLE,IL, ,N
10782,3599,,,The First National Bank of Arenzville,ARENZVILLE,IL,N,N
10783,,2737766,,"JACKSONVILLE BANCORP, INC.",JACKSONVILLE,FL, ,Y
10783,34941,,,The Jacksonville Bank,JACKSONVILLE,FL,Y,Y
10784,,2741156,,CAPITAL BANK CORPORATION,RALEIGH,NC, ,Y
10784,34452,,,Capital Bank,RALEIGH,NC,Y,Y
10787,,1021682,,"CITIZENS BANKSHARES, INC.",FARMINGTON,NM, ,Y
10787,,2749031,,EMPLOYEE STOCK BONUS TRUST FOR THE EMPLOYEES,FARMINGTON,NM, ,Y
10787,1164,,,The Citizens Bank,FARMINGTON,NM,Y,Y
10789,,2757184,,"ATLANTIC BANCGROUP, INC.",JACKSONVILLE BEACH,FL, ,Y
10789,34284,,,Oceanside Bank,JACKSONVILLE BEACH,FL,Y,Y
10791,,2759900,,LCNB CORP.,LEBANON,OH, ,Y
10791,6623,,,LCNB National Bank,LEBANON,OH,Y,Y
10793,,2762384,,CAMERON FINANCIAL CORPORATION,CAMERON,TX, ,Y
10793,,2762393,,"CAMERON FINANCIAL CORPORATION OF DELAWARE, INC.",WILMINGTON,DE, ,Y
10793,3126,,,"Classic Bank, National Association",CAMERON,TX,Y,Y
10794,,2762562,,"PROSPERAN BANCSHARES, INC.",OAKDALE,MN, ,Y
10794,35074,,,Prosperan Bank,OAKDALE,MN,Y,Y
10795,,2592714,,"HOMETOWN COMMUNITY BANCORP, INC.",MORTON,IL, ,Y
10795,,2762795,,"HOMETOWN COMMUNITY BANCORP, INC. ESOP & TRUST",MORTON,IL, ,Y
10795,18429,,,Morton Community Bank,MORTON,IL,Y,Y
10797,,2775160,,"COMMUNITY FIRST BANCSHARES, INC.",NEW IBERIA,LA, ,Y
10797,35020,,,Community First Bank,NEW IBERIA,LA,Y,Y
10799,,2781910,,FARMERS & MERCHANTS BANCORP,LODI,CA, ,N
10799,1331,,,Farmers & Merchants Bank of Central California,LODI,CA,Y,N
10802,,1202427,,UNION-ADAMS BANCORP.,CRESTON,IA, ,Y
10802,,2791553,,"IOWA COMMUNITY BANCORP, INC.",CRESTON,IA, ,Y
10802,8751,,,Iowa State Savings Bank,CRESTON,IA,Y,Y
10803,,2791571,,"SWEDISH-AMERICAN BANCSHARES, INC.",COURTLAND,KS, ,Y
10803,12865,,,Swedish-American State Bank,COURTLAND,KS,Y,Y
10804,,2795083,,MHBC INVESTMENTS LIMITED PARTNERSHIP I LLLP,ENGLAND,AR, ,N
10804,13303,,,Bank of England,ENGLAND,AR,Y,N
10828,35326,,,Citizens Community Bank,SOUTH HILL,VA,Y,N
10835,35335,,,Southern Bank of Commerce,PARAGOULD,AR,Y,N
10844,,1071904,,"LEWIS BANCSHARES, INC.",VANCEBURG,KY, ,Y
10844,22355,,,First Community Bank,VANCEBURG,KY,Y,Y
10846,,2568102,,FIRST FINANCIAL BANC CORPORATION,EL DORADO,AR, ,Y
10846,28905,,,First Financial Bank,EL DORADO,AR,Y,Y
10847,,2702577,,PASL HOLDING LLC,NEW YORK,NY, ,N
10847,,2820211,,METROPOLITAN BANK HOLDING CORP.,NEW YORK,NY, ,N
10847,34699,,,Metropolitan National Bank,NEW YORK,NY,N,N
10848,,2737814,,"NORTHPOINTE BANCSHARES, INC.",GRAND RAPIDS,MI, ,Y
10848,34953,,,Northpointe Bank,GRAND RAPIDS,MI,Y,Y
10849,,2741307,,"KRESS NATIONAL BANCSHARES, INC.",KRESS,TX, ,N
10849,18892,,,Kress National Bank,KRESS,TX,Y,N
10852,,2762973,,PACIFIC CONTINENTAL CORPORATION,EUGENE,OR, ,Y
10852,20774,,,Pacific Continental Bank,EUGENE,OR,Y,Y
10854,,2763804,,"FRANKLIN BANCSHARES, INC",FRANKLIN,IL, ,N
10854,18445,,,Franklin Bank,FRANKLIN,IL,N,N
10857,,2784890,,"KENTUCKY NATIONAL BANCORP, INC",ELIZABETHTOWN,KY, ,N
10857,34572,,,Kentucky Neighborhood Bank,ELIZABETHTOWN,KY,Y,N
10858,,2785459,,ASIAN FINANCIAL CORPORATION,PHILADELPHIA,PA, ,N
10858,34759,,,Asian Bank,PHILADELPHIA,PA,N,Y
10887,35355,,,South Sound Bank,OLYMPIA,WA,Y,N
10910,35376,,,Friends Bank,NEW SMYRNA BEACH,FL,Y,N
10911,35377,,,Alpine Capital Bank,NEW YORK,NY,Y,Y
10915,35381,,,Rumson-Fair Haven Bank and Trust Company,RUMSON,NJ,Y,N
10916,,1067505,,"NINE TRIBES BANCSHARES, INC.",QUAPAW,OK, ,N
10916,,2366652,,"BAXTER BANCSHARES, INC.",BAXTER SPRINGS,KS, ,N
10916,11865,,,The Bank of Quapaw,QUAPAW,OK,N,N
10916,12432,,,The Baxter State Bank,BAXTER SPRINGS,KS,N,N
10925,21220,,,Espirito Santo Bank,MIAMI,FL,Y,Y
10927,,2747288,,"THIRD STREET BANCSHARES, INC.",MARIETTA,OH, ,N
10927,35060,,,The Settlers Bank,MARIETTA,OH,Y,N
10931,,2780717,,"PIESCO, INC.",SPRINGFIELD,MN, ,Y
10931,1933,,,Citizens State Bank  Norwood Young America,NORWOOD YOUNG AMERICA,MN,Y,Y
10931,13382,,,Farmers and Merchants State Bank of Springfield,SPRINGFIELD,MN,Y,Y
10932,,2784920,,1ST CONSTITUTION BANCORP,CRANBURY,NJ, ,Y
10932,27552,,,1st Constitution Bank,CRANBURY,NJ,Y,Y
10937,,2794778,,SOUTHCOAST FINANCIAL CORPORATION,MOUNT PLEASANT,SC, ,Y
10937,34774,,,SouthCoast Community Bank,MOUNT PLEASANT,SC,Y,Y
10938,,2795702,,MINSTER FINANCIAL CORP.,MINSTER,OH, ,Y
10938,763,,,Minster Bank,MINSTER,OH,Y,Y
10939,,2802909,,"ROCKPORT NATIONAL BANCORP, INC.",ROCKPORT,MA, ,Y
10939,2644,,,The Rockport National Bank,ROCKPORT,MA,Y,Y
10942,,2804855,,"EAST ALABAMA FINANCIAL GROUP, INC.",WEDOWEE,AL, ,N
10942,35112,,,Small Town Bank,WEDOWEE,AL,Y,N
10943,,2805375,,HCSB FINANCIAL CORPORATION,LORIS,SC, ,Y
10943,27139,,,Horry County State Bank,LORIS,SC,Y,Y
10945,,2806082,,CHEROKEE BANKING COMPANY,CANTON,GA, ,Y
10945,35136,,,"Cherokee Bank, National Association",CANTON,GA,Y,Y
10946,,2807007,,LNB COMMUNITY BANCORP,LYNNVILLE,IN, ,N
10946,4398,,,The Lynnville National Bank,LYNNVILLE,IN,Y,N
10968,35372,,,Carolina Federal Savings Bank,CHARLESTON,SC,Y,Y
10985,35399,,,Silver Falls Bank,SILVERTON,OR,Y,Y
10999,,1108323,,"FIRST ANDERSON BANCSHARES, INC.",ANDERSON,TX, ,N
10999,3075,,,The First National Bank of Anderson,ANDERSON,TX,Y,N
11000,,1057065,,"AMERICAN HOLDING COMPANY OF LINDSAY, INC.",LINDSAY,OK, ,Y
11000,,1064661,,"FIRST FLETCHER BANCSHARES, INC.",FLETCHER,OK, ,Y
11000,,2816858,,"GRIFFITH FAMILY FINANCIAL HOLDINGS, L.L.C.",LINDSAY,OK, ,Y
11000,2328,,,"American Exchange Bank, Lindsay, Oklahoma",LINDSAY,OK,Y,Y
11000,4098,,,The First National Bank of Fletcher,FLETCHER,OK,Y,Y
11001,,1058473,,AVOCA COMPANY,AVOCA,NE, ,N
11001,34053,,,Heartland Community Bank,BENNET,NE,Y,N
11002,,1119329,,"BOOTHEEL BANCORP, INC.",POPLAR BLUFF,MO, ,Y
11002,16207,,,"First Community Bank, Missouri",POPLAR BLUFF,MO,Y,Y
11007,,2389978,,BAY PORT FINANCIAL CORPORATION,BAY PORT,MI, ,N
11007,15585,,,Bay Port State Bank,BAY PORT,MI,Y,N
11008,,2727963,,"LEGACY BANCORP, INC.",MILWAUKEE,WI, ,N
11008,34818,,,Legacy Bank,MILWAUKEE,WI,Y,N
11009,,2755685,,"FIRST DUPAGE BANCORP, INC.",WESTMONT,IL, ,Y
11009,35038,,,First Dupage Bank,WESTMONT,IL,Y,Y
11010,,2774305,,"COMMUNITY STATE BANCSHARES, INC.",WICHITA,KS, ,N
11010,35118,,,"Community Bank of Wichita, Inc.",WICHITA,KS,Y,N
11011,,2782609,,"CENTON BANCORP, INC.",RICHTON,MS, ,N
11011,11817,,,Richton Bank & Trust Company,RICHTON,MS,Y,N
11012,,2796624,,BANK OF FLORIDA CORPORATION,NAPLES,FL, ,Y
11012,35106,,,Bank of Florida - Southwest,NAPLES,FL,Y,Y
11012,57360,,,Bank of Florida - Southeast,FORT LAUDERDALE,FL,Y,Y
11012,57814,,,Bank of Florida - Tampa Bay,TAMPA,FL,Y,Y
11013,,2798440,,"DARLINGTON COUNTY BANCSHARES, INC.",DARLINGTON,SC, ,N
11013,26588,,,Darlington County Bank,DARLINGTON,SC,Y,N
11014,,2805526,,"KIRCHER BANK SHARES, INC.",OLIVIA,MN, ,N
11014,15375,,,The Citizens State Bank of Olivia,OLIVIA,MN,Y,N
11040,,1250914,,"COMMUNITY BANCSHARES OF THE OZARKS, INC.",SUNRISE BEACH,MO, ,N
11040,27331,,,Community Bank of the Ozarks,SUNRISE BEACH,MO,N,N
11043,35427,,,United National Bank,CAIRO,GA,Y,N
11055,35439,,,Bank of Brookhaven,BROOKHAVEN,MS,Y,N
11064,,1029286,,"SAN FRANCISCO COMPANY, THE",CLAYTON,MO, ,Y
11064,,1118797,,"FIRST BANKS, INC.",SAINT LOUIS,MO, ,Y
11064,12229,,,First Bank,HAZELWOOD,MO,Y,Y
11067,,1069714,,TONTI FINANCIAL CORPORATION,COLUMBUS,OH, ,N
11067,9450,,,First Bank of Ohio,TIFFIN,OH,Y,N
11069,22946,,,Scotiabank de Puerto Rico,SAN JUAN,PR,Y,N
11070,,1020340,,"HARRIS BANKCORP, INC.",CHICAGO,IL, ,Y
11070,,1245415,,HARRIS FINANCIAL CORP.,WILMINGTON,DE, ,Y
11070,16571,,,Harris National Association,CHICAGO,IL,Y,Y
11070,24960,,,The Harris Bank National Association,SCOTTSDALE,AZ,Y,Y
11070,58216,,,Harris Central National Association,ROSELLE,IL,Y,Y
11071,,2537676,,NATBC HOLDING CORPORATION,HOLLYWOOD,FL, ,N
11071,33959,,,"Natbank, National Association",HOLLYWOOD,FL,Y,N
11073,,1025608,,BANCWEST CORPORATION,HONOLULU,HI, ,Y
11073,3514,,,Bank of the West,SAN FRANCISCO,CA,Y,Y
11073,17985,,,First Hawaiian Bank,HONOLULU,HI,Y,Y
11078,,1032473,,DEUTSCHE BANK TRUST CORPORATION,NEW YORK,NY, ,Y
11078,,2816906,,TAUNUS CORPORATION,NEW YORK,NY, ,Y
11078,623,,,Deutsche Bank Trust Company Americas,NEW YORK,NY,Y,Y
11078,26392,,,Deutsche Bank Trust Company Delaware,WILMINGTON,DE,Y,Y
11082,23998,,,State Bank of India (California),LOS ANGELES,CA,Y,N
11082,33664,,,State Bank of India,CHICAGO,IL,Y,N
11082,33682,,,State Bank of India,NEW YORK CITY,NY,Y,N
11085,,1245620,,BANK LEUMI LE-ISRAEL CORPORATION,NEW YORK,NY, ,Y
11085,19842,,,Bank Leumi USA,NEW YORK,NY,Y,Y
11092,,1022278,,"OCEANIC BANK HOLDING, INC.",SAN FRANCISCO,CA, ,N
11092,23502,,,Oceanic Bank,SAN FRANCISCO,CA,N,N
11093,,1078529,,"BBVA USA BANCSHARES, INC.",THE WOODLANDS,TX, ,Y
11093,,2460868,,BBVA INTERNATIONAL INVESTMENT CORPORATION,SAN JUAN,PR, ,N
11093,,2644341,,"COMPASS BANCSHARES, INC.",BIRMINGHAM,AL, ,Y
11093,,2947435,,BBVA PR HOLDING CORPORATION,SAN JUAN,PR, ,Y
11093,,3263963,,"BBVA BANCOMER FINANCIAL HOLDINGS, INC.",HOUSTON,TX, ,N
11093,18255,,,BBVA Bancomer USA,MORENO VALLEY,CA,N,N
11093,19048,,,Compass Bank,BIRMINGHAM,AL,Y,Y
11093,19919,,,Banco Bilbao Vizcaya  Argentaria Puerto Rico,SAN JUAN,PR,Y,Y
11093,20024,,,Central Bank of the South,BIRMINGHAM,AL,Y,Y
11100,,2800482,,"HEARTLAND BANCSHARES, INC.",SEBRING,FL, ,Y
11100,35052,,,Heartland National Bank,SEBRING,FL,Y,Y
11102,,2806103,,"UNITED AMERICAS BANKSHARES, INC.",ATLANTA,GA, ,Y
11102,35065,,,"United Americas Bank, National Association",ATLANTA,GA,Y,Y
11104,,2806662,,"DELTA BANCSHARES OF LOUISIANA, INC.",OAK GROVE,LA, ,Y
11104,11254,,,The Eudora Bank,EUDORA,AR,Y,Y
11104,35019,,,West Carroll Community Bank,OAK GROVE,LA,Y,Y
11105,,2807810,,"M&F BANCORP, INC.",DURHAM,NC, ,Y
11105,12266,,,Mechanics & Farmers Bank,DURHAM,NC,Y,Y
11106,,2812832,,"FIRST STATE BANCORP, INC.",RANDOLPH,NE, ,N
11106,15364,,,First State Bank,RANDOLPH,NE,N,N
11107,,2816803,,"JAMESMARK BANKSHARES, INC.",SPRINGFIELD,MO, ,Y
11107,35213,,,Old Missouri Bank,SPRINGFIELD,MO,Y,Y
11108,,2821441,,"BCB HOLDING COMPANY, INC.",THEODORE,AL, ,N
11108,34872,,,Bay Bank,THEODORE,AL,Y,N
11110,,2826781,,AMERICASBANK CORP,TOWSON,MD, ,Y
11110,34294,,,AmericasBank,TOWSON,MD,Y,Y
11111,,2827313,,"SUMMERSVILLE BANCORPORATION, INC.",SUMMERSVILLE,MO, ,Y
11111,12238,,,"Community Bank, National Association",SUMMERSVILLE,MO,Y,Y
11113,,2834160,,CORNERSTONE BANCORP,EASLEY,SC, ,Y
11113,35179,,,Cornerstone National Bank,EASLEY,SC,Y,Y
11114,,2836801,,"FIRST SECURITY GROUP, INC.",CHATTANOOGA,TN, ,Y
11114,35525,,,"FSGBANK, National Association",Chattanooga,TN,Y,Y
11115,,2837349,,VILLAGE BANCORP,SAINT GEORGE,UT, ,Y
11115,34219,,,The Village Bank,SAINT GEORGE,UT,Y,Y
11116,,2842231,,"COMMUNITY ONE BANCSHARES, INC.",BARTOW,FL, ,Y
11116,25266,,,Community National Bank of Bartow,BARTOW,FL,Y,Y
11152,23468,,,Fidelity Management Trust Company,BOSTON,MA,N,N
11159,,1127986,,"WARROAD BANCSHARES, INC.",WARROAD,MN, ,N
11159,9773,,,Security State Bank of Warroad,WARROAD,MN,N,N
11160,,1131835,,RBC HOLDINGS (USA) INC.,NEW YORK,NY, ,Y
11160,,1826056,,RBC BANCORPORATION (USA),RALEIGH,NC, ,Y
11160,,2937856,,PRISM FINANCIAL CORPORATION,WILMINGTON,DE, ,Y
11160,,3226762,,RBC USA HOLDCO CORPORATION,NEW YORK,NY, ,Y
11160,26342,,,"First Gulf Bank, National Association",FAIRHOPE,AL,Y,Y
11160,33184,,,RBC Bank (USA),RALEIGH,NC,Y,Y
11160,35466,,,Centura Card Bank,NORCROSS,GA,Y,Y
11170,,2756776,,"WAUKESHA BANKSHARES, INC.",WAUKESHA,WI, ,N
11170,35043,,,Sunset Bank & Savings,WAUKESHA,WI,Y,N
11171,,2761480,,"RAE VALLEY FINANCIALS, INC.",PETERSBURG,NE, ,N
11171,14058,,,Petersburg State Bank,PETERSBURG,NE,Y,N
11172,,2761976,,FIRST PERSONAL FINANCIAL CORP.,ORLAND PARK,IL, ,Y
11172,35067,,,First Personal Bank,ORLAND PARK,IL,Y,Y
11174,,2777061,,"FIRST LOUISIANA BANCSHARES, INC.",SHREVEPORT,LA, ,Y
11174,34984,,,First Louisiana Bank,SHREVEPORT,LA,Y,Y
11175,,2797537,,LEWISTON BANCORP,LEWISTON,UT, ,Y
11175,9208,,,Lewiston State Bank,LEWISTON,UT,Y,Y
11178,,2814528,,"PEOPLES BANCORP, INC.",LUBBOCK,TX, ,N
11178,,2814537,,"PEOPLES BANCORP OF DELAWARE, INC.",DOVER,DE, ,N
11178,19788,,,Peoples Bank,LUBBOCK,TX,Y,N
11180,,2817314,,"FIRST SOUTH BANCORP, INC.",SPARTANBURG,SC, ,N
11180,34222,,,First South Bank,SPARTANBURG,SC,Y,N
11182,,2818245,,"PEOPLES BANCORP OF NORTH CAROLINA, INC.",NEWTON,NC, ,Y
11182,5956,,,Peoples Bank,NEWTON,NC,Y,Y
11184,,2830528,,GREAT NORTHERN CORPORATION,SAINT MICHAEL,MN, ,Y
11184,35316,,,Great Northern Bank,SAINT MICHAEL,MN,Y,Y
11188,,2835680,,"BCC BANKSHARES, INC.",PHENIX,VA, ,Y
11188,14491,,,The Bank of Charlotte County,PHENIX,VA,Y,Y
11189,,2836294,,"BUCKEYE BANCSHARES, INC.",LORAIN,OH, ,Y
11189,35101,,,Buckeye Community Bank,LORAIN,OH,Y,Y
11190,,2836883,,NEXITY FINANCIAL CORPORATION,BIRMINGHAM,AL, ,Y
11190,19794,,,Nexity Bank,BIRMINGHAM,AL,Y,Y
11192,,2845746,,"HORIZON BANCORPORATION, INC.",BRADENTON,FL, ,N
11192,35061,,,Horizon Bank,ONECO,FL,Y,N
11212,35485,,,Talbots Classics National Bank,LINCOLN,RI,Y,Y
11233,,1119048,,"FIRST DEPOSIT BANCSHARES, INC.",TOMPKINSVILLE,KY, ,N
11233,,1951181,,"UNITED CENTRAL BANCSHARES, INC.",BOWLING GREEN,KY, ,N
11233,,2810285,,"SOUTH CENTRAL BANCSHARES OF KENTUCY, INC.",GLASGOW,KY, ,N
11233,5854,,,"South Central Bank of Barren County, Inc.",GLASGOW,KY,Y,N
11233,8133,,,South Central Bank of Monroe County,TOMPKINSVILLE,KY,Y,N
11233,27485,,,"South Central Bank of Bowling Green, Inc.",BOWLING GREEN,KY,Y,N
11233,33963,,,"South Central Bank of Daviess County, Inc.",OWENSBORO,KY,Y,N
11233,33977,,,"South Central Bank of Hardin County, Inc.",ELIZABETHTOWN,KY,Y,N
11235,,1067372,,"TUTTLE BANCSHARES, INC.",TUTTLE,OK, ,Y
11235,402,,,Sooner State Bank,TUTTLE,OK,Y,Y
11236,,1025662,,CENTRAL BANCORPORATION,PROVO,UT, ,N
11236,9204,,,Central Bank,SPRINGVILLE,UT,Y,N
11237,,1060627,,FIRSTBANK HOLDING COMPANY,LAKEWOOD,CO, ,Y
11237,13084,,,FirstBank of Longmont,LONGMONT,CO,Y,Y
11237,18714,,,FirstBank of Colorado,LAKEWOOD,CO,Y,Y
11237,19768,,,FirstBank of Vail,VAIL,CO,Y,Y
11237,20068,,,FirstBank of Wheat Ridge,WHEAT RIDGE,CO,Y,Y
11237,22036,,,FirstBank of Boulder,BOULDER,CO,Y,Y
11237,22042,,,FirstBank of Douglas County,CASTLE ROCK,CO,Y,Y
11237,22613,,,FirstBank of South Jeffco,LITTLETON,CO,Y,Y
11237,22794,,,FirstBank of Arvada,ARVADA,CO,Y,Y
11237,23470,,,FirstBank of Lakewood,LAKEWOOD,CO,Y,Y
11237,23568,,,FirstBank of Avon,AVON,CO,Y,Y
11237,24096,,,FirstBank of Tech Center,ENGLEWOOD,CO,Y,Y
11237,24200,,,FirstBank of Aurora,AURORA,CO,Y,Y
11237,24746,,,FirstBank of Summit County,SILVERTHORNE,CO,Y,Y
11237,26295,,,FirstBank of Littleton,LITTLETON,CO,Y,Y
11237,26460,,,FirstBank,LITTLETON,CO,Y,Y
11237,26635,,,FirstBank North,ARVADA,CO,Y,Y
11237,26649,,,FirstBank of Cherry Creek,DENVER,CO,Y,Y
11237,27225,,,FirstBank of Denver,DENVER,CO,Y,Y
11237,27336,,,FirstBank of Arapahoe County,LITTLETON,CO,Y,Y
11237,33799,,,FirstBank of Northern Colorado,FORT COLLINS,CO,Y,Y
11237,34107,,,FirstBank of Colorado Springs,COLORADO SPRINGS,CO,Y,Y
11237,34447,,,FirstBank of Evergreen,EVERGREEN,CO,Y,Y
11237,34628,,,FirstBank of Parker,PARKER,CO,Y,Y
11237,35273,,,FirstBank of Adams County,THORNTON,CO,Y,Y
11237,35275,,,Firstbank of El Paso County,COLORADO SPRINGS,CO,Y,Y
11237,58044,,,"FirstBank of Arizona, Inc.",PHOENIX,AZ,Y,Y
11244,,2514239,,MARATHON BANKING CORPORATION,ASTORIA,NY, ,Y
11244,32698,,,Marathon National Bank of New York,NEW YORK CITY,NY,Y,Y
11245,,2745613,,"FOUNTAIN VIEW BANCORP., INC.",SIGOURNEY,IA, ,Y
11245,12126,,,Keokuk County State Bank,SIGOURNEY,IA,Y,Y
11249,,2796857,,SJN BANC CO,SAINT JOHN,KS, ,N
11249,4766,,,The St. John National Bank,ST. JOHN,KS,Y,N
11250,,2801069,,"BANK ON IT, INC.",STOCKTON,CA, ,Y
11250,35170,,,Community Bank of San Joaquin,STOCKTON,CA,Y,Y
11251,,2801546,,"W HOLDING COMPANY, INC.",MAYAGUEZ,PR, ,Y
11251,31027,,,Westernbank Puerto Rico,MAYAGUEZ,PR,Y,Y
11252,,2805432,,"FLORIDA BUSINESS BANCGROUP, INC.",TAMPA,FL, ,Y
11252,35066,,,Bay Cities Bank,TAMPA,FL,Y,Y
11253,,1248407,,"MALTA BANQUO, INC.",MALTA,MT, ,Y
11253,,2807100,,"MILK RIVER BANQUO, INC.",MALTA,MT, ,Y
11253,20646,,,First Security Bank of Malta,MALTA,MT,Y,Y
11253,27518,,,Valley Bank,GLASGOW,MT,Y,Y
11254,,2808590,,"CAPITAL BANCORP, INC.",ROCKVILLE,MD, ,Y
11254,35278,,,"Capital Bank, National Association",ROCKVILLE,MD,Y,Y
11255,,2813503,,"PEOPLES BANCORP, INC.",ARLINGTON HEIGHTS,IL, ,N
11255,35195,,,The Peoples' Bank of Arlington Heights,ARLINGTON HEIGHTS,IL,Y,N
11256,,2834115,,DELTA TRUST AND BANKING CORPORATION,LITTLE ROCK,AR, ,N
11256,92,,,Delta Trust & Bank,PARKDALE,AR,Y,N
11257,,2839969,,"GILMER NATIONAL BANCSHARES, INC.",GILMER,TX, ,N
