TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
108.2,,2834076,,"NORTH CENTRAL BANCORP, INC.",NORFOLK,NE, ,N
108.2,20130,,,BankFirst,NORFOLK,NE,Y,N
110.1,,1123401,,"FIRST SLEEPY EYE BANCORPORATION, INC.",SIOUX FALLS,SD, ,N
110.1,5107,,,First Security Bank - Canby.,CANBY,MN,Y,N
110.1,5252,,,First Security Bank - Sleepy Eye,SLEEPY EYE,MN,Y,N
110.1,8186,,,First Security Bank - Evansville,EVANSVILLE,MN,Y,N
110.1,10986,,,First Security Bank - Lake Benton,LAKE BENTON,MN,Y,N
110.1,17640,,,Capital Bank,ST. PAUL,MN,Y,N
110.2,,1919976,,"BEULAH BANCORPORATION, INC.",SIOUX FALLS,SD, ,N
110.2,251,,,Valley Bank & Trust,MAPLETON,IA,Y,N
110.2,10253,,,First Security Bank - West,BEULAH,ND,Y,N
112.1,,1126671,,"DRAYTON BANCOR, INC.",DRAYTON,ND, ,Y
112.1,8386,,,Drayton State Bank,DRAYTON,ND,Y,Y
112.2,,1141366,,"WALSH COUNTY BANCORPORATION, INC.",DRAYTON,ND, ,Y
112.2,17829,,,Bank of Minto,MINTO,ND,Y,Y
114.1,,1058165,,"MORRILL BANCSHARES, INC.",MERRIAM,KS, ,Y
114.1,1143,,,The Morrill and Janes Bank and Trust Company,MERRIAM,KS,Y,Y
114.1,31826,,,1st Bank Oklahoma,CLAREMORE,OK,Y,Y
114.2,,1056004,,"VERMILLION BANKSHARES, INC.",VERMILLION,KS, ,Y
114.2,,1067916,,"FIRST CENTRALIA BANCSHARES, INC.",CENTRALIA,KS, ,Y
114.2,4636,,,The First National Bank of Centralia,CENTRALIA,KS,Y,Y
114.2,16404,,,Vermillion State Bank,VERMILLION,KS,Y,Y
115.1,,1129065,,"CITIZENS BANCSHARES OF WOODVILLE, INC.",HUDSON,WI, ,Y
115.1,6194,,,Citizens State Bank,HUDSON,WI,Y,Y
115.2,,2173720,,AMERICAN BANCORPORATION,SAINT PAUL,MN, ,Y
115.2,20843,,,American Bank of St. Paul,SAINT PAUL,MN,Y,Y
119.1,5196,,,The First National Bank of McIntosh,MCINTOSH,MN,N,N
119.2,9752,,,Marshall County State Bank,NEWFOLDEN,MN,N,N
119.3,10187,,,The Northern State Bank of Gonvick,GONVICK,MN,N,N
119.4,10982,,,Security State Bank of Oklee,OKLEE,MN,N,N
119.5,,1907106,,"GATO HOLDINGS, INC.",THIEF RIVER FALLS,MN, ,N
119.5,15286,,,Northern State Bank of Thief River Falls,THIEF RIVER FALLS,MN,N,N
126.1,,1050879,,"FINANCIAL ENTERPRISES, INC.",CLINTON,MO, ,Y
126.1,16347,,,First National Bank of Clinton,CLINTON,MO,Y,Y
126.2,,1060346,,"BUERGE BANCSHARES, INC.",JOPLIN,MO, ,Y
126.2,1652,,,First State Bank of Joplin,JOPLIN,MO,Y,Y
127.1,,1058679,,SHELBANK CORPORATION,NEVADA,MO, ,Y
127.1,12617,,,Heritage State Bank,NEVADA,MO,Y,Y
127.2,,1066414,,"NODAWAY VALLEY BANCSHARES, INC.",MARYVILLE,MO, ,Y
127.2,8904,,,The Nodaway Valley Bank,MARYVILLE,MO,Y,Y
128.1,13991,,,Village Bank and Trust Company,MARTELLE,IA,Y,N
128.2,,1204926,,SPRINGVILLE BANSHARES CORP.,SPRINGVILLE,IA, ,Y
128.2,16094,,,The Exchange State Bank,SPRINGVILLE,IA,Y,Y
132.1,,1056648,,"BENDENA BANCSHARES, INC.",BENDENA,KS, ,N
132.1,17410,,,The Bendena State Bank,BENDENA,KS,Y,N
132.2,,1057515,,"EVEREST BANCSHARES, INC.",EVEREST,KS, ,Y
132.2,8262,,,Bank of Gower,GOWER,MO,Y,Y
132.2,18610,,,The Union State Bank of Everest,EVEREST,KS,Y,Y
133.1,,1050776,,"FIRST NEWTON BANKSHARES, INC.",TOPEKA,KS, ,N
133.1,4738,,,First Bank of Newton,NEWTON,KS,Y,N
133.2,,1050824,,"FIRST PRATT BANKSHARES, INC.",PRATT,KS, ,N
133.2,4760,,,First National Bank in Pratt,PRATT,KS,Y,N
133.3,,1064278,,INTRUST FINANCIAL CORPORATION,WICHITA,KS, ,Y
133.3,4799,,,"Intrust Bank, National Association",WICHITA,KS,Y,Y
133.4,,1066526,,"FIDELITY KANSAS BANKSHARES, INC.",TOPEKA,KS, ,N
133.4,1150,,,Fidelity State Bank and Trust Company,TOPEKA,KS,Y,N
134.1,,1056488,,F M CO.,MILLIGAN,NE, ,Y
134.1,14275,,,Farmers and Merchants Bank,MILLIGAN,NE,Y,Y
134.2,,2230249,,"F & M STATE BANCSHARES, INC.",CAWKER CITY,KS, ,Y
134.2,17999,,,The Farmers & Merchants State Bank of Cawker City,CAWKER CITY,KS,Y,Y
135.1,9392,,,Bank of Grandin,GRANDIN,MO,N,N
135.2,,1491548,,"ALTON BANCSHARES, INC.",ALTON,MO, ,N
135.2,8276,,,Alton Bank,ALTON,MO,N,N
136.1,,1064492,,"URICH BANCORP, INC.",BLUE SPRINGS,MO, ,Y
136.1,8893,,,America's Community Bank,BLUE SPRINGS,MO,Y,Y
136.2,,1066245,,"WC BANCORP, INC.",EMPORIA,KS, ,Y
136.2,4723,,,First Community Bank,EMPORIA,KS,Y,Y
137.1,,1201952,,MILFORD BANCORPORATION,MILFORD,IA, ,N
137.1,13656,,,United Community Bank,MILFORD,IA,Y,N
137.2,,1202922,,SAN BANCORP.,SANBORN,IA, ,Y
137.2,11352,,,Sanborn Savings Bank,SANBORN,IA,Y,Y
