County Name,State Name,State FIPS,County FIPS,Total Deposits ($),TARP CPP Deposits ($),TARP CPP Deposits (%),Total Branches ,TARP CPP Branches,TARP CPP Branches (%),Total HMDA Loan Originations (#),TARP HMDA Loan Originations (#),TARP HMDA Loan Originations (%)
Platte County,Missouri,29,165,1016132000,245383000,0.2415,39,8,0.2051,1726,827,0.4793
Polk County,Missouri,29,167,447252000,41118000,0.0919,15,3,0.2,346,125,0.3627
Pulaski County,Missouri,29,169,466974000,151167000,0.3237,19,8,0.4211,386,121,0.3146
Putnam County,Missouri,29,171,124898000,0,0,3,0,0,28,11,0.3944
Ralls County,Missouri,29,173,42194000,0,0,2,0,0,66,22,0.3402
Randolph County,Missouri,29,175,366040000,53715000,0.1467,13,3,0.2308,202,95,0.4709
Ray County,Missouri,29,177,262201000,119146000,0.4544,10,4,0.4,433,229,0.5293
Reynolds County,Missouri,29,179,70143000,0,0,5,0,0,56,25,0.4553
Ripley County,Missouri,29,181,144882000,51082000,0.3526,6,3,0.5,133,99,0.7472
Saline County,Missouri,29,195,395384000,85114000,0.2153,15,2,0.1333,251,134,0.5363
Schuyler County,Missouri,29,197,45759000,0,0,3,0,0,18,10,0.6
Scotland County,Missouri,29,199,108429000,28919000,0.2667,4,1,0.25,26,20,0.7879
Scott County,Missouri,29,201,738573000,138914000,0.1881,18,5,0.2778,594,435,0.7324
Shannon County,Missouri,29,203,71262000,0,0,4,0,0,43,27,0.6418
Shelby County,Missouri,29,205,110586000,27978000,0.253,6,1,0.1667,26,16,0.619
St. Charles County,Missouri,29,183,4060356000,1832393000,0.4513,111,49,0.4414,10416,5728,0.55
St. Clair County,Missouri,29,185,147086000,30656000,0.2084,8,3,0.375,106,68,0.6463
St. Francois County,Missouri,29,187,835980000,164154000,0.1964,24,5,0.2083,1026,475,0.4636
St. Louis City,Missouri,29,510,16837073000,13366177000,0.7939,100,47,0.47,7122,3924,0.551
St. Louis County,Missouri,29,189,21655537000,11785490000,0.5442,316,163,0.5158,22712,12019,0.5292
Ste. Genevieve County,Missouri,29,186,319474000,162033000,0.5072,8,3,0.375,295,179,0.6095
Stoddard County,Missouri,29,207,560883000,125842000,0.2244,21,4,0.1905,343,255,0.7457
Stone County,Missouri,29,209,347857000,80904000,0.2326,19,6,0.3158,750,380,0.5071
Sullivan County,Missouri,29,211,114582000,23188000,0.2024,6,2,0.3333,36,17,0.4737
Taney County,Missouri,29,213,753994000,220608000,0.2926,31,12,0.3871,1513,933,0.6168
Texas County,Missouri,29,215,339040000,16659000,0.0491,10,1,0.1,174,73,0.4234
Vernon County,Missouri,29,217,276375000,76868000,0.2781,9,2,0.2222,191,91,0.4775
Warren County,Missouri,29,219,358707000,71614000,0.1996,12,3,0.25,834,438,0.5255
Washington County,Missouri,29,221,216752000,28780000,0.1328,9,1,0.1111,238,76,0.3212
Wayne County,Missouri,29,223,121729000,0,0,7,0,0,108,68,0.6316
Webster County,Missouri,29,225,446340000,45443000,0.1018,15,2,0.1333,512,190,0.3716
Worth County,Missouri,29,227,32044000,0,0,2,0,0,9,2,0.3214
Wright County,Missouri,29,229,290950000,44048000,0.1514,12,2,0.1667,148,43,0.2931
Beaverhead County,Montana,30,1,151445000,23131000,0.1527,4,1,0.25,120,78,0.6557
Big Horn County,Montana,30,3,92179000,0,0,4,0,0,40,13,0.3361
Blaine County,Montana,30,5,61674000,14297000,0.2318,3,1,0.3333,30,16,0.5357
Broadwater County,Montana,30,7,47081000,0,0,2,0,0,94,55,0.5875
Carbon County,Montana,30,9,123830000,17003000,0.1373,6,2,0.3333,140,45,0.3263
Carter County,Montana,30,11,25039000,0,0,1,0,0,2,0,0.25
Cascade County,Montana,30,13,993471000,440224000,0.4431,22,9,0.4091,1570,732,0.4666
Chouteau County,Montana,30,15,95113000,31858000,0.3349,4,2,0.5,34,16,0.4789
Custer County,Montana,30,17,305470000,44946000,0.1471,4,1,0.25,135,46,0.3453
Daniels County,Montana,30,19,37376000,0,0,1,0,0,6,1,0.24
Dawson County,Montana,30,21,150278000,17330000,0.1153,4,1,0.25,83,34,0.4213
Deer Lodge County,Montana,30,23,101147000,35525000,0.3512,4,1,0.25,124,73,0.5962
Fallon County,Montana,30,25,103708000,35646000,0.3437,2,1,0.5,18,8,0.4737
Fergus County,Montana,30,27,227001000,64649000,0.2848,5,1,0.2,149,94,0.634
Flathead County,Montana,30,29,1274043000,158793000,0.1246,34,5,0.1471,1672,918,0.5496
Gallatin County,Montana,30,31,1599213000,294092000,0.1839,43,6,0.1395,2256,1461,0.6479
Garfield County,Montana,30,33,28413000,0,0,1,0,0,2,0,0.2
Glacier County,Montana,30,35,95304000,0,0,3,0,0,30,8,0.283
Golden Valley County,Montana,30,37,0,0,0,0,0,0,4,1,0.4
Granite County,Montana,30,39,30823000,0,0,2,0,0,41,21,0.5325
Hill County,Montana,30,41,328537000,127198000,0.3872,5,3,0.6,221,146,0.6617
Jefferson County,Montana,30,43,57379000,28687000,0.5,3,1,0.3333,207,116,0.5625
Judith Basin County,Montana,30,45,50071000,0,0,1,0,0,19,14,0.76
Lake County,Montana,30,47,279406000,0,0,13,0,0,292,157,0.5378
Lewis and Clark County,Montana,30,49,996866000,330106000,0.3311,23,5,0.2174,1015,505,0.4978
Liberty County,Montana,30,51,32996000,32996000,1,2,2,1,8,5,0.6667
Lincoln County,Montana,30,53,159177000,0,0,5,0,0,241,133,0.5553
Madison County,Montana,30,57,143426000,0,0,5,0,0,129,78,0.6114
McCone County,Montana,30,55,14068000,14068000,1,1,1,1,6,3,0.6
Meagher County,Montana,30,59,28532000,0,0,1,0,0,27,18,0.675
Mineral County,Montana,30,61,44868000,20591000,0.4589,3,1,0.3333,66,28,0.4286
Missoula County,Montana,30,63,1534439000,291247000,0.1898,39,9,0.2308,1796,776,0.4326
Musselshell County,Montana,30,65,51748000,16930000,0.3272,2,1,0.5,52,25,0.4815
Park County,Montana,30,67,298668000,53777000,0.1801,8,2,0.25,364,205,0.5635
Petroleum County,Montana,30,69,0,0,0,0,0,0,3,2,0.75
Phillips County,Montana,30,71,125040000,0,0,3,0,0,32,15,0.4706
Pondera County,Montana,30,73,104918000,24978000,0.2381,4,2,0.5,42,14,0.3415
Powder River County,Montana,30,75,25400000,0,0,1,0,0,9,3,0.3913
Powell County,Montana,30,77,82269000,0,0,3,0,0,59,34,0.59
Prairie County,Montana,30,79,33344000,0,0,1,0,0,4,0,0.2
Ravalli County,Montana,30,81,544492000,63396000,0.1164,15,3,0.2,920,477,0.5186
Richland County,Montana,30,83,229255000,53970000,0.2354,5,1,0.2,72,19,0.2717
