Date,Ticker,Name,Tier,Currency,Docclause,Tenor,Composite
27-Jul-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,27
30-Jul-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,27
31-Jul-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,27
01-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,30
02-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,30
03-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
06-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
07-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,34
08-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,32
09-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,31
10-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,32
13-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,29
14-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,31
15-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,31
16-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,32
17-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,31
20-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,30
21-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,29
22-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,26
23-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,25
24-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,25
27-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,25
28-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,24
29-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,25
30-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,29
31-Aug-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,29
03-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,29
04-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,29
05-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,29
06-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,28
07-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,29
10-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,28
11-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,27
12-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,27
13-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,26
14-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,25
17-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,22
18-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,20
19-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,19
20-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,19
21-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,18
24-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,18
25-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,18
26-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,17
27-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,18
28-Sep-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,18
01-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,18
02-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,18
03-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,17
04-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,17
05-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,17
08-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,17
09-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,16
10-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,16
11-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,16
12-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,16
15-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,17
16-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,17
17-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,20
18-Oct-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,19
