Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,9029,Omnitrans,San Bernardino,CA,"Riverside-San Bernardino, CA",25,439,"1,506,816",MB,PT,"17,589,269","18,833,219","18,910,118","17,203,141","6,308,422","5,381,680","3,843,592","4,885,957","5,496,993","5,077,858","4,210,283","3,660,124","3,718,047","12,954,412","10,332,235","469,693",
2007,9030,North County Transit District,Oceanside,CA,"San Diego, CA",15,782,"2,674,436",CR,PT,,,,,"4,843,024","20,729,670","25,747,918","26,886,217","34,721,400","33,852,130","34,394,930","36,371,110","37,867,481","40,392,713","40,139,482","42,970,414","43,148,067"
2007,9030,North County Transit District,Oceanside,CA,"San Diego, CA",15,782,"2,674,436",DR,PT,"819,488","1,078,645","1,119,447","1,165,486","1,177,068","1,369,405","1,265,345","1,274,375","1,444,388","1,434,617","1,241,911","1,101,480","1,380,242","1,585,935","1,363,858","1,550,744","1,703,293"
2007,9030,North County Transit District,Oceanside,CA,"San Diego, CA",15,782,"2,674,436",MB,DO,"75,401,389","72,721,449","70,270,925","64,011,001","67,446,024","69,199,733","69,696,372","70,435,777","68,760,981","69,046,388","65,435,530","62,634,543","57,403,271","57,652,745","53,546,605","47,642,607","48,744,066"
2007,9031,Riverside Transit Agency,Riverside,CA,"Riverside-San Bernardino, CA",25,439,"1,506,816",DR,PT,"567,348","573,973","838,458","959,681","1,064,603","1,467,644","1,423,960","1,409,089","1,360,700","1,430,753","1,549,829","2,249,528","2,217,763","2,273,410","2,344,079","2,346,331","2,681,978"
2007,9031,Riverside Transit Agency,Riverside,CA,"Riverside-San Bernardino, CA",25,439,"1,506,816",MB,DO,"18,935,479","19,624,393","27,186,852","29,961,304","30,342,491","31,660,606","32,275,948","34,621,669","40,633,170","40,641,158","38,142,482","32,480,378","31,755,714","33,984,668","38,338,116","35,360,009","35,871,318"
2007,9031,Riverside Transit Agency,Riverside,CA,"Riverside-San Bernardino, CA",25,439,"1,506,816",MB,PT,"2,986,785","3,412,157","1,581,190","2,251,856","2,963,205","3,328,842","3,552,288","3,846,520","4,918,653","4,801,366","5,177,480","6,507,854","8,071,500","8,252,911","8,883,909","8,647,304","9,684,397"
2007,9032,City of Phoenix Public Transit Department dba Valley Metro,Phoenix,AZ,"Phoenix-Mesa, AZ",13,799,"2,907,049",DR,DO,,,,,,,,,,,,,,,,,"947,365"
2007,9032,City of Phoenix Public Transit Department dba Valley Metro,Phoenix,AZ,"Phoenix-Mesa, AZ",13,799,"2,907,049",DR,PT,"1,885,665","1,762,825","1,866,432","2,207,499","2,445,980",0,"2,751,356","2,781,665","2,683,585","3,072,572","3,376,342","3,538,457","3,706,420","4,292,818","3,889,684","4,457,414","3,951,280"
2007,9032,City of Phoenix Public Transit Department dba Valley Metro,Phoenix,AZ,"Phoenix-Mesa, AZ",13,799,"2,907,049",JT,PT,,"1,150,936",,,,,,,,,,,,,,,
2007,9032,City of Phoenix Public Transit Department dba Valley Metro,Phoenix,AZ,"Phoenix-Mesa, AZ",13,799,"2,907,049",MB,DO,,,,"120,312,742","123,591,770","107,709,886","112,436,235","117,489,506","112,361,605","110,241,776","107,536,155","121,037,988",,,,,
