Fiscal Year,Country,Auth. date,Obligor*,Principal supplier**,Guarantor***,Product,Interest rate,Loans,Guarantees,
2008,Hong Kong,30-Sep-08,Cathay Pacific Airways Ltd.,The Boeing Co., ,Commercial Aircraft,,,437855060.00,
2008,India,16-Apr-08,Bhopal Medical College Private Ltd.,JQ American Corp.,Punjab National Bank,Equipment and Services for Construction of Bhopal Medical College     ,,,29430309.00,
2008,India,17-Jul-08,ICICI Bank  ,Caterpillar Inc.  ,none  ,Equipment and Services for Coal-Mining project  ,,,20199060.00,
2008,India,31-Jul-08,Air India Charters Ltd.,The Boeing Co.,,Commercial Aircraft,,,185355063.00,
2008,India,31-Jul-08,National Aviation Co. of India,The Boeing Co.,,Commercial Aircraft,,,363316349.00,
2008,India,28-Aug-08,Reliance Industries Ltd.  ,"Bechtel Corp., et. al.  ",none  ,Equipment and Services for Gas-Field Development of Krishna Godavari Basin  ,,,400000000.00,
2008,Ireland,14-Feb-08,Ryanair Ltd.,The Boeing Co.,,Commercial Aircraft,,,787074500.00,
2008,Kazakhstan,27-Dec-07,Astana Finans AO,Deere and Co.,Astana Finans AO,Agricultural Equipment  ,,,18035300.00,
2008,Kazakhstan,27-Dec-07,Astana Finans AO,Deere and Co.,Astana Finans AO,Agricultural Equipment ,,,14416000.00,
2008,Kazakhstan,27-Dec-07,Astana Finans AO,Deere and Co.,Astana Finans AO,Agricultural Equipment  ,,,14422800.00,
2008,Kazakhstan,27-Dec-07,Astana Finans AO,Deere and Co.,Astana Finans AO ,Agricultural Equipment  ,,,16231770.00,
2008,Kazakhstan,27-Dec-07,Agrofirm TnK LLC,Deere and Co.,JSC Halyk Bank  ,Agricultural Equipment  ,,,13954826.00,
2008,Kazakhstan,1-Jul-08,Apk-Invest LLC,Deere and Co.,Kazkommertsbank OJSC ,Agricultural Equipment  ,,,10845958.00,
2008,Kazakhstan,7-Aug-08,Apk-Invest LLC,Deere and Co.,Kazkommertsbank OJSC  ,Agricultural Equipment  ,,,19863289.00,
2008,Luxembourg,10-Jul-08,Cargolux Airlines International S.A.,The Boeing Co.,,Commercial Aircraft,,,108019544.00,
2008,Mexico,8-Nov-07,Perforadora Central S.A. de C.V.,Keppel Amfels Inc.,none  ,Jack-up Drilling Rig  ,,,113223349.00,
2008,Mexico,12-Jun-08,The pemex project Funding Master Trust,Various Suppliers ,Petróleos Mexicanos  ,Equipment and Services for oil-Field and Gas-Field Development in new pidiregas projects  ,,,400000000.00,
2008,Mexico,12-Jun-08,The pemex project Funding Master Trust,Various Suppliers ,Petróleos Mexicanos  ,Equipment and Services for oil-Field and Gas-Field Development of Burgos Basin project,,,100000000.00,
2008,Mexico,19-Jun-08,Aeroservicios Especializados  S.A. de C.V.,Sikorsky Aircraft Corp.,,Helicopters,,,39416125.00,
2008,Mexico,31-Jul-08,The pemex project Funding Master Trust,Various Suppliers ,Pemex Gas y Petroquimica Basica,Equipment and Services for Strategic Gas project  ,,,200000000.00,
2008,Mexico,31-Jul-08,The pemex project Funding Master Trust,Various Suppliers ,Pemex Gas y Petroquimica Basica,Facility Supporting Small-Business Exports for oil-Field and Gas-Field Development  ,,,150000000.00,
2008,Mexico,28-Aug-08,Aerolineas Ejecutivas de San Luis S.A. de C.V.,Hawker Beechcraft Corp.,,Aircraft,,,17101627.00,
2008,Mexico,23-Sep-08,Comisión Federal de Electricidad  ,General Electric Co. ,none  ,Cylinder for Burner  ,,,4950780.00,
2008,Miscellaneous,16-Sep-08,ACG Capital Group  ,The Boeing Co.  ,,Commercial Aircraft  ,,,78970100.00,
2008,Miscellaneous,1-Apr-08,Private Export Funding Corp. (PEFCO),none  , ,Interest on PEFCO’s own Debt  ,,,97951503.00,
2008,Morocco,17-Jan-08,Royal Air Maroc,The Boeing Co.,,Commercial Aircraft,,,80652177.00,
2008,Morocco,17-Jan-08,Royal Air Maroc,The Boeing Co.,,Commercial Aircraft,,,38697100.00,
2008,Nigeria,3-Apr-08,GZ Industries Ltd.  ,Roeslein & Associates Inc.  ,Fidelity Bank pLC  ,Can-Manufacturing Equipment Technology and Services ,,,20278026.00,
2008,Nigeria,10-Apr-08,Dana Airlines Ltd.,Learjet Inc.,,Aircraft,,,9740421.00,
2008,Nigeria,16-Apr-08,Michharry & Co. Nigeria Ltd.,Smith Maritime,Diamond Bank Ltd.,Lift Barge,,,13655418.00,
2008,Nigeria,1-May-08,Zenith Bank PLC,Citicorp Leasing Inc.,,Commercial Aircraft,,,29227195.00,
2008,Oman,20-Mar-08,Oman Aviation Services Co.,The Boeing Co.,,Commercial Aircraft,,,38581500.00,
2008,Pakistan,21-Mar-08,Pakistan International Airlines Corp.,The Boeing Co.,,Commercial Aircraft (Credit Increase),,,781897.00,
2008,Panama,8-May-08,Copa Holdings S.A.,The Boeing Co.,,Commercial Aircraft,,,98138293.00,
2008,Peru,24-Jan-08,Peru LNG S.R.L.  ,Chicago Bridge & Iron Co. N.V.,none  ,Equipment and Services for Peru LNG project,,,400000000.00,
2008,Russia,6-Dec-07,Russian Agricultural Bank,Deere & Co.,none  ,Agricultural Equipment  ,,,12401588.00,
2008,Russia,6-Dec-07,Russian Agricultural Bank,Deere & Co.,none  ,Agricultural Equipment  ,,,9052798.00,
2008,Russia,6-Dec-07,Russian Agricultural Bank,Deere & Co.,none  ,Agricultural Equipment  ,,,11407690.00,
2008,Russia,6-Dec-07,Russian Agricultural Bank,Deere & Co.,none  ,Agricultural Equipment  ,,,16901950.00,
2008,Russia,20-Dec-07,ProbusinessBank ,Deere & Co. ,Agro-Construction Technologies LLC  ,Agricultural Equipment  ,,,10586154.00,
2008,Russia,14-Feb-08,Bank Avangard ,Deere & Co. ,Alcor Holding Group AG  ,Agricultural Equipment  ,,,10661049.00,
2008,Russia,14-Feb-08,Bank Avangard ,Chief Industries Inc. ,Alcor Holding Group AG  ,Prefabricated Metal Building  ,,,11466654.00,
2008,Russia,14-Feb-08,Russian Agricultural Bank ,Deere & Co. ,none  ,Agricultural Equipment  ,,,18176400.00,
2008,Russia,13-Mar-08,Uralsib Leasing Co.,Deere & Co. ,none  ,Agricultural Equipment  ,,,16868018.00,
2008,Russia,13-Mar-08,Uralsib Leasing Co.,Deere & Co. ,none  ,Agricultural Equipment  ,,,16197350.00,
2008,Russia,13-Mar-08,Uralsib Leasing Co.,Deere & Co. ,none  ,Agricultural Equipment  ,,,17146714.00,
2008,Saudia Arabia,30-Apr-08,National Chevron phillips Co.  ,Chevron Phillips Chemical Co. LLC  , none  ,Services for Saudi polymers petrochemical project (Credit Increase) ,,,3350463.00,
2008,Singapore,25-Sep-08,BOC Aviation Pte. Ltd.,The Boeing Co.,,Commercial Aircraft,,,230595747.00,
2008,Turkey,1-Nov-07,Pegasus Airlines,The Boeing Co.,,Commercial Aircraft,,,100930530.00,
2008,Turkey,19-Feb-08,GürisInsaat ve Mühendislik A.S.  ,Power Engineers Inc.  ,Güris Holding A.S.  ,Services for Geothermal power plant  ,,,4660688.00,
2008,Turkey,13-Mar-08,Aksa Enerji Uretim A.S.  , GE packaged power Inc.  ,Kazanci Holding A.S.  ,Equipment and Services for Gas-Fired Combined-Cycle power plant  ,,,99746520.00,
2008,Turkey,8-May-08,Turk Hava Yollari Tao,The Boeing Co.,,Commercial Aircraft,,,185346933.00,
2008,Turkey,8-May-08,Turk Hava Yollari Tao,The Boeing Co.,,Commercial Aircraft,,,111745143.00,
2008,Turkey,19-Jun-08,A.S. Enerji Elek Uretim Sanayi ve Ticaret ,General Electric Capital Corp.  ,none  ,Equipment for Gas-Fired power plant  ,,,26143244.00,
2008,Turkey,11-Sep-08,Ugur Enerji Uretim Ticaret ve Sanayi S.A. ,GE packaged power Inc.  ,Asya Katilim Bankasi A.S.  ,Gas-Turbine Generator  ,,,17855632.00,
2008,Turkey,30-Sep-08,Delta Enerji Uretim ve Ticaret A.S.  ,GE packaged power Inc.  ,Palmet Enerji A.S.  ,Equipment and Services for Gas-Fired Combined-Cycle power plant  ,,,37463118.00,
2008,Ukraine,8-May-08,Rais Closed JSC,Deere & Co.  ,Raiffeisen Bank Aval oJSC  ,Agricultural Equipment  ,,,14114334.00,
2008,United Arab Emirates,17-Jan-08,Emirates Airline,The Boeing Co.,,Commercial Aircraft,,,796006651.00,
,,,,,,,,,,
TOTALS 2008,,,,,,,,356048795.00,8101452572.00,
,,,,,,,,,,
,,,,,,,,,,
2009,EL SALVADOR,10/24/2008,"SPV/SERVICIOS AEREOS NACIONALES, SA",CESSNA AIRCRAFT COMPANY,PRIVATE EXPORT FUNDING CORP,AIR TRANSPORTATION,,,19349373.00,
2009,"KOREA, SOUTH",11/13/2008,SPV/ASIANA AIRLINES,UNITED TECHNOLOGIES CORP,CITIBANK N A,AIR TRANSPORTATION,,,131353334.06,
2009,INDIA,11/20/2008,SREI INFRASTRUCTURE FINANCE LIMITED,"NATIONAL-OILWELL, INC",UPS CAPITAL BUSINESS CREDIT,OIL & GAS WELL DRILLING SERVICES,,,47828279.00,
2009,AUSTRALIA,11/25/2008,SPV/VIRGIN BLUE INTERNATIONAL AIRLINES,GENERAL ELECTRIC COMPANY,PRIVATE EXPORT FUNDING CORP,AIR TRANSPORTATION,,,376552551.00,
2009,NIGERIA,12/5/2008,DIAMOND BANK LTD.,"SPERRY DRILLING SERVICES,INC",HSBC BANK PLC,OIL WELL LOGGING SERVICES,,,17232067.00,
2009,NIGERIA,12/5/2008,UNION BANK OF NIGERIA PLC,CFM INTERNATIONAL INC,PRIVATE EXPORT FUNDING CORP,AIR TRANSPORTATION,,,76047536.00,
2009,GHANA,12/12/2008,MINISTRY OF FINANCE & ECONOMIC PLANNING,VARIOUS - UNITED STATES SUPPLIERS,,WATER TREATMENT PLANT CONSTRUCTION,0.0425,1040941.00, ,
2009,PRIVATE EXPORT FUNDING CORP.,12/12/2008,PRIVATE EXPORT FUNDING CORP,,,INTEREST ON PEFCO'S OWN DEBT,,7350000.00, ,
2009,PRIVATE EXPORT FUNDING CORP.,12/12/2008,PRIVATE EXPORT FUNDING CORP,,,INTEREST ON PEFCO'S OWN DEBT,,8662500.00, ,
2009,TURKEY,12/18/2008,SPV/PEGASUS AIRLINES,CFM INTERNATIONAL INC,"ING (US) CAPITAL, LLC",AIR TRANSPORTATION,,,69139208.57,
2009,NETHERLANDS,12/18/2008,SPV/KLM ROYAL DUTCH AIRLINES,GENERAL ELECTRIC COMPANY,CALYON,AIR TRANSPORTATION,,,233476549.00,
2009,SAUDI ARABIA,12/23/2008,SPV/NATIONAL PRIVATE AIR TRANSPORT SERV,HAWKER BEECHCRAFT CORPORATION,"ARAB BANKING CORPORATION B.S.C., N.Y.",AIR TRANSPORTATION,,,58975534.00,
2009,PERU,2/12/2009,FERROCARRIL TRANSANDINO S.A.,PROGRESS RAIL SERVICES CORP,PNC BANK NATIONAL ASSOCIATION,RAILWAY TRANSPORTATION,,,12011779.00,
2009,BRAZIL,2/12/2009,MRS LOGISTICA S.A.,BORGWARNER THERMAL SYSTEMS,EXPORT-IMPORT BANK OF US,RAILROAD TRANSPORTATION,0.033,86504019.00, ,
2009,PRIVATE EXPORT FUNDING CORP.,2/19/2009,PRIVATE EXPORT FUNDING CORP,,,INTEREST ON PEFCO'S OWN DEBT,,153848090.28, ,
2009,PRIVATE EXPORT FUNDING CORP.,3/5/2009,PRIVATE EXPORT FUNDING CORP,,,INTEREST ON PEFCO'S OWN DEBT,,21875000.00, ,
2009,IRELAND,3/12/2009,SPV/RYANAIR LTD.,"BOEING COMPANY, THE",DEKABANK,AIR TRANSPORTATION,,,173349000.00,
2009,IRELAND,3/12/2009,SPV/RYANAIR LTD.,"BOEING COMPANY, THE",RBS AEROSPACE LTD.,AIR TRANSPORTATION,,,271405000.00,
2009,PRIVATE EXPORT FUNDING CORP.,3/24/2009,PRIVATE EXPORT FUNDING CORP,,,INTEREST ON PEFCO'S OWN DEBT,,7837335.00, ,
2009,"KOREA, SOUTH",4/2/2009,"GOCHANG SOLAR PARK, CO., LTD.",TSI RENEWABLE VENTURES,PRIVATE EXPORT FUNDING CORP,PV SOLAR POWER GENERATING PROJECT,,,2068038.00,
2009,"KOREA, SOUTH",4/2/2009,"GOCHANG SOLAR PARK, CO., LTD.",TSI RENEWABLE VENTURES,PRIVATE EXPORT FUNDING CORP,PV SOLAR POWER GENERATING PROJECT,,,2109848.00,
2009,"KOREA, SOUTH",4/2/2009,"GOCHANG SOLAR PARK, CO., LTD.",TSI RENEWABLE VENTURES,PRIVATE EXPORT FUNDING CORP,PV SOLAR POWER GENERATING PROJECT,,,2120300.00,
2009,"KOREA, SOUTH",4/2/2009,"GOCHANG SOLAR PARK, CO., LTD.",TSI RENEWABLE VENTURES,PRIVATE EXPORT FUNDING CORP,PV SOLAR POWER GENERATING PROJECT,,,2120301.00,
2009,"KOREA, SOUTH",4/2/2009,"GOCHANG SOLAR PARK, CO., LTD.",TSI RENEWABLE VENTURES,PRIVATE EXPORT FUNDING CORP,PV SOLAR POWER GENERATING PROJECT,,,2130753.00,
2009,NETHERLANDS,4/2/2009,SPV/KLM ROYAL DUTCH AIRLINES,"BOEING COMPANY, THE",SOCIETE GENERALE,AIR TRANSPORTATION,,,33360786.00,
2009,INDONESIA,4/2/2009,SPV/PT LION MENTARI,"BOEING COMPANY, THE",FINANCIAL INSTITUTION ACCEPTABLE TO EIB,AIR TRANSPORTATION,,,242760000.00,
2009,ISRAEL,4/9/2009,SPV/EL AL ISRAEL AIRLINES,CFM INTERNATIONAL INC,,AIR TRANSPORTATION,0.0362,75335459.62, ,
2009,TURKEY,4/9/2009,CENGIZ ENERJI SANAYI VE TICARET A.S.,JPMORGAN CHASE BANK,JPMORGAN CHASE BANK,(b)(4),,,77060745.00,
2009,GERMANY,4/14/2009,SIGNET SOLAR GMBH,NAVIGANT CONSULTING INC,BANK OF AMERICA NA,SILICON PHOTOVOLTAIC PROD FACILITY,,,2652000.00,
