12/5/2008,Oak Valley Bancorp ,Oakdale ,CA ,13500000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Old National Bancorp ,Evansville ,IN ,100000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Capital Bank Corporation ,Raliegh ,NC ,41279000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Pacific International Bancorp ,Seattle ,WA ,6500000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,SVB Financial Group ,Santa Clara ,CA ,235000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,LNB Bancorp Inc. ,Lorain ,OH ,25223000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Wilmington Trust Corporation ,Wilmington ,DE ,330000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Susquehanna Bancshares&#44; Inc ,Lititz ,PA ,300000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Signature Bank ,New York ,NY ,120000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,HopFed Bancorp ,Hopkinsville ,KY ,18400000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Citizens Republic Bancorp&#44; Inc. ,Flint ,MI ,300000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Indiana Community Bancorp ,Columbus ,IN ,21500000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Bank of the Ozarks&#44; Inc. ,Little Rock ,AR ,75000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Center Financial Corporation ,Los Angeles ,CA ,55000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,NewBridge Bancorp ,Greensboro ,NC ,52372000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Sterling Bancshares&#44; Inc. ,Houston ,TX ,125198000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,The Bancorp&#44; Inc. ,Wilmington ,DE ,45220000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,TowneBank ,Portsmouth ,VA ,76458000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Wilshire Bancorp&#44; Inc. ,Los Angeles ,CA ,62158000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Valley Financial Corporation ,Roanoke ,VA ,16019000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Independent Bank Corporation ,Ionia ,MI ,72000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Pinnacle Financial Partners&#44; Inc. ,Nashville ,TN ,95000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,First Litchfield Financial Corporation ,Litchfield ,CT ,10000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,National Penn Bancshares&#44; Inc. ,Boyertown ,PA ,150000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Northeast Bancorp ,Lewiston ,ME ,4227000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Citizens South Banking Corporation ,Gastonia ,NC ,20500000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Virginia Commerce Bancorp ,Arlington ,VA ,71000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,Fidelity Bancorp&#44; Inc. ,Pittsburgh ,PA ,7000000,Preferred Stock w/Warrants ,Purchase,Par 
12/12/2008,LSB Corporation ,North Andover ,MA ,15000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Intermountain Community Bancorp ,Sandpoint ,ID ,27000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Community West Bancshares ,Goleta ,CA ,15600000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Synovus Financial Corp. ,Columbus ,GA ,967870000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Tennessee Commerce Bancorp&#44; Inc. ,Franklin ,TN ,30000000,Preferred Stock w/Warrants ,Purchase,Par 
12/19/2008,Community Bankers Trust Corporation ,Glen Allen ,VA ,17680000,Preferred Stock w/Warrants ,Purchase,Par 
