Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,2072,Suffolk County Department of Public Works - Transportation Division,Yaphank,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,"1,440","1,446","1,461","1,463","1,477","1,477","1,478","1,477","1,520","1,436","1,461","1,461","1,461","1,461","1,462","1,403","1,432"
1993,2073,"Command Bus Company, Inc. ",Brooklyn,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",MB,DO,328,327,327,,,,,,,,,,,,,,
2007,2075,Port Authority Transit Corporation,Lindenwold,NJ,"Philadelphia, PA-NJ-DE-MD",4,"1,800","5,149,079",HR,DO,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2007,2076,Westchester County Bee-Line System,Mount Vernon,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,2076,Westchester County Bee-Line System,Mount Vernon,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,154,154,154,154,154,154,154,145,130,119,105,105,105,105,746,740,869
2007,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",CR,DO,536,536,535,535,535,535,535,535,535,546,546,546,546,546,546,546,546
2007,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",CR,PT,,,,,,0,,,,,,,,,,,
2007,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",FB,PT,,,,,,,,,,,11,11,11,11,13,13,13
2007,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,10,10,10,10,10,13,13,13,13,13,20,20,20,22,22,22,22
2004,2079,"Liberty Lines Transit, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,DO,264,264,884,885,923,927,932,942,928,932,932,930,930,930,,,
2004,2079,"Liberty Lines Transit, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,,,,,,,,,,,,0,,,,,
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",CR,DO,926,926,954,954,972,975,975,975,975,975,975,975,954,954,997,997,997
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",CR,PT,0,218,218,218,218,218,218,218,218,116,116,116,116,116,116,0,
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",LR,DO,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,12
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",LR,PT,,,,,,,,,,14,17,17,18,90,97,102,102
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,DO,"2,886","2,891","3,415","3,415","3,449","3,428","3,464","3,489","3,473","3,487","3,480","3,485","3,491","3,500","3,538","3,528","3,487"
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,"1,405","1,382","1,147","1,050","1,059","1,059","1,059","1,059",993,961,961,961,961,997,"1,005","1,332","2,544"
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",VP,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,2082,New York City Department of Transportation,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",DR,PT,,,,,,,,,,,,,,,,,
2007,2082,New York City Department of Transportation,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",FB,DO,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2007,2082,New York City Department of Transportation,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",FB,PT,,,,,,0,0,,,,,,,,,,
2007,2082,New York City Department of Transportation,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,0,"1,489","1,489","1,489",122,0,0,0,,,0,0,0,0,0,0,33
2007,2084,Transport of Rockland,Pomona,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,329,332,334,334,334,232,287,369,382,382,386,390,390,390,410,413,413
2007,2085,Clarkstown Mini-Trans,Nanuet,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,DO,83,86,86,86,86,86,86,86,93,93,93,93,94,94,96,95,95
2007,2086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,Pomona,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,2089,Village of Spring Valley Bus,Spring Valley,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,DO,32,32,32,32,32,,,,,,56,34,,34,34,34,34
2007,2096,Putnam County Transit,Carmel,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,2096,Putnam County Transit,Carmel,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,440,328,471,471,471,471,345,345,190,190,190,178,178,178,179,178,124
2007,2098,Port Authority Trans-Hudson Corporation,Jersey City,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",FB,PT,3,3,3,3,3,3,3,3,3,3,8,15,15,10,10,10,10
2007,2098,Port Authority Trans-Hudson Corporation,Jersey City,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",HR,DO,29,29,29,29,29,29,29,29,29,29,25,25,29,29,29,29,29
2007,2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Staten Island,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",CR,DO,29,,,,,,,,,,,,,,,,
2007,2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Staten Island,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",HR,DO,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2007,2100,MTA Long Island Rail Road,Jamaica,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",CR,DO,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638
2007,2113,"Regional Transit Service, Inc. and Lift Line, Inc.",Rochester,NY,"Rochester, NY",53,295,"694,396",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,2113,"Regional Transit Service, Inc. and Lift Line, Inc.",Rochester,NY,"Rochester, NY",53,295,"694,396",MB,DO,670,670,992,"1,011",983,965,978,992,"1,026","1,041","1,046","1,105","1,116","1,122","1,102","1,045",955
2007,2116,"Centro of Cayuga, Inc.",Syracuse,NY,"Syracuse, NY",81,180,"402,267",MB,DO,367,367,367,367,367,367,367,367,540,540,540,540,540,540,542,542,542
2007,2116,"Centro of Cayuga, Inc.",Syracuse,NY,"Syracuse, NY",81,180,"402,267",MB,PT,,,43,,,,,,,,,,,,,,
2004,2117,"Liberty Lines Express, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,DO,122,,,,,122,122,121,121,121,121,120,120,118,,,
2004,2117,"Liberty Lines Express, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",MB,PT,,,,,,,,,,,,0,,,,,
