Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",MB,DO,,0,,,,,,,,,,,,,,,
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",MB,PT,0,,,,,,,,,,,,,,,,
2007,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",DR,PT,"6,588","8,938","10,546","12,748",,,"11,157","10,685","12,320","10,661","11,527","13,091","13,025","13,475","14,015","15,548","15,355"
2007,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",MB,DO,"17,692","17,766","18,006","19,386",,,"19,368","20,136","22,482","13,804","16,564","16,855","16,860","16,940","16,852","16,791","16,855"
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,DO,"33,507","36,099","42,895","45,156","57,748","54,100","57,550","63,965","83,703","63,975","76,881","80,771","87,803",,"102,013","129,324","133,814"
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,PT,"1,496","1,883","4,325","4,076","4,500","5,020","25,347","28,661","18,549","12,577","22,371","26,224","31,533",,"49,128","51,428","57,430"
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,DO,"119,214","118,222","118,640","121,372","122,648","131,484","141,917","146,671","142,521","134,423","131,108","118,208","128,187",,"142,241","145,912","145,170"
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,PT,88,322,525,"3,976","9,460","10,568",,,,,,,,,,,
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",VP,DO,"29,151","35,484","37,265","36,352","45,900","53,248","49,725","45,312","45,924","75,735","71,400","72,192","68,816",,"62,417","61,360","74,168"
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,DO,"12,821","25,938","33,012","44,061","54,350","53,902","54,866","57,019","55,408","44,233","44,772","39,772","41,937","42,632","47,922","53,954","57,220"
