Date,Name,Price Paid,Pricing Mechanism,Description,Transaction Type,FDIC Number,OTS Number,Type of Institution,Total Assets (Q4 2008),Regulator,City,State,Stock Symbol,Program,Warrant Strike Price,Warrant Received,Stock Price (as of close 2009-04-08),In/Out of Money (as of close 2009-04-08),Subsidy Rate Estimate (percentage),Subsidy Rate Estimate Date,Subsidy Rate Estimate Source
2009-01-30,"PrivateBancorp, Inc.",243815000.00,Par,Preferred Stock w/Warrants,Purchase,1839319,,holding company,10260125000.00,Federal Reserve,Chicago,IL,PVTB,CPP,,,,,,,
2009-01-30,Rogers Bancshares Inc.,25000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,2066886,,holding company,1683467000.00,Federal Reserve,Little Rock,AR,,CPP,,,,,,,
2009-01-30,Stewardship Financial Corporation,10000000.00,Par,Preferred Stock w/Warrants,Purchase,2290560,,holding company,607008000.00,Federal Reserve,Midland Park,NJ,SSFN,CPP,,,,,,,
2009-01-30,UBT Bancshares Inc.,8950000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3219577,,holding company,429585000.00,Federal Reserve,Marysville,KS,,CPP,,,,,,,
2009-01-30,Valley Commerce Bancorp,7700000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3139424,,holding company,305953000.00,Federal Reserve,Visalia,CA,VCBP,CPP,,,,,,,
2009-01-30,W.T.B. Financial Corporation,110000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1029464,,holding company,4084953000.00,Federal Reserve,Spokane,WA,WTBFA,CPP,,,,,,,
2009-01-30,WashingtonFirst Bank,6633000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,57696,,bank,275804000.00,FDIC,Reston,VA,WAFB,CPP,,,,,,,
2009-01-23,1st Source Corporation,111000000.00,Par,Preferred Stock w/Warrants,Purchase,1199602,,holding company,4445830000.00,Federal Reserve,South Bend,IN,SRCE,CPP,19.87,837947,18.01,-1.86,,,
2009-01-23,AB&T Financial Corporation,3500000.00,Par,Preferred Stock w/Warrants,Purchase,3706684,,holding company,170683000.00,Federal Reserve,Gastonia,NC,ABTO.OB,CPP,6.55,80153,5.00,-1.55,,,
2009-01-23,"Alarion Financial Services, Inc.",6514000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3382891,,holding company,257668000.00,Federal Reserve,Ocala,FL,,CPP,,,,,,,
2009-01-23,BankFirst Capital Corporation,15500000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1247455,,holding company,662151000.00,Federal Reserve,Macon,MS,,CPP,,,,,,,
2009-01-23,California Oaks State Bank,3300000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,34579,,bank,123242000.00,FDIC,Thousand Oaks,CA,,CPP,,,,,,,
2009-01-23,Calvert Financial Corporation,1037000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,2868147,,holding company,46176000.00,Federal Reserve,Ashland,MO,,CPP,,,,,,,
2009-01-23,CalWest Bancorp,4656000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3188860,,holding company,191038000.00,Federal Reserve,Rancho Santa Margarita,CA,CALW,CPP,,,,,,,
2009-01-23,Commonwealth Business Bank,7701000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,57873,,bank,295847000.00,Federal Reserve,Los Angeles,CA,CWBB,CPP,,,,,,,
2009-01-23,Crosstown Holding Company,10650000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3304343,,holding company,384028000.00,Federal Reserve,Blaine,MN,,CPP,,,,,,,
2009-01-23,Farmers Bank,8752000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,2429,,bank,344804000.00,Federal Reserve,Windsor,VA,FBVA,CPP,,,,,,,
2009-01-23,First Citizens Banc Corp.,23184000.00,Par,Preferred Stock w/Warrants,Purchase,1246533,,holding company,1051242000.00,Federal Reserve,Sandusky,OH,FCZA,CPP,7.41,469312,7.89,0.48,,,
2009-01-23,First ULB Corp.,4900000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,,H1884,thrift holding company,247050000.00,,Oakland,CA,,CPP,,,,,,,
2009-01-23,FPB Financial Corp.,3240000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,,H3428,thrift holding company,175422000.00,,Hammond,LA,FPBF,CPP,,,,,,,
2009-01-23,Fresno First Bank,1968000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,58090,,bank,96313000.00,FDIC,Fresno,CA,FSNF,CPP,,,,,,,
2009-01-23,"Liberty Bancshares, Inc.",57500000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3101784,,holding company,2615639000.00,Federal Reserve,Jonesboro,AR,,CPP,,,,,,,
2009-01-23,"Midland States Bancorp, Inc.",10189000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1491351,,holding company,438020000.00,Federal Reserve,Effingham,IL,,CPP,,,,,,,
2009-01-23,"Moscow Bancshares, Inc.",6216000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1099896,,holding company,258545000.00,Federal Reserve,Moscow,TN,,CPP,,,,,,,
2009-01-23,Pierce County Bancorp,6800000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,2453114,,holding company,261857000.00,Federal Reserve,Tacoma,WA,,CPP,,,,,,,
2009-01-23,Princeton National  Bancorp Inc.,25083000.00,Par,Preferred Stock w/Warrants,Purchase,1207600,,holding company,1163463000.00,Federal Reserve,Princeton,IL,PNBC,CPP,24.27,155025,15.25,-9.02,,,
2009-01-23,Seaside National Bank & Trust,5677000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,58328,,bank,243410000.00,Comptroller,Orlando,FL,,CPP,,,,,,,
2009-01-23,"Southern Illinois Bancorp, Inc.",5000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1098929,,holding company,247319000.00,Federal Reserve,Carmi,IL,,CPP,,,,,,,
2009-01-23,Stonebridge Financial Corp.,10973000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,2754334,,holding company,487013000.00,Federal Reserve,West Chester,PA,,CPP,,,,,,,
2009-01-23,WSFS Financial Corporation,52625000.00,Par,Preferred Stock w/Warrants,Purchase,,H1232,thrift holding company,3433832000.00,,Wilmington,DE,WSFS,CPP,45.08,175105,26.14,-18.94,,,
2009-01-16,Bank of America Corporation,20000000000.00,Par,Preferred Stock w/Warrants,Purchase,1073757,,holding company,1817686267000.00,Federal Reserve,Charlotte,NC,BAC,TIP,13.30,150375940,7.06,-6.24,,,
2009-01-16,Bank of Commerce,3000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,58134,,bank,125462000.00,FDIC,Charlotte,NC,,CPP,,,,,,,
2009-01-16,Bar Harbor Bankshares,18751000.00,Par,Preferred Stock w/Warrants,Purchase,1115385,,holding company,971535000.00,Federal Reserve,Bar Harbor,ME,BHB,CPP,26.81,104910,24.40,-2.41,,,
2009-01-16,BNCCORP Inc.,20093000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1248162,,holding company,861403000.00,Federal Reserve,Bismarck,ND,BNCC,CPP,,,,,,,
2009-01-16,"Carver Bancorp, Inc",18980000.00,Par,Preferred Stock w/Warrants,Purchase,,H2732,thrift holding company,790750000.00,,New York,NY,CARV,CPP,,,,,,,
2009-01-16,"Centra Financial Holdings, Inc./Centra Bank, Inc.",15000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,2856498,,holding company,1212748000.00,Federal Reserve,Morgantown,WV,,CPP,,,,,,,
2009-01-16,Chrysler Financial Services Americas LLC,1500000000.00,,Debt Obligation w/Additional Note,Purchase,,,bank,,,Farmington Hills,MI,,AIFP,,,,,,,
2009-01-16,Citigroup Inc.,5000000000.00,Preferred Stock and Warrants,Second-Loss Guarantee on Asset Pool,Guarantee,1951350,,holding company,1340720959000.00,Federal Reserve,New York,NY,C,AGP,10.61,254476909,2.70,-7.91,,,
2009-01-16,Citizens & Northern Corporation,26440000.00,Par,Preferred Stock w/Warrants,Purchase,1143623,,holding company,1273285000.00,Federal Reserve,Wellsboro,PA,CZNC,CPP,20.36,194794,20.25,-0.11,,,
