Date,Reserve Bank credit,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Term Facility,Term Asset-Backed Securities Loan Facility,Term Asset-Backed Securities Loan Facility,Other federal reserve assets,Central bank liquidity swaps,U.S. Treasury securities
2006-05-25,822842000000,22857000000,21000000,0,152000000,,,,,,,,,,,,,,,39137000000,,760449000000
2006-05-18,824687000000,23750000000,20000000,0,149000000,,,,,,,,,,,,,,,40828000000,,760177000000
2006-05-11,824690000000,23500000000,40000000,0,134000000,,,,,,,,,,,,,,,41592000000,,759725000000
2006-05-04,823061000000,25071000000,25000000,0,113000000,,,,,,,,,,,,,,,41207000000,,759694000000
2006-04-27,820179000000,21536000000,29000000,0,90000000,,,,,,,,,,,,,,,40507000000,,758896000000
2006-04-20,823734000000,26321000000,3000000,0,84000000,,,,,,,,,,,,,,,39999000000,,758571000000
2006-04-13,817880000000,19464000000,526000000,0,74000000,,,,,,,,,,,,,,,39647000000,,758559000000
2006-04-06,820479000000,24143000000,235000000,0,59000000,,,,,,,,,,,,,,,39298000000,,758544000000
2006-03-30,814099000000,20750000000,36000000,0,55000000,,,,,,,,,,,,,,,35036000000,,758513000000
2006-03-23,820825000000,28893000000,350000000,0,52000000,,,,,,,,,,,,,,,34808000000,,757241000000
2006-03-16,820050000000,28536000000,10000000,0,49000000,,,,,,,,,,,,,,,34155000000,,756617000000
2006-03-09,815376000000,25679000000,20000000,0,42000000,,,,,,,,,,,,,,,33835000000,,754952000000
2006-03-02,820759000000,29036000000,6000000,0,28000000,,,,,,,,,,,,,,,37787000000,,753690000000
2006-02-23,815809000000,27536000000,5000000,8000000,32000000,,,,,,,,,,,,,,,37216000000,,751487000000
2006-02-16,815847000000,24357000000,66000000,0,32000000,,,,,,,,,,,,,,,40182000000,,750625000000
2006-02-09,809112000000,20036000000,5000000,0,28000000,,,,,,,,,,,,,,,40330000000,,748827000000
2006-02-02,814350000000,25393000000,11000000,0,29000000,,,,,,,,,,,,,,,40423000000,,748672000000
2006-01-26,811962000000,25643000000,10000000,0,28000000,,,,,,,,,,,,,,,40239000000,,745928000000
2006-01-19,816436000000,29571000000,292000000,0,29000000,,,,,,,,,,,,,,,40179000000,,745519000000
2006-01-12,815874000000,30393000000,16000000,0,23000000,,,,,,,,,,,,,,,39892000000,,744249000000
2006-01-05,832796000000,48750000000,7000000,0,57000000,,,,,,,,,,,,,,,39296000000,,743831000000
2005-12-29,826403000000,42179000000,51000000,0,74000000,,,,,,,,,,,,,,,39080000000,,744207000000
2005-12-22,817179000000,31964000000,365000000,0,72000000,,,,,,,,,,,,,,,38770000000,,744196000000
2005-12-15,811624000000,27179000000,11000000,0,70000000,,,,,,,,,,,,,,,38133000000,,744185000000
2005-12-08,813647000000,30893000000,17000000,0,69000000,,,,,,,,,,,,,,,37524000000,,744175000000
2005-12-01,812719000000,29821000000,6000000,0,97000000,,,,,,,,,,,,,,,37569000000,,744306000000
2005-11-25,806510000000,24571000000,23000000,0,94000000,,,,,,,,,,,,,,,37224000000,,743500000000
2005-11-17,808873000000,25607000000,46000000,0,106000000,,,,,,,,,,,,,,,39343000000,,742075000000
2005-11-10,799326000000,17857000000,3000000,0,116000000,,,,,,,,,,,,,,,40078000000,,741036000000
2005-11-03,801887000000,20536000000,5000000,0,148000000,,,,,,,,,,,,,,,40301000000,,740525000000
2005-10-27,797931000000,19071000000,40000000,0,183000000,,,,,,,,,,,,,,,39891000000,,738282000000
2005-10-20,800945000000,21214000000,10000000,0,215000000,,,,,,,,,,,,,,,39728000000,,737795000000
2005-10-13,801371000000,22143000000,9000000,0,260000000,,,,,,,,,,,,,,,39574000000,,737660000000
2005-10-06,800180000000,23929000000,108000000,152000000,300000000,,,,,,,,,,,,,,,39069000000,,736539000000
2005-09-29,800582000000,24857000000,12000000,0,339000000,,,,,,,,,,,,,,,39294000000,,735727000000
2005-09-22,800393000000,27614000000,1000000,0,321000000,,,,,,,,,,,,,,,39113000000,,733363000000
2005-09-15,800567000000,28036000000,3000000,0,309000000,,,,,,,,,,,,,,,39006000000,,732393000000
2005-09-08,799280000000,30250000000,20000000,0,301000000,,,,,,,,,,,,,,,38750000000,,730411000000
2005-09-01,797815000000,28714000000,6000000,0,326000000,,,,,,,,,,,,,,,38420000000,,730700000000
