Date,Reserve Bank credit,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Term Facility,Term Asset-Backed Securities Loan Facility,Term Asset-Backed Securities Loan Facility,Other federal reserve assets,Central bank liquidity swaps,U.S. Treasury securities
2008-08-14,883000000000,105786000000,17699000000,7000000,100000000,0,,150000000000,,,,,29145000000,,,,128318000000,,,101987000000,,479396000000
2008-08-07,889150000000,110500000000,17370000000,0,93000000,0,,150000000000,,,,,29105000000,,,,124862000000,,,103971000000,,479291000000
2008-07-31,892783000000,113714000000,17452000000,89000000,101000000,0,,150000000000,,,,,29065000000,,,,121777000000,,,104507000000,,479174000000
2008-07-24,882978000000,104786000000,16381000000,34000000,96000000,0,,150000000000,,,,,29025000000,,,,111557000000,,,104973000000,,479089000000
2008-07-17,888418000000,111143000000,13916000000,279000000,98000000,0,,150000000000,,,,,28955000000,,,,100128000000,,,106359000000,,479004000000
2008-07-10,887866000000,113357000000,12856000000,57000000,101000000,0,,150000000000,,,,,28900000000,,,,103754000000,,,105031000000,,478925000000
2008-07-03,890030000000,110250000000,14861000000,86000000,95000000,0,,150000000000,,,,,29816000000,,,,104244000000,,,105864000000,,478838000000
2008-06-26,874582000000,121679000000,14702000000,0,77000000,0,,150000000000,,,,,,,,,106460000000,,,104402000000,,478773000000
2008-06-19,877428000000,124643000000,13371000000,0,70000000,0,,150000000000,,,,,,,,,111920000000,,,103354000000,,478710000000
2008-06-12,873485000000,116821000000,13148000000,224000000,67000000,0,,150000000000,,,,,,,,,96967000000,,,104138000000,,482050000000
2008-06-05,877723000000,114107000000,15921000000,0,77000000,0,,150000000000,,,,,,,,,99669000000,,,103695000000,,486909000000
2008-05-29,878001000000,105036000000,15950000000,1000000,54000000,0,,150000000000,,,,,,,,,108164000000,,,104684000000,,491064000000
2008-05-22,871207000000,123357000000,13536000000,0,46000000,0,,125000000000,,,,,,,,,122127000000,,,93140000000,,502831000000
2008-05-15,866213000000,95821000000,14416000000,1000000,37000000,0,,125000000000,,,,,,,,,138089000000,,,95501000000,,520054000000
2008-05-08,867629000000,119571000000,11655000000,0,36000000,0,,100000000000,,,,,,,,,142655000000,,,78959000000,,542395000000
2008-05-01,864390000000,107536000000,11588000000,0,25000000,0,,100000000000,,,,,,,,,145629000000,,,79664000000,,548680000000
2008-04-24,868439000000,107786000000,10731000000,0,26000000,0,,100000000000,,,,,,,,,155378000000,,,80466000000,,548651000000
2008-04-17,867193000000,106964000000,7841000000,0,18000000,0,,100000000000,,,,,,,,,129100000000,,,80383000000,,548622000000
2008-04-10,866836000000,99179000000,10182000000,0,17000000,0,,100000000000,,,,,,,,,96429000000,,,64765000000,,560817000000
2008-04-03,875577000000,77500000000,7013000000,0,7000000,0,,100000000000,,,,,,,,,64286000000,,,64924000000,,589085000000
2008-03-27,869437000000,84821000000,550000000,2000000,6000000,0,,80000000000,,,,,,,,,,,,43506000000,,628977000000
2008-03-20,878784000000,61107000000,81000000,0,7000000,5529000000,,80000000000,,,,,,,,,,,,43301000000,,676894000000
2008-03-13,869162000000,58714000000,99000000,0,3000000,,,60000000000,,,,,,,,,,,,42373000000,,709133000000
2008-03-06,873313000000,59357000000,355000000,0,3000000,,,60000000000,,,,,,,,,,,,41607000000,,713365000000
2008-02-28,866606000000,42857000000,169000000,0,5000000,,,60000000000,,,,,,,,,,,,51323000000,,713358000000
2008-02-21,866859000000,43536000000,220000000,0,3000000,,,60000000000,,,,,,,,,,,,51026000000,,713364000000
2008-02-14,858335000000,18357000000,57000000,0,1000000,,,60000000000,,,,,,,,,,,,67575000000,,713372000000
2008-02-07,861703000000,21679000000,144000000,0,1000000,,,60000000000,,,,,,,,,,,,67762000000,,713379000000
2008-01-31,864627000000,29393000000,25000000,0,2000000,,,50000000000,,,,,,,,,,,,67996000000,,718350000000
2008-01-24,861489000000,21500000000,744000000,0,8000000,,,50000000000,,,,,,,,,,,,67210000000,,723298000000
2008-01-17,867536000000,31321000000,1230000000,0,6000000,,,40000000000,,,,,,,,,,,,67784000000,,728238000000
2008-01-10,869212000000,33036000000,1512000000,0,5000000,,,40000000000,,,,,,,,,,,,67202000000,,728182000000
2008-01-03,891743000000,39750000000,5770000000,0,16000000,,,40000000000,,,,,,,,,,,,66612000000,,740611000000
2007-12-27,873512000000,39536000000,4802000000,0,26000000,,,20000000000,,,,,,,,,,,,55445000000,,754605000000
2007-12-20,870930000000,55750000000,4586000000,0,32000000,,,,,,,,,,,,,,,41183000000,,769748000000
2007-12-13,863773000000,45643000000,3009000000,3000000,36000000,,,,,,,,,,,,,,,41137000000,,774728000000
2007-12-06,866962000000,46857000000,309000000,0,33000000,,,,,,,,,,,,,,,40817000000,,779705000000
2007-11-29,869619000000,49250000000,7000000,0,48000000,,,,,,,,,,,,,,,41200000000,,779683000000
2007-11-23,868136000000,48286000000,434000000,0,46000000,,,,,,,,,,,,,,,40337000000,,779657000000
2007-11-15,865773000000,43250000000,523000000,0,44000000,,,,,,,,,,,,,,,43242000000,,779631000000
2007-11-08,864361000000,42821000000,191000000,0,54000000,,,,,,,,,,,,,,,42356000000,,779603000000
2007-11-01,862696000000,41250000000,190000000,0,93000000,,,,,,,,,,,,,,,42323000000,,779568000000
2007-10-25,858846000000,37714000000,142000000,57000000,95000000,,,,,,,,,,,,,,,41747000000,,779580000000
2007-10-18,858089000000,38500000000,126000000,0,114000000,,,,,,,,,,,,,,,41223000000,,779597000000
2007-10-11,858315000000,38071000000,113000000,0,144000000,,,,,,,,,,,,,,,40889000000,,779613000000
2007-10-04,861582000000,41893000000,27000000,0,175000000,,,,,,,,,,,,,,,40905000000,,779630000000
2007-09-27,859548000000,39107000000,88000000,0,218000000,,,,,,,,,,,,,,,40676000000,,779634000000
2007-09-20,852998000000,30179000000,2179000000,0,241000000,,,,,,,,,,,,,,,40140000000,,779636000000
2007-09-13,857247000000,33357000000,2932000000,0,226000000,,,,,,,,,,,,,,,39743000000,,779639000000
2007-09-06,856617000000,37000000000,1103000000,0,238000000,,,,,,,,,,,,,,,38985000000,,779641000000
2007-08-30,849988000000,24571000000,1315000000,0,262000000,,,,,,,,,,,,,,,39203000000,,784630000000
2007-08-23,851696000000,22607000000,1200000000,85000000,256000000,,,,,,,,,,,,,,,38690000000,,789613000000
2007-08-16,867778000000,36286000000,11000000,0,260000000,,,,,,,,,,,,,,,41601000000,,790655000000
2007-08-09,850555000000,18571000000,1000000,0,249000000,,,,,,,,,,,,,,,41807000000,,790814000000
2007-08-02,857603000000,25786000000,2000000,0,249000000,,,,,,,,,,,,,,,41665000000,,790758000000
2007-07-26,850186000000,18857000000,3000000,0,236000000,,,,,,,,,,,,,,,41321000000,,790694000000
2007-07-19,853857000000,22536000000,145000000,0,216000000,,,,,,,,,,,,,,,41044000000,,790640000000
2007-07-12,854278000000,22893000000,43000000,0,195000000,,,,,,,,,,,,,,,40559000000,,790587000000
2007-07-05,857318000000,27179000000,18000000,0,178000000,,,,,,,,,,,,,,,40348000000,,790531000000
2007-06-28,847621000000,17786000000,5000000,0,174000000,,,,,,,,,,,,,,,40006000000,,790476000000
2007-06-21,852284000000,22679000000,132000000,0,151000000,,,,,,,,,,,,,,,39478000000,,790417000000
2007-06-14,849980000000,21071000000,26000000,0,120000000,,,,,,,,,,,,,,,39244000000,,790359000000
2007-06-07,857913000000,29179000000,13000000,0,106000000,,,,,,,,,,,,,,,38866000000,,790300000000
2007-05-31,853787000000,25857000000,6000000,0,122000000,,,,,,,,,,,,,,,38979000000,,790236000000
2007-05-24,850099000000,22071000000,42000000,0,101000000,,,,,,,,,,,,,,,38667000000,,790153000000
2007-05-17,847847000000,18036000000,2000000,0,82000000,,,,,,,,,,,,,,,40708000000,,790074000000
2007-05-10,853506000000,22821000000,5000000,0,70000000,,,,,,,,,,,,,,,41289000000,,789796000000
2007-05-03,866926000000,38750000000,6000000,0,60000000,,,,,,,,,,,,,,,41225000000,,787183000000
2007-04-26,849995000000,24964000000,61000000,0,55000000,,,,,,,,,,,,,,,41057000000,,784787000000
2007-04-19,851199000000,28571000000,2000000,0,48000000,,,,,,,,,,,,,,,40629000000,,782844000000
2007-04-12,849422000000,28607000000,1000000,0,43000000,,,,,,,,,,,,,,,39879000000,,781362000000
2007-04-05,852245000000,32214000000,87000000,0,28000000,,,,,,,,,,,,,,,39775000000,,780908000000
2007-03-29,852122000000,32179000000,52000000,0,28000000,,,,,,,,,,,,,,,39534000000,,780882000000
2007-03-22,851125000000,31750000000,10000000,0,30000000,,,,,,,,,,,,,,,39081000000,,780857000000
2007-03-15,851593000000,32786000000,5000000,21000000,28000000,,,,,,,,,,,,,,,38621000000,,780833000000
2007-03-08,851757000000,33357000000,8000000,0,24000000,,,,,,,,,,,,,,,38252000000,,780809000000
2007-03-01,853467000000,36286000000,11000000,0,21000000,,,,,,,,,,,,,,,38141000000,,779447000000
2007-02-22,851672000000,35179000000,5000000,0,21000000,,,,,,,,,,,,,,,37779000000,,778898000000
2007-02-15,847171000000,27036000000,14000000,0,24000000,,,,,,,,,,,,,,,41129000000,,778884000000
2007-02-08,841481000000,22393000000,1000000,0,20000000,,,,,,,,,,,,,,,40648000000,,778871000000
2007-02-01,844206000000,25500000000,189000000,0,22000000,,,,,,,,,,,,,,,40569000000,,778868000000
2007-01-25,837092000000,18607000000,298000000,0,21000000,,,,,,,,,,,,,,,39827000000,,778880000000
2007-01-18,846037000000,27500000000,265000000,0,19000000,,,,,,,,,,,,,,,39564000000,,778891000000
2007-01-11,844553000000,26571000000,22000000,0,16000000,,,,,,,,,,,,,,,39309000000,,778902000000
2007-01-04,859453000000,40857000000,180000000,0,54000000,,,,,,,,,,,,,,,39650000000,,778916000000
2006-12-28,852198000000,33036000000,64000000,0,85000000,,,,,,,,,,,,,,,39180000000,,778951000000
2006-12-21,845210000000,28929000000,107000000,0,85000000,,,,,,,,,,,,,,,38263000000,,776930000000
2006-12-14,837607000000,22464000000,147000000,0,81000000,,,,,,,,,,,,,,,37973000000,,775414000000
2006-12-07,842371000000,29679000000,101000000,0,82000000,,,,,,,,,,,,,,,37945000000,,773368000000
2006-11-30,844012000000,34750000000,11000000,0,101000000,,,,,,,,,,,,,,,37459000000,,772074000000
2006-11-24,838938000000,31964000000,100000000,0,99000000,,,,,,,,,,,,,,,36598000000,,770558000000
2006-11-16,834832000000,25786000000,3000000,0,118000000,,,,,,,,,,,,,,,39039000000,,770352000000
2006-11-09,835238000000,23536000000,45000000,0,124000000,,,,,,,,,,,,,,,40931000000,,769971000000
2006-11-02,833424000000,22429000000,21000000,0,152000000,,,,,,,,,,,,,,,40940000000,,768651000000
2006-10-26,830809000000,22893000000,9000000,0,165000000,,,,,,,,,,,,,,,40732000000,,767413000000
2006-10-19,831456000000,22786000000,34000000,0,197000000,,,,,,,,,,,,,,,40323000000,,768577000000
2006-10-12,831100000000,22250000000,5000000,0,242000000,,,,,,,,,,,,,,,39621000000,,768941000000
2006-10-05,829644000000,21214000000,40000000,0,303000000,,,,,,,,,,,,,,,39512000000,,768926000000
2006-09-28,825247000000,16643000000,31000000,0,353000000,,,,,,,,,,,,,,,39974000000,,768908000000
2006-09-21,828940000000,19429000000,11000000,0,345000000,,,,,,,,,,,,,,,39428000000,,768887000000
2006-09-14,826496000000,18250000000,244000000,0,340000000,,,,,,,,,,,,,,,39117000000,,767291000000
2006-09-07,832105000000,26357000000,3000000,0,341000000,,,,,,,,,,,,,,,38808000000,,766751000000
2006-08-31,828872000000,24393000000,52000000,0,361000000,,,,,,,,,,,,,,,38896000000,,765398000000
2006-08-24,825027000000,21536000000,7000000,0,341000000,,,,,,,,,,,,,,,38567000000,,764850000000
2006-08-17,829233000000,23429000000,8000000,0,339000000,,,,,,,,,,,,,,,40980000000,,764837000000
2006-08-10,825183000000,18929000000,9000000,0,331000000,,,,,,,,,,,,,,,41809000000,,764824000000
2006-08-03,832999000000,26607000000,141000000,0,345000000,,,,,,,,,,,,,,,41541000000,,764793000000
2006-07-27,825902000000,20536000000,15000000,0,334000000,,,,,,,,,,,,,,,41072000000,,764752000000
2006-07-20,830710000000,24286000000,16000000,0,313000000,,,,,,,,,,,,,,,40933000000,,765788000000
2006-07-13,829845000000,21143000000,11000000,0,289000000,,,,,,,,,,,,,,,41019000000,,766404000000
2006-07-06,836187000000,29464000000,15000000,0,276000000,,,,,,,,,,,,,,,40488000000,,766371000000
2006-06-29,824729000000,18429000000,16000000,0,277000000,,,,,,,,,,,,,,,40300000000,,766330000000
2006-06-22,825872000000,18571000000,16000000,0,252000000,,,,,,,,,,,,,,,39936000000,,766278000000
2006-06-15,824744000000,19714000000,14000000,0,217000000,,,,,,,,,,,,,,,39723000000,,765286000000
2006-06-08,829430000000,25821000000,14000000,0,209000000,,,,,,,,,,,,,,,39574000000,,763824000000
2006-06-01,826970000000,26429000000,23000000,0,172000000,,,,,,,,,,,,,,,39465000000,,762401000000
