"state_name","year","sf1_fuel_revenue_for_highways","sf1_vehicle_revenue_for_highways","sf1_toll_revenue_for_highways","state_user","sf1_general_funds_for_highways","sf1_other_imposts_for_highways","sf1_miscellaneous_for_highways","state_non_user","sf1_bonds_original_for_highways","state_bonds","lgf1_fuel_vehicle_revenue_for_highways","lgf1_toll_revenue_for_highways","local_user","lgf1_general_funds_for_highways","lgf1_property_tax_funds_for_highways","lgf1_other_imposts_for_highways","lgf1_miscellanious_for_highways","local_non_user","lgf1_bonds_original_for_highways","local_bonds","sf1_fhwa_funds_for_highways","sf1_other_federal_funds_for_highways","lgf1_fhwa_funds_for_highways","lgf1_other_federal_funds_for_highways","federal","cci_multiplier_for_conversion_to_2007_dollars"
"California",2004,3442693000,1976049000,111809000,5530551000,,121865000,124870000,246735000,676065000,676065000,,250418000,250418000,1179229000,205742000,842610000,1944602000,4172183000,144779000,144779000,1753395000,92782000,12515000,41658000,1900350000,1.11960646521434
"California",2005,3206048000,2310261000,231858000,5748167000,26656000,423498000,195361000,645515000,300000000,300000000,,279085000,279085000,2517783000,262491000,119262000,1593982000,4493518000,70361000,70361000,2132269000,81049000,,40196000,2253514000,1.06983615363954
"California",2006,3235557000,2219466000,193593000,5648616000,1116384000,354335000,556724000,2027443000,1029642000,1029642000,,309679000,309679000,2753209000,275383000,124032000,1603517000,4756141000,84506000,84506000,2248075000,61883000,,,2309958000,1.02773835634112
"California",2007,3396156000,1281944000,315624000,4993724000,1775554000,950844000,796354000,3522752000,788114000,788114000,,321639000,321639000,1696189000,298675000,410009000,2236551000,4641424000,97771000,97771000,2703681000,186629000,,91834000,2982144000,1
"Colorado",1995,426996000,146065000,,573061000,72311000,33864000,2126000,108301000,,0,0,3255000,3255000,203631000,87331000,93377000,93006000,477345000,63290000,63290000,232751000,13553000,2201000,12141000,260646000,1.45604094315482
"Colorado",1996,432672000,157276000,0,589948000,31146000,10335000,2589000,44070000,0,0,0,3441000,3441000,186944000,88510000,94308000,83495000,453257000,61732000,61732000,259073000,4884000,0,5429000,269386000,1.41743772241993
"Colorado",1997,427899000,175757000,0,603656000,51815000,17968000,14719000,84502000,0,0,0,4071000,4071000,171085000,84322000,145550000,154860000,555817000,269173000,269173000,191253000,6254000,0,9550000,207057000,1.36731891520769
"Colorado",1998,477030000,168714000,0,645744000,160241000,174726000,22427000,357394000,0,0,,5897000,5897000,184827000,85599000,153120000,152109000,575655000,75301000,75301000,249679000,4256000,,8291000,262226000,1.34560810810811
"Colorado",1999,510550000,195069000,,705619000,100227000,182232000,71109000,353568000,,0,,15173000,15173000,101322000,88172000,187322000,173535000,550351000,40486000,40486000,320449000,2491000,,14103000,337043000,1.3147384056775
"Colorado",2000,505966000,283209000,,789175000,41171000,199546000,34247000,274964000,554265000,554265000,,27119000,27119000,139272000,88338000,189421000,148198000,565229000,362595000,362595000,295973000,6388000,,10884000,313245000,1.28050152708568
"Colorado",2001,539832000,159461000,,699293000,143171000,200968000,22530000,366669000,539234000,539234000,,38778000,38778000,290998000,89486000,212117000,162319000,754920000,47493000,47493000,368690000,5204000,,22774000,396668000,1.25587261548163
"Colorado",2002,534711000,237935000,,772646000,67439000,19602000,46098000,133139000,262357000,262357000,,39609000,39609000,364385000,92618000,222723000,138027000,817753000,64256000,64256000,316562000,8479000,,2552000,327593000,1.21841541755889
"Colorado",2003,526022000,640960000,,1166982000,28740000,1010000,131963000,161713000,105859000,105859000,,62307000,62307000,454571000,99657000,244963000,191386000,990577000,21278000,21278000,427569000,15973000,,32154000,475696000,1.19002091425157
"Colorado",2004,528149000,671682000,,1199831000,21548000,,25237000,46785000,181469000,181469000,,75961000,75961000,472754000,103644000,254762000,206523000,1037683000,60302000,60302000,479627000,7670000,,34044000,521341000,1.11960646521434
"Colorado",2005,500621000,693880000,,1194501000,81212000,,142391000,223603000,,0,,81494000,81494000,224618000,133904000,311744000,248884000,919150000,106749000,106749000,365959000,4233000,,29465000,399657000,1.06983615363954
"Colorado",2006,578142000,862531000,,1440673000,67250000,5259000,33797000,106306000,,0,,94121000,94121000,355776000,145955000,339801000,161623000,1003155000,144453000,144453000,469288000,4773000,,,474061000,1.02773835634112
"Colorado",2007,544266000,730948000,2200000,1277414000,374382000,14293000,55698000,444373000,,0,,93000000,93000000,158588000,132152000,371946000,294863000,957549000,40091000,40091000,532666000,161332000,,41917000,735915000,1
"Connecticut",1995,306196000,139798000,239000,446233000,14236000,8000,74105000,88349000,323312000,323312000,28932000,0,28932000,170458000,548000,0,20620000,191626000,1110000,1110000,359857000,1285000,0,0,361142000,1.45604094315482
"Connecticut",1996,361733000,149500000,201000,511434000,0,9000,81469000,81478000,322144000,322144000,23905000,0,23905000,201349000,274000,0,16689000,218312000,2199000,2199000,329562000,3189000,0,0,332751000,1.41743772241993
"Connecticut",1997,391345000,152001000,173000,543519000,0,7000,81907000,81914000,149416000,149416000,18879000,0,18879000,232239000,0,0,12758000,244997000,1245000,1245000,368784000,2292000,0,0,371076000,1.36731891520769
"Connecticut",1998,369287000,140703000,160000,510150000,0,7000,82970000,82977000,161039000,161039000,18635000,,18635000,237767000,,,12078000,249845000,1252000,1252000,337272000,1860000,,,339132000,1.34560810810811
"Connecticut",1999,329216000,152063000,168000,481447000,,20009000,109896000,129905000,236710000,236710000,16323000,,16323000,283499000,,,11911000,295410000,,0,331693000,2252000,,,333945000,1.3147384056775
"Connecticut",2000,353767000,156855000,136000,510758000,49829000,,146217000,196046000,150680000,150680000,15966000,,15966000,289927000,,,11666000,301593000,,0,405145000,1714000,,,406859000,1.28050152708568
"Connecticut",2001,335585000,192318000,136000,528039000,14389000,,111056000,125445000,226081000,226081000,24293000,,24293000,233668000,,,17050000,250718000,6041000,6041000,391221000,3195000,,,394416000,1.25587261548163
"Connecticut",2002,292654000,168221000,121000,460996000,669000,,108829000,109498000,328628000,328628000,30420000,,30420000,237172000,,,21350000,258522000,7564000,7564000,447060000,6717000,,,453777000,1.21841541755889
"Connecticut",2003,297362000,149595000,155000,447112000,107735000,65529000,89661000,262925000,264432000,264432000,32963000,,32963000,289826000,,,16786000,306612000,,0,407569000,9471000,,,417040000,1.19002091425157
"Connecticut",2004,340687000,187774000,157000,528618000,41194000,70418000,53147000,164759000,226833000,226833000,36919000,,36919000,208735000,,,17458000,226193000,,0,463209000,11338000,,,474547000,1.11960646521434
"Connecticut",2005,297686000,173846000,167000,471699000,112772000,82724000,82527000,278023000,220106000,220106000,16321000,,16321000,220880000,,,10565000,231445000,,0,316907000,7827000,,,324734000,1.06983615363954
"Connecticut",2006,392336000,184733000,150000,577219000,,3000,87439000,87442000,253976000,253976000,21205000,,21205000,227571000,,,10376000,237947000,,0,437857000,10250000,,,448107000,1.02773835634112
"Connecticut",2007,421340000,232970000,323000,654633000,173000,5000,112721000,112899000,,0,47069000,,47069000,254579000,,,1870000,256449000,,0,341700000,57183000,,,398883000,1
"Delaware",1995,79110000,62882000,100817000,242809000,25567000,,16826000,42393000,70064000,70064000,0,0,0,13143000,500000,0,679000,14322000,3080000,3080000,59161000,14869000,0,23000,74053000,1.45604094315482
"Delaware",1996,82965000,66667000,102062000,251694000,35477000,0,20105000,55582000,65305000,65305000,0,0,0,14143000,499000,0,728000,15370000,3288000,3288000,77948000,15909000,0,0,93857000,1.41743772241993
"Delaware",1997,80864000,67443000,103968000,252275000,38302000,0,31104000,69406000,0,0,0,0,0,16313000,1632000,1190000,124000,19259000,1007000,1007000,82267000,16730000,0,0,98997000,1.36731891520769
"Delaware",1998,78787000,62792000,110587000,252166000,71562000,0,63393000,134955000,81147000,81147000,,,0,16482000,1751000,1238000,118000,19589000,2349000,2349000,92715000,15395000,,,108110000,1.34560810810811
"Delaware",1999,93479000,75189000,104149000,272817000,35019000,,26071000,61090000,,0,,,0,15003000,1448000,198000,1026000,17675000,3436000,3436000,107117000,22437000,,,129554000,1.3147384056775
"Delaware",2000,107531000,92737000,144856000,345124000,4105000,,41477000,45582000,212968000,212968000,,,0,16209000,1539000,188000,1137000,19073000,3452000,3452000,116366000,3138000,,,119504000,1.28050152708568
"Delaware",2001,103284000,92822000,144856000,340962000,45325000,,35770000,81095000,128523000,128523000,,,0,23384000,857000,180000,1989000,26410000,5072000,5072000,127085000,1763000,,,128848000,1.25587261548163
"Delaware",2002,110698000,97501000,169359000,377558000,15749000,,25645000,41394000,97790000,97790000,,,0,24153000,894000,170000,2048000,27265000,5224000,5224000,114325000,1194000,,,115519000,1.21841541755889
"Delaware",2003,108699000,99678000,165057000,373434000,104085000,,30154000,134239000,340883000,340883000,,,0,23147000,1780000,645000,1368000,26940000,2072000,2072000,110788000,456000,,106000,111350000,1.19002091425157
"Delaware",2004,115945000,105540000,169407000,390892000,96053000,,29907000,125960000,4966000,4966000,,,0,24073000,1845000,694000,1205000,27817000,2010000,2010000,89255000,2060000,,106000,91421000,1.11960646521434
"Delaware",2005,116785000,92806000,176994000,386585000,176483000,,32171000,208654000,122183000,122183000,,,0,33238000,2210000,599000,1217000,37264000,1899000,1899000,102083000,1942000,,465000,104490000,1.06983615363954
"Delaware",2006,118471000,109898000,202158000,430527000,86823000,,30155000,116978000,150835000,150835000,,,0,40049000,2277000,611000,1226000,44163000,1956000,1956000,108675000,1651000,,,110326000,1.02773835634112
"Delaware",2007,117218000,106255000,213231000,436704000,139901000,,25069000,164970000,222612000,222612000,,,0,22648000,3215000,135000,2823000,28821000,13149000,13149000,91357000,14082000,,138000,105577000,1
"District of Columbia",1995,18486000,26110000,,44596000,,,,0,38733000,38733000,,,0,,,,,0,,0,55299000,1130000,,,56429000,1.45604094315482
"District of Columbia",1996,31687000,47662000,0,79349000,0,0,41000,41000,0,0,,,0,,,,,0,,0,44220000,608000,,,44828000,1.41743772241993
"District of Columbia",1997,27161000,40017000,0,67178000,0,0,2105000,2105000,12107000,12107000,,,0,,,,,0,,0,66369000,927000,,,67296000,1.36731891520769
"District of Columbia",1998,30640000,47691000,0,78331000,134000,0,2241000,2375000,27000000,27000000,,,0,,,,,0,,0,74962000,1136000,,,76098000,1.34560810810811
"District of Columbia",1999,32452000,49558000,,82010000,23743000,,1881000,25624000,17560000,17560000,,,0,,,,,0,,0,86012000,614000,,,86626000,1.3147384056775
"District of Columbia",2000,31655000,56096000,,87751000,25000000,,8353000,33353000,,0,,,0,,,,,0,,0,121347000,1765000,,,123112000,1.28050152708568
"District of Columbia",2001,28688000,68859000,,97547000,72811000,,48557000,121368000,,0,,,0,,,,,0,,0,185643000,1730000,,,187373000,1.25587261548163
"District of Columbia",2002,32247000,49219000,,81466000,44028000,48947000,1867000,94842000,2583000,2583000,,,0,,,,,0,,0,154309000,1771000,,,156080000,1.21841541755889
"District of Columbia",2003,26749000,94064000,,120813000,25837000,36647000,941000,63425000,13971000,13971000,,,0,,,,,0,,0,153396000,1933000,,,155329000,1.19002091425157
"District of Columbia",2004,26898000,90249000,,117147000,68675000,37212000,756000,106643000,,0,,,0,,,,,0,,0,128693000,2244000,,,130937000,1.11960646521434
"District of Columbia",2005,25912000,65933000,,91845000,87060000,36501000,1165000,124726000,,0,,,0,,,,,0,,0,90471000,4443000,,,94914000,1.06983615363954
"District of Columbia",2006,21784000,69379000,,91163000,,96460000,1794000,98254000,,0,,,0,,,,,0,,0,109978000,1808000,,,111786000,1.02773835634112
"District of Columbia",2007,22526000,70164000,,92690000,172106000,91538000,3724000,267368000,149223000,149223000,,,0,,,,,0,,0,122531000,2163000,,,124694000,1
"Florida",1995,989206000,511104000,347243000,1847553000,,99909000,110587000,210496000,216425000,216425000,432870000,16399000,449269000,164596000,144866000,175964000,158254000,643680000,457232000,457232000,826561000,5537000,0,4645000,836743000,1.45604094315482
"Florida",1996,1069009000,560821000,386215000,2016045000,0,101299000,131482000,232781000,347408000,347408000,466890000,26159000,493049000,165417000,147768000,177718000,171457000,662360000,257492000,257492000,835821000,6823000,0,4608000,847252000,1.41743772241993
"Florida",1997,1116732000,542549000,454454000,2113735000,0,106015000,118394000,224409000,337640000,337640000,547590000,28381000,575971000,320303000,194143000,300422000,159076000,973944000,64842000,64842000,723282000,11333000,0,7516000,742131000,1.36731891520769
"Florida",1998,1243452000,619975000,471951000,2335378000,0,96622000,140865000,237487000,953336000,953336000,555562000,17578000,573140000,230787000,202649000,309831000,179215000,922482000,116456000,116456000,674800000,21997000,,7701000,704498000,1.34560810810811
"Florida",1999,1204329000,679770000,497403000,2381502000,,97323000,172466000,269789000,425020000,425020000,548733000,44863000,593596000,282133000,150536000,412682000,126000000,971351000,52528000,52528000,708308000,7492000,,18523000,734323000,1.3147384056775
"Florida",2000,1322851000,640501000,564494000,2527846000,,99912000,127847000,227759000,273948000,273948000,595964000,48283000,644247000,189974000,162645000,429144000,123448000,905211000,70864000,70864000,994165000,12534000,,15749000,1022448000,1.28050152708568
"Florida",2001,1371833000,602163000,564494000,2538490000,8048000,106740000,121401000,236189000,273948000,273948000,543062000,51220000,594282000,27379000,182922000,505030000,278927000,994258000,791323000,791323000,1243793000,10695000,,18173000,1272661000,1.25587261548163
"Florida",2002,1516275000,612790000,669217000,2798282000,15000000,97195000,121472000,233667000,234201000,234201000,791879000,38950000,830829000,352726000,184482000,632392000,319138000,1488738000,460565000,460565000,1323089000,12251000,,1006000,1336346000,1.21841541755889
"Florida",2003,1610528000,608135000,723768000,2942431000,193339000,95821000,113245000,402405000,651134000,651134000,528825000,55358000,584183000,685415000,202664000,663859000,188581000,1740519000,421175000,421175000,1695189000,15482000,,22780000,1733451000,1.19002091425157
"Florida",2004,1646852000,723423000,822152000,3192427000,27568000,98534000,182564000,308666000,846429000,846429000,641396000,49462000,690858000,642536000,240182000,865264000,179876000,1927858000,392872000,392872000,1431260000,22555000,,29184000,1482999000,1.11960646521434
