date,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane II LLC,Reserve Bank credit,Net portfolio holdings of Maiden Lance LLC,Primary dealer and other broker-dealer credit,Asset-backed Commercial paper money market Mutual Fund Liquidity Facility,Term Auction credit,Mortgage-backed securities,"Credit extended to American International Group, Inc.",Central bank liquidity swaps
1997-3-27,,,,,438441,,,,,,,
1997-3-20,,,,,438287,,,,,,,
1997-3-13,,,,,437364,,,,,,,
1997-3-6,,,,,435211,,,,,,,
1997-2-27,,,,,436009,,,,,,,
1997-2-20,,,,,434448,,,,,,,
1997-2-13,,,,,432568,,,,,,,
1997-2-6,,,,,,,,,,,,
1997-1-30,,,,,,,,,,,,
1997-1-23,,,,,,,,,,,,
1997-1-16,,,,,,,,,,,,
1997-1-9,,,,,,,,,,,,
1997-1-2,,,,,,,,,,,,
1996-12-26,,,,,,,,,,,,
1996-12-19,,,,,,,,,,,,
1996-12-12,,,,,,,,,,,,
1996-12-5,,,,,,,,,,,,
1996-11-29,,,,,,,,,,,,
1996-11-21,,,,,,,,,,,,
1996-11-14,,,,,,,,,,,,
1996-11-7,,,,,,,,,,,,
1996-10-31,,,,,,,,,,,,
1996-10-24,,,,,,,,,,,,
1996-10-17,,,,,,,,,,,,
1996-10-10,,,,,,,,,,,,
1996-10-3,,,,,,,,,,,,
1996-9-26,,,,,,,,,,,,
1996-9-19,,,,,,,,,,,,
1996-9-12,,,,,,,,,,,,
1996-9-5,,,,,,,,,,,,
1996-8-29,,,,,,,,,,,,
1996-8-22,,,,,,,,,,,,
1996-8-15,,,,,,,,,,,,
1996-8-8,,,,,,,,,,,,
1996-8-1,,,,,,,,,,,,
1996-7-25,,,,,,,,,,,,
1996-7-18,,,,,,,,,,,,
1996-7-11,,,,,,,,,,,,
1996-7-5,,,,,,,,,,,,
1996-6-27,,,,,,,,,,,,
