date,Reserve Bank credit,U.S. Treasury securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Central bank liquidity swaps,Term Facility
2007-3-22,851125,780857,31750,10,0,30,,39081,,,,,,,,,,,,,
2007-3-15,851593,780833,32786,5,21,28,,38621,,,,,,,,,,,,,
2007-3-8,851757,780809,33357,8,0,24,,38252,,,,,,,,,,,,,
2007-3-1,853467,779447,36286,11,0,21,,38141,,,,,,,,,,,,,
2007-2-22,851672,778898,35179,5,0,21,,37779,,,,,,,,,,,,,
2007-2-15,847171,778884,27036,14,0,24,,41129,,,,,,,,,,,,,
2007-2-8,841481,778871,22393,1,0,20,,40648,,,,,,,,,,,,,
2007-2-1,844206,778868,25500,189,0,22,,40569,,,,,,,,,,,,,
2007-1-25,837092,778880,18607,298,0,21,,39827,,,,,,,,,,,,,
2007-1-18,846037,778891,27500,265,0,19,,39564,,,,,,,,,,,,,
2007-1-11,844553,778902,26571,22,0,16,,39309,,,,,,,,,,,,,
2007-1-4,859453,778916,40857,180,0,54,,39650,,,,,,,,,,,,,
2006-12-28,852198,778951,33036,64,0,85,,39180,,,,,,,,,,,,,
2006-12-21,845210,776930,28929,107,0,85,,38263,,,,,,,,,,,,,
2006-12-14,837607,775414,22464,147,0,81,,37973,,,,,,,,,,,,,
2006-12-7,842371,773368,29679,101,0,82,,37945,,,,,,,,,,,,,
2006-11-30,844012,772074,34750,11,0,101,,37459,,,,,,,,,,,,,
2006-11-24,838938,770558,31964,100,0,99,,36598,,,,,,,,,,,,,
2006-11-16,834832,770352,25786,3,0,118,,39039,,,,,,,,,,,,,
2006-11-9,835238,769971,23536,45,0,124,,40931,,,,,,,,,,,,,
2006-11-2,833424,768651,22429,21,0,152,,40940,,,,,,,,,,,,,
2006-10-26,830809,767413,22893,9,0,165,,40732,,,,,,,,,,,,,
2006-10-19,831456,768577,22786,34,0,197,,40323,,,,,,,,,,,,,
2006-10-12,831100,768941,22250,5,0,242,,39621,,,,,,,,,,,,,
2006-10-5,829644,768926,21214,40,0,303,,39512,,,,,,,,,,,,,
2006-9-28,825247,768908,16643,31,0,353,,39974,,,,,,,,,,,,,
2006-9-21,828940,768887,19429,11,0,345,,39428,,,,,,,,,,,,,
2006-9-14,826496,767291,18250,244,0,340,,39117,,,,,,,,,,,,,
2006-9-7,832105,766751,26357,3,0,341,,38808,,,,,,,,,,,,,
2006-8-31,828872,765398,24393,52,0,361,,38896,,,,,,,,,,,,,
2006-8-24,825027,764850,21536,7,0,341,,38567,,,,,,,,,,,,,
2006-8-17,829233,764837,23429,8,0,339,,40980,,,,,,,,,,,,,
2006-8-10,825183,764824,18929,9,0,331,,41809,,,,,,,,,,,,,
2006-8-3,832999,764793,26607,141,0,345,,41541,,,,,,,,,,,,,
2006-7-27,825902,764752,20536,15,0,334,,41072,,,,,,,,,,,,,
2006-7-20,830710,765788,24286,16,0,313,,40933,,,,,,,,,,,,,
2006-7-13,829845,766404,21143,11,0,289,,41019,,,,,,,,,,,,,
2006-7-6,836187,766371,29464,15,0,276,,40488,,,,,,,,,,,,,
2006-6-29,824729,766330,18429,16,0,277,,40300,,,,,,,,,,,,,
2006-6-22,825872,766278,18571,16,0,252,,39936,,,,,,,,,,,,,
2006-6-15,824744,765286,19714,14,0,217,,39723,,,,,,,,,,,,,
2006-6-8,829430,763824,25821,14,0,209,,39574,,,,,,,,,,,,,
2006-6-1,826970,762401,26429,23,0,172,,39465,,,,,,,,,,,,,
2006-5-25,822842,760449,22857,21,0,152,,39137,,,,,,,,,,,,,
2006-5-18,824687,760177,23750,20,0,149,,40828,,,,,,,,,,,,,
2006-5-11,824690,759725,23500,40,0,134,,41592,,,,,,,,,,,,,
2006-5-4,823061,759694,25071,25,0,113,,41207,,,,,,,,,,,,,
2006-4-27,820179,758896,21536,29,0,90,,40507,,,,,,,,,,,,,
2006-4-20,823734,758571,26321,3,0,84,,39999,,,,,,,,,,,,,
2006-4-13,817880,758559,19464,526,0,74,,39647,,,,,,,,,,,,,
2006-4-6,820479,758544,24143,235,0,59,,39298,,,,,,,,,,,,,
2006-3-30,814099,758513,20750,36,0,55,,35036,,,,,,,,,,,,,
2006-3-23,820825,757241,28893,350,0,52,,34808,,,,,,,,,,,,,
2006-3-16,820050,756617,28536,10,0,49,,34155,,,,,,,,,,,,,
2006-3-9,815376,754952,25679,20,0,42,,33835,,,,,,,,,,,,,
2006-3-2,820759,753690,29036,6,0,28,,37787,,,,,,,,,,,,,
2006-2-23,815809,751487,27536,5,8,32,,37216,,,,,,,,,,,,,
2006-2-16,815847,750625,24357,66,0,32,,40182,,,,,,,,,,,,,
2006-2-9,809112,748827,20036,5,0,28,,40330,,,,,,,,,,,,,
2006-2-2,814350,748672,25393,11,0,29,,40423,,,,,,,,,,,,,
2006-1-26,811962,745928,25643,10,0,28,,40239,,,,,,,,,,,,,
2006-1-19,816436,745519,29571,292,0,29,,40179,,,,,,,,,,,,,
2006-1-12,815874,744249,30393,16,0,23,,39892,,,,,,,,,,,,,
2006-1-5,832796,743831,48750,7,0,57,,39296,,,,,,,,,,,,,
2005-12-29,826403,744207,42179,51,0,74,,39080,,,,,,,,,,,,,
2005-12-22,817179,744196,31964,365,0,72,,38770,,,,,,,,,,,,,
2005-12-15,811624,744185,27179,11,0,70,,38133,,,,,,,,,,,,,
2005-12-8,813647,744175,30893,17,0,69,,37524,,,,,,,,,,,,,
2005-12-1,812719,744306,29821,6,0,97,,37569,,,,,,,,,,,,,
2005-11-25,806510,743500,24571,23,0,94,,37224,,,,,,,,,,,,,
2005-11-17,808873,742075,25607,46,0,106,,39343,,,,,,,,,,,,,
2005-11-10,799326,741036,17857,3,0,116,,40078,,,,,,,,,,,,,
2005-11-3,801887,740525,20536,5,0,148,,40301,,,,,,,,,,,,,
2005-10-27,797931,738282,19071,40,0,183,,39891,,,,,,,,,,,,,
2005-10-20,800945,737795,21214,10,0,215,,39728,,,,,,,,,,,,,
2005-10-13,801371,737660,22143,9,0,260,,39574,,,,,,,,,,,,,
2005-10-6,800180,736539,23929,108,152,300,,39069,,,,,,,,,,,,,
2005-9-29,800582,735727,24857,12,0,339,,39294,,,,,,,,,,,,,
2005-9-22,800393,733363,27614,1,0,321,,39113,,,,,,,,,,,,,
2005-9-15,800567,732393,28036,3,0,309,,39006,,,,,,,,,,,,,
2005-9-8,799280,730411,30250,20,0,301,,38750,,,,,,,,,,,,,
2005-9-1,797815,730700,28714,6,0,326,,38420,,,,,,,,,,,,,
2005-8-25,791441,728553,25107,16,0,317,,37970,,,,,,,,,,,,,
2005-8-18,793703,726345,26857,155,0,290,,40032,,,,,,,,,,,,,
2005-8-11,791658,724702,25964,2,0,267,,41077,,,,,,,,,,,,,
2005-8-4,799110,724700,33750,448,0,262,,40691,,,,,,,,,,,,,
2005-7-28,793287,724704,28643,11,67,266,,40403,,,,,,,,,,,,,
2005-7-21,796276,724709,31643,128,0,239,,40095,,,,,,,,,,,,,
2005-7-14,792010,724714,26893,51,0,224,,40105,,,,,,,,,,,,,
2005-7-7,795797,724719,30071,539,0,206,,39748,,,,,,,,,,,,,
2005-6-30,788567,726009,23107,19,0,196,,40025,,,,,,,,,,,,,
2005-6-23,787859,725909,22286,22,0,158,,39710,,,,,,,,,,,,,
2005-6-16,787960,725482,23714,14,0,148,,39323,,,,,,,,,,,,,
2005-6-9,790003,725448,25500,2,0,150,,39201,,,,,,,,,,,,,
2005-6-2,792472,724565,29714,11,0,145,,39035,,,,,,,,,,,,,
2005-5-26,786594,722188,26357,8,0,142,,38685,,,,,,,,,,,,,
2005-5-19,787559,721611,26571,2,0,139,,40493,,,,,,,,,,,,,
2005-5-12,783258,720597,21036,8,0,126,,42134,,,,,,,,,,,,,
2005-5-5,786449,719356,26143,5,0,107,,41957,,,,,,,,,,,,,
2005-4-28,786712,717941,27321,7,0,96,,41662,,,,,,,,,,,,,
2005-4-21,785627,717398,27464,5,0,80,,41150,,,,,,,,,,,,,
2005-4-14,781422,717369,22893,211,0,68,,40997,,,,,,,,,,,,,
2005-4-7,783431,717341,25143,12,0,57,,40624,,,,,,,,,,,,,
2005-3-31,782330,717532,24643,13,0,46,,40614,,,,,,,,,,,,,
2005-3-24,783495,717522,25964,5,0,38,,40687,,,,,,,,,,,,,
2005-3-17,785361,717512,28107,8,0,35,,40430,,,,,,,,,,,,,
2005-3-10,777647,717502,20893,5,0,29,,39974,,,,,,,,,,,,,
2005-3-5,784887,717686,26571,64,0,17,,39612,,,,,,,,,,,,,
2005-2-24,780772,717845,23964,5,0,16,,39250,,,,,,,,,,,,,
2005-2-17,783703,717866,23929,9,0,14,,41473,,,,,,,,,,,,,
2005-2-10,776603,717886,16143,22,0,15,,42221,,,,,,,,,,,,,
2005-2-3,784230,717855,26321,42,0,19,,39927,,,,,,,,,,,,,
2005-1-27,780557,717827,21893,55,0,22,,39602,,,,,,,,,,,,,
2005-1-20,783308,717825,24786,35,0,19,,39702,,,,,,,,,,,,,
2005-1-13,780682,717822,22893,45,0,20,,39257,,,,,,,,,,,,,
2005-1-6,791658,717819,33214,19,0,35,,39607,,,,,,,,,,,,,
2004-12-30,790621,717727,31071,9,0,45,,39272,,,,,,,,,,,,,
2004-12-23,784475,717674,25393,19,0,56,,40878,,,,,,,,,,,,,
2004-12-16,782668,717589,24821,5,0,56,,40436,,,,,,,,,,,,,
2004-12-9,784133,715618,28071,3,0,51,,40244,,,,,,,,,,,,,
2004-12-2,785515,711968,33643,6,0,67,,39938,,,,,,,,,,,,,
2004-11-26,779872,711264,28607,5,0,71,,39414,,,,,,,,,,,,,
2004-11-18,778583,709268,27107,431,0,80,,40943,,,,,,,,,,,,,
2004-11-12,774767,708823,23643,6,0,79,,42149,,,,,,,,,,,,,
2004-11-4,773351,707023,24286,8,0,107,,41599,,,,,,,,,,,,,
2004-10-28,770604,705165,24000,51,0,147,,41100,,,,,,,,,,,,,
2004-10-21,770529,702661,26964,5,0,168,,40342,,,,,,,,,,,,,
2004-10-14,768783,701602,27071,5,0,188,,40044,,,,,,,,,,,,,
2004-10-7,764916,700691,24464,2,0,199,,39560,,,,,,,,,,,,,
2004-9-30,765836,698602,27571,9,0,245,,39269,,,,,,,,,,,,,
2004-9-23,767481,697024,31286,352,0,240,,38847,,,,,,,,,,,,,
2004-9-16,768420,695563,33500,20,0,238,,38627,,,,,,,,,,,,,
2004-9-9,764440,694871,30929,31,0,236,,38100,,,,,,,,,,,,,
2004-9-2,764044,694851,31000,31,0,242,,37971,,,,,,,,,,,,,
2004-8-26,755206,694794,22786,6,0,234,,37846,,,,,,,,,,,,,
2004-8-19,754238,694041,20536,12,0,235,,39803,,,,,,,,,,,,,
2004-8-12,754791,693741,20036,16,0,223,,41071,,,,,,,,,,,,,
2004-8-5,757633,693728,22929,31,0,234,,40475,,,,,,,,,,,,,
2004-7-29,752230,693510,18607,37,0,226,,40363,,,,,,,,,,,,,
2004-7-22,756215,692281,23536,26,0,214,,40418,,,,,,,,,,,,,
2004-7-15,755496,689774,25250,53,0,191,,40431,,,,,,,,,,,,,
2004-7-8,754955,687668,27179,59,0,165,,39901,,,,,,,,,,,,,
2004-7-1,752257,687099,25250,58,0,164,,39693,,,,,,,,,,,,,
2004-6-24,748436,685043,24250,54,0,143,,39208,,,,,,,,,,,,,
2004-6-17,746382,684980,22821,34,0,135,,38767,,,,,,,,,,,,,
2004-6-10,746417,683066,24821,32,0,126,,38470,,,,,,,,,,,,,
2004-6-3,749607,681468,29750,8,0,119,,38333,,,,,,,,,,,,,
2004-5-27,743669,680027,26107,4,0,114,,37637,,,,,,,,,,,,,
2004-5-20,740495,679574,22000,2,0,104,,39299,,,,,,,,,,,,,
2004-5-13,741313,677826,23071,16,0,93,,40687,,,,,,,,,,,,,
2004-5-6,742139,677738,24464,6,0,82,,40591,,,,,,,,,,,,,
2004-4-29,744758,675539,29429,16,0,71,,40455,,,,,,,,,,,,,
2004-4-22,739030,674786,24529,34,0,61,,40308,,,,,,,,,,,,,
2004-4-15,740217,674520,25729,33,0,52,,40347,,,,,,,,,,,,,
2004-4-8,733554,674201,19571,36,0,37,,40205,,,,,,,,,,,,,
2004-4-1,737739,674037,24357,11,0,36,,40019,,,,,,,,,,,,,
2004-3-25,731279,673518,18786,26,0,36,,39690,,,,,,,,,,,,,
2004-3-18,736994,673086,25179,48,0,27,,39342,,,,,,,,,,,,,
2004-3-11,729556,672592,18000,7,0,19,,38977,,,,,,,,,,,,,
2004-3-4,736597,671586,26286,3,0,21,,38548,,,,,,,,,,,,,
2004-2-26,732057,670909,23000,37,0,16,,38634,,,,,,,,,,,,,
2004-2-19,739691,670117,28429,11,0,11,,41394,,,,,,,,,,,,,
2004-2-12,729540,668702,17286,19,0,9,,41981,,,,,,,,,,,,,
2004-2-5,732240,667262,23214,10,0,13,,41406,,,,,,,,,,,,,
2004-1-29,728183,667029,19143,184,0,14,,41289,,,,,,,,,,,,,
2004-1-22,738254,666827,30607,212,0,11,,40771,,,,,,,,,,,,,
2004-1-15,729489,666798,21143,39,0,6,,41172,,,,,,,,,,,,,
2004-1-8,743299,666704,34679,12,0,11,,40544,,,,,,,,,,,,,
2004-1-2,746570,666402,38679,32,0,33,,40242,,,,,,,,,,,,,
2003-12-26,739526,666034,33179,33,0,37,,39810,,,,,,,,,,,,,
2003-12-18,731854,665893,25571,5,0,32,,39448,,,,,,,,,,,,,
2003-12-11,731209,665479,25893,13,0,24,,39037,,,,,,,,,,,,,
2003-12-4,734979,664689,30679,9,0,26,,38565,,,,,,,,,,,,,
2003-11-28,729194,663489,27393,5,0,42,,38192,,,,,,,,,,,,,
2003-11-20,727983,661953,24071,22,0,43,,40049,,,,,,,,,,,,,
2003-11-13,722260,660203,20464,3,0,48,,41048,,,,,,,,,,,,,
2003-11-6,725126,658803,24000,82,0,53,,40687,,,,,,,,,,,,,
2003-10-30,726848,657956,28071,19,0,71,,40823,,,,,,,,,,,,,
2003-10-23,721122,656615,24571,14,0,86,,40156,,,,,,,,,,,,,
2003-10-16,722887,656406,26393,4,0,98,,40258,,,,,,,,,,,,,
2003-10-9,715038,656232,19250,2,0,125,,39705,,,,,,,,,,,,,
2003-10-2,727180,656109,32107,23,0,155,,39389,,,,,,,,,,,,,
2003-9-25,717608,655980,22286,73,0,163,,38809,,,,,,,,,,,,,
2003-9-18,721688,655757,27893,4,0,158,,38087,,,,,,,,,,,,,
2003-9-11,715316,654515,22821,3,0,155,,37489,,,,,,,,,,,,,
2003-9-4,725331,653871,34429,9,0,157,,37323,,,,,,,,,,,,,
2003-8-28,715426,653634,24607,1,0,156,,36834,,,,,,,,,,,,,
2003-8-21,726540,653436,34071,719,66,152,,37243,,,,,,,,,,,,,
2003-8-14,711825,653062,17679,7,0,138,,40334,,,,,,,,,,,,,
2003-8-7,716002,652986,22500,21,0,133,,39856,,,,,,,,,,,,,
2003-7-31,713408,652833,20857,1,0,125,,40032,,,,,,,,,,,,,
2003-7-24,716729,652754,24250,4,0,115,,39545,,,,,,,,,,,,,
2003-7-17,715493,652528,22893,6,1,107,,39486,,,,,,,,,,,,,
2003-7-10,718451,652433,26000,8,0,91,,39236,,,,,,,,,,,,,
2003-7-3,719541,652152,28714,99,0,89,,39043,,,,,,,,,,,,,
2003-6-26,717692,651950,26321,322,0,84,,38986,,,,,,,,,,,,,
2003-6-19,713850,651773,23179,3,0,71,,38815,,,,,,,,,,,,,
2003-6-12,713231,651575,23286,2,0,61,,38374,,,,,,,,,,,,,
2003-6-5,716921,651192,27813,12,0,64,,38147,,,,,,,,,,,,,
2003-5-29,720486,650842,31857,2,0,57,,38116,,,,,,,,,,,,,
2003-5-22,711816,650393,24608,2,0,54,,37620,,,,,,,,,,,,,
2003-5-15,714343,647807,25644,2,0,49,,40855,,,,,,,,,,,,,
2003-5-8,708240,647409,20537,4,0,46,,40136,,,,,,,,,,,,,
2003-5-1,715838,647047,28751,0,0,29,,39811,,,,,,,,,,,,,
2003-4-24,709678,646842,23893,4,0,24,,39347,,,,,,,,,,,,,
2003-4-17,711299,645659,26821,16,0,20,,39046,,,,,,,,,,,,,
2003-4-10,704413,643930,21893,13,0,16,,38597,,,,,,,,,,,,,
2003-4-3,707835,641301,28464,4,0,7,,38642,,,,,,,,,,,,,
2003-3-27,698983,640119,19286,2,0,8,,38146,,,,,,,,,,,,,
2003-3-20,704886,639507,26500,9,0,8,,38026,,,,,,,,,,,,,
