date,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Repurchase agreements,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane II LLC,Reserve Bank credit,U.S. Treasury securities,Other credit extensions,Primary credit,Seasonal credit,Net portfolio holdings of Maiden Lance LLC,Primary dealer and other broker-dealer credit,Asset-backed Commercial paper money market Mutual Fund Liquidity Facility,Federal agency debt securities,Term Auction credit,Mortgage-backed securities,Secondary credit,"Credit extended to American International Group, Inc.",Other federal reserve assets,Central bank liquidity swaps,NON_BAILOUT_SUM
2002-11-21,,,19250,,,666088,,,,60,,,,,,,,,,,19310
2002-11-14,,,21000,,,666333,,,,66,,,,,,,,,,,21066
2002-11-7,,,10000,,,660583,,,,67,,,,,,,,,,,10067
2002-10-31,,,20500,,,662420,,,,98,,,,,,,,,,,20598
2002-10-24,,,7500,,,657667,,,,116,,,,,,,,,,,7616
2002-10-17,,,13750,,,661675,,,,124,,,,,,,,,,,13874
2002-10-10,,,7000,,,655648,,,,136,,,,,,,,,,,7136
2002-10-3,,,17250,,,661670,,,,171,,,,,,,,,,,17421
2002-9-26,,,15500,,,655957,,,,168,,,,,,,,,,,15668
2002-9-19,,,16750,,,657922,,,,162,,,,,,,,,,,16912
2002-9-12,,,18000,,,658198,,,,164,,,,,,,,,,,18164
2002-9-5,,,25000,,,665138,,,,177,,,,,,,,,,,25177
2002-8-29,,,16000,,,655650,,,,198,,,,,,,,,,,16198
2002-8-22,,,25250,,,658647,,,,191,,,,,,,,,,,25441
2002-8-15,,,16000,,,653477,,,,181,,,,,,,,,,,16181
2002-8-8,,,26000,,,657571,,,,179,,,,,,,,,,,26179
2002-8-1,,,19500,,,655498,,,,180,,,,,,,,,,,19680
2002-7-25,,,26750,,,658663,,,,183,,,,,,,,,,,26933
2002-7-18,,,19750,,,656753,,,,177,,,,,,,,,,,19927
2002-7-11,,,27000,,,658153,,,,167,,,,,,,,,,,27167
2002-7-5,,,26500,,,659792,,,,168,,,,,,,,,,,26668
2002-6-27,,,34250,,,656063,,,,162,,,,,,,,,,,34412
2002-6-20,,,20750,,,650788,,,,131,,,,,,,,,,,20881
2002-6-13,,,34500,,,650293,,,,106,,,,,,,,,,,34606
2002-6-6,,,22750,,,651310,,,,120,,,,,,,,,,,22870
2002-5-30,,,47425,,,655848,,,,129,,,,,,,,,,,47554
2002-5-23,,,23500,,,643814,,,,105,,,,,,,,,,,23605
2002-5-16,,,28251,,,645879,,,,95,,,,,,,,,,,28346
2002-5-9,,,19000,,,641535,,,,94,,,,,,,,,,,19094
2002-5-2,,,34500,,,647401,,,,67,,,,,,,,,,,34567
2002-4-25,,,21000,,,640408,,,,56,,,,,,,,,,,21056
2002-4-18,,,27200,,,644013,,,,48,,,,,,,,,,,27248
2002-4-11,,,23000,,,638804,,,,42,,,,,,,,,,,23042
2002-4-4,,,27500,,,642146,,,,26,,,,,,,,,,,27526
2002-3-28,,,24000,,,635208,,,,20,,,,,,,,,,,24020
2002-3-21,,,28550,,,637254,,,,20,,,,,,,,,,,28570
2002-3-14,,,24000,,,634224,,,,20,,,,,,,,,,,24020
2002-3-7,,,35249,,,636234,,,,14,,,,,,,,,,,35263
2002-2-28,,,31999,,,631999,,,,12,,,,,,,,,,,32011
2002-2-21,,,35749,,,636464,,,,16,,,,,,,,,,,35765
2002-2-14,,,25500,,,627844,,,,24,,,,,,,,,,,25524
2002-2-7,,,29500,,,629719,,,,16,,,,,,,,,,,29516
2002-1-31,,,32250,,,627628,,,,19,,,,,,,,,,,32269
2002-1-24,,,56500,,,631916,,,,17,,,,,,,,,,,56517
2002-1-17,,,30900,,,629104,,,,10,,,,,,,,,,,30910
2002-1-10,,,37500,,,631596,,,,12,,,,,,,,,,,37512
2002-1-3,,,49500,,,642801,,,,31,,,,,,,,,,,49531
2001-12-27,,,50250,,,633771,,,,36,,,,,,,,,,,50286
2001-12-20,,,37700,,,627352,,,,35,,,,,,,,,,,37735
2001-12-13,,,42500,,,619750,,,,34,,,,,,,,,,,42534
2001-12-6,,,28000,,,622763,,,,34,,,,,,,,,,,28034
2001-11-29,,,39350,,,621130,,,,33,,,,,,,,,,,39383
2001-11-23,,,36250,,,619225,,,,30,,,,,,,,,,,36280
2001-11-15,,,37755,,,616009,,,,31,,,,,,,,,,,37786
2001-11-8,,,27925,,,609350,,,,39,,,,,,,,,,,27964
2001-11-1,,,45050,,,617178,,,,54,,,,,,,,,,,45104
2001-10-25,,,30050,,,606621,,,,64,,,,,,,,,,,30114
2001-10-18,,,37045,,,614114,,,,67,,,,,,,,,,,37112
2001-10-11,,,33505,,,612383,,,,81,,,,,,,,,,,33586
2001-10-4,,,32755,,,613015,,,,83,,,,,,,,,,,32838
2001-9-27,,,51290,,,611281,,,,67,,,,,,,,,,,51357
2001-9-20,,,39600,,,672702,,,,95,,,,,,,,,,,39695
2001-9-13,,,61005,,,622845,,,,95,,,,,,,,,,,61100
2001-9-6,,,31215,,,608992,,,,114,,,,,,,,,,,31329
2001-8-30,,,24755,,,600643,,,,139,,,,,,,,,,,24894
2001-8-23,,,34265,,,601174,,,,164,,,,,,,,,,,34429
2001-8-16,,,27345,,,598605,,,,185,,,,,,,,,,,27530
2001-8-9,,,28495,,,597508,,,,179,,,,,,,,,,,28674
2001-8-2,,,27150,,,596369,,,,196,,,,,,,,,,,27346
2001-7-26,,,35050,,,595815,,,,193,,,,,,,,,,,35243
2001-7-19,,,16850,,,591877,,,,176,,,,,,,,,,,17026
2001-7-12,,,27500,,,591218,,,,161,,,,,,,,,,,27661
2001-7-5,,,20350,,,594211,,,,148,,,,,,,,,,,20498
2001-6-28,,,19505,,,587021,,,,138,,,,,,,,,,,19643
2001-6-21,,,13750,,,587618,,,,122,,,,,,,,,,,13872
2001-6-14,,,20500,,,585192,,,,106,,,,,,,,,,,20606
2001-6-7,,,19050,,,587753,,,,95,,,,,,,,,,,19145
2001-5-31,,,42380,,,590597,,,,86,,,,,,,,,,,42466
2001-5-24,,,23705,,,582087,,,,83,,,,,,,,,,,23788
2001-5-17,,,31747,,,584854,,,,88,,,,,,,,,,,31835
2001-5-10,,,15007,,,580014,,,,69,,,,,,,,,,,15076
2001-5-3,,,29257,,,586374,,,,41,,,,,,,,,,,29298
2001-4-26,,,16507,,,579177,,,,36,,,,,,,,,,,16543
2001-4-19,,,29264,,,581646,,,,40,,,,,,,,,,,29304
2001-4-12,,,18750,,,578408,,,,35,,,,,,,,,,,18785
2001-4-5,,,21500,,,580844,,,,18,,,,,,,,,,,21518
2001-3-29,,,15500,,,576109,,,,18,,,,,,,,,,,15518
2001-3-22,,,38550,,,581260,,,,22,,,,,,,,,,,38572
2001-3-15,,,17495,,,575113,,,,20,,,,,,,,,,,17515
2001-3-8,,,20940,,,577776,,,,21,,,,,,,,,,,20961
2001-3-1,,,23665,,,575148,,,,17,,,,,,,,,,,23682
2001-2-22,,,28765,,,577179,,,,17,,,,,,,,,,,28782
2001-2-15,,,17510,,,572674,,,,23,,,,,,,,,,,17533
2001-2-8,,,23985,,,572088,,,,19,,,,,,,,,,,24004
2001-2-1,,,18920,,,573712,,,,31,,,,,,,,,,,18951
2001-1-25,,,33000,,,577567,,,,23,,,,,,,,,,,33023
2001-1-18,,,22520,,,577838,,,,26,,,,,,,,,,,22546
2001-1-11,,,27875,,,578383,,,,36,,,,,,,,,,,27911
2001-1-4,,,30475,,,590853,,,,73,,,,,,,,,,,30548
2000-12-28,,,43985,,,584323,,,,112,,,,,,,,,,,44097
2000-12-21,,,25710,,,578291,,,,121,,,,,,,,,,,25831
2000-12-14,,,27260,,,572898,,,,124,,,,,,,,,,,27384
2000-12-7,,,22525,,,571915,,,,121,,,,,,,,,,,22646
2000-11-30,,,25630,,,573582,,,,148,,,,,,,,,,,25778
2000-11-24,,,24615,,,568034,,,,148,,,,,,,,,,,24763
2000-11-16,,,25795,,,566796,,,,155,,,,,,,,,,,25950
2000-11-9,,,11975,,,562411,,,,175,,,,,,,,,,,12150
2000-11-2,,,24940,,,563958,,,,240,,,,,,,,,,,25180
2000-10-26,,,9995,,,559523,,,,277,,,,,,,,,,,10272
2000-10-19,,,18843,,,561873,,,,301,,,,,,,,,,,19144
2000-10-12,,,11540,,,561709,,,,325,,,,,,,,,,,11865
2000-10-5,,,12375,,,562885,,,,367,,,,,,,,,,,12742
2000-9-28,,,12170,,,558798,,,,398,,,,,,,,,,,12568
2000-9-21,,,19885,,,562174,,,,384,,,,,,,,,,,20269
2000-9-14,,,11840,,,559373,,,,422,,,,,,,,,,,12262
2000-9-7,,,16680,,,562918,,,,531,,,,,,,,,,,17211
2000-8-31,,,11935,,,556838,,,,586,,,,,,,,,,,12521
2000-8-24,,,18330,,,557933,,,,565,,,,,,,,,,,18895
2000-8-17,,,10020,,,558157,,,,539,,,,,,,,,,,10559
2000-8-10,,,16850,,,557914,,,,540,,,,,,,,,,,17390
2000-8-3,,,11990,,,558836,,,,569,,,,,,,,,,,12559
2000-7-27,,,16955,,,558302,,,,549,,,,,,,,,,,17504
2000-7-20,,,14010,,,558319,,,,505,,,,,,,,,,,14515
2000-7-13,,,20020,,,560520,,,,484,,,,,,,,,,,20504
2000-7-6,,,23245,,,564938,,,,460,,,,,,,,,,,23705
2000-6-29,,,22975,,,559552,,,,461,,,,,,,,,,,23436
2000-6-22,,,20970,,,558964,,,,395,,,,,,,,,,,21365
2000-6-15,,,18110,,,557301,,,,352,,,,,,,,,,,18462
2000-6-8,,,17620,,,557277,,,,325,,,,,,,,,,,17945
2000-6-1,,,26395,,,560269,,,,356,,,,,,,,,,,26751
2000-5-25,,,12530,,,552640,,,,324,,,,,,,,,,,12854
2000-5-18,,,14620,,,556399,,,,260,,,,,,,,,,,14880
2000-5-11,,,14175,,,560586,,,,216,,,,,,,,,,,14391
2000-5-4,,,32515,,,568555,,,,179,,,,,,,,,,,32694
2000-4-27,,,39780,,,564005,,,,133,,,,,,,,,,,39913
2000-4-20,,,23775,,,559618,,,,103,,,,,,,,,,,23878
2000-4-13,,,18300,,,557297,,,,105,,,,,,,,,,,18405
2000-4-6,,,21555,,,558850,,,,88,,,,,,,,,,,21643
2000-3-30,,,18420,,,553961,,,,82,,,,,,,,,,,18502
2000-3-23,,,22855,,,556444,,,,71,,,,,,,,,,,22926
2000-3-16,,,25045,,,555117,,,,63,,,,,,,,,,,25108
2000-3-9,,,24060,,,554851,,,,64,,,,,,,,,,,24124
2000-3-2,,,24265,,,556770,,,,57,,,,,,,,,,,24322
2000-2-24,,,24255,,,557057,,,,52,,,,,,,,,,,24307
2000-2-17,,,21505,,,557694,,,,44,,,,,,,,,,,21549
2000-2-10,,,25280,,,555766,,,,29,,,,,,,,,,,25309
2000-2-3,,,19110,,,558386,,,,24,,,,,,,,,,,19134
2000-1-27,,,25105,,,565748,,,,27,,,,,,,,,,,25132
2000-1-20,,,34610,,,571881,,,,28,,,,,,,,,,,34638
2000-1-13,,,62895,,,589585,,,,31,,,,,,,,,,,62926
2000-1-6,,,91645,,,636928,,,,44,,,,,,,,,,,91689
1999-12-30,,,122870,,,618779,,,,78,,,,,,,,,,,122948
1999-12-23,,,73085,,,594453,,,,80,,,,,,,,,,,73165
1999-12-16,,,60665,,,584135,,,,60,,,,,,,,,,,60725
1999-12-9,,,47025,,,574563,,,,61,,,,,,,,,,,47086
1999-12-2,,,49505,,,573579,,,,65,,,,,,,,,,,49570
1999-11-26,,,41455,,,562987,,,,59,,,,,,,,,,,41514
1999-11-18,,,35320,,,561724,,,,59,,,,,,,,,,,35379
1999-11-12,,,27820,,,552242,,,,64,,,,,,,,,,,27884
1999-11-4,,,26580,,,550733,,,,115,,,,,,,,,,,26695
1999-10-28,,,20065,,,543576,,,,191,,,,,,,,,,,20256
1999-10-21,,,23550,,,544461,,,,224,,,,,,,,,,,23774
1999-10-14,,,15520,,,541214,,,,263,,,,,,,,,,,15783
1999-10-7,,,4011,,,539749,,,,283,,,,,,,,,,,4294
1999-9-30,,,,,,537415,,,,304,,,,,,,,,,,304
1999-9-23,,,,,,538437,,,,283,,,,,,,,,,,283
1999-9-16,,,,,,534635,,,,268,,,,,,,,,,,268
1999-9-9,,,,,,534587,,,,276,,,,,,,,,,,276
1999-9-2,,,,,,530337,,,,291,,,,,,,,,,,291
1999-8-26,,,,,,527424,,,,279,,,,,,,,,,,279
1999-8-19,,,,,,527957,,,,267,,,,,,,,,,,267
1999-8-12,,,,,,527812,,,,261,,,,,,,,,,,261
1999-8-5,,,,,,527523,,,,265,,,,,,,,,,,265
1999-7-29,,,,,,526240,,,,257,,,,,,,,,,,257
1999-7-22,,,,,,523417,,,,241,,,,,,,,,,,241
1999-7-15,,,,,,527231,,,,205,,,,,,,,,,,205
1999-7-8,,,,,,525718,,,,186,,,,,,,,,,,186
1999-7-1,,,,,,526643,,,,173,,,,,,,,,,,173
1999-6-24,,,,,,519197,,,,142,,,,,,,,,,,142
1999-6-17,,,,,,522569,,,,111,,,,,,,,,,,111
1999-6-10,,,,,,519709,,,,88,,,,,,,,,,,88
1999-6-3,,,,,,524681,,,,105,,,,,,,,,,,105
1999-5-27,,,,,,515213,,,,106,,,,,,,,,,,106
1999-5-20,,,,,,518977,,,,87,,,,,,,,,,,87
1999-5-13,,,,,,514492,,,,82,,,,,,,,,,,82
1999-5-6,,,,,,520501,,,,67,,,,,,,,,,,67
1999-4-29,,,,,,513046,,,,51,,,,,,,,,,,51
1999-4-22,,,,,,513586,,,,36,,,,,,,,,,,36
1999-4-15,,,,,,511928,,,,30,,,,,,,,,,,30
1999-4-8,,,,,,511083,,,,27,,,,,,,,,,,27
1999-4-1,,,,,,509538,,,,21,,,,,,,,,,,21
1999-3-25,,,,,,508381,,,,20,,,,,,,,,,,20
1999-3-18,,,,,,507626,,,,16,,,,,,,,,,,16
1999-3-11,,,,,,507167,,,,14,,,,,,,,,,,14
1999-3-4,,,,,,503908,,,,14,,,,,,,,,,,14
1999-2-25,,,,,,503737,,,,10,,,,,,,,,,,10
1999-2-18,,,,,,501332,,,,8,,,,,,,,,,,8
1999-2-11,,,,,,500970,,,,10,,,,,,,,,,,10
1999-2-4,,,,,,499067,,,,6,,,,,,,,,,,6
1999-1-28,,,,,,500951,,,,5,,,,,,,,,,,5
1999-1-21,,,,,,505971,,,,4,,,,,,,,,,,4
1999-1-14,,,,,,500534,,,,6,,,,,,,,,,,6
1999-1-7,,,,,,515752,,,,12,,,,,,,,,,,12
1998-12-31,,,,,,511015,,,,20,,,,,,,,,,,20
1998-12-24,,,,,,504289,,,,16,,,,,,,,,,,16
1998-12-17,,,,,,503135,,,,13,,,,,,,,,,,13
1998-12-10,,,,,,496035,,,,12,,,,,,,,,,,12
1998-12-3,,,,,,501454,,,,16,,,,,,,,,,,16
1998-11-27,,,,,,494178,,,,23,,,,,,,,,,,23
1998-11-19,,,,,,495256,,,,33,,,,,,,,,,,33
1998-11-12,,,,,,493079,,,,46,,,,,,,,,,,46
1998-11-5,,,,,,493934,,,,67,,,,,,,,,,,67
1998-10-29,,,,,,488266,,,,91,,,,,,,,,,,91
1998-10-22,,,,,,490871,,,,99,,,,,,,,,,,99
1998-10-15,,,,,,,,,,110,,,,,,,,,,,110
1998-10-8,,,,,,488464,,,,132,,,,,,,,,,,132
1998-10-1,,,,,,487952,,,,172,,,,,,,,,,,172
1998-9-24,,,,,,486056,,,,174,,,,,,,,,,,174
1998-9-17,,,,,,486775,,,,167,,,,,,,,,,,167
1998-9-10,,,,,,486298,,,,184,,,,,,,,,,,184
1998-9-3,,,,,,483860,,,,234,,,,,,,,,,,234
1998-8-27,,,,,,481047,,,,254,,,,,,,,,,,254
1998-8-20,,,,,,479882,,,,256,,,,,,,,,,,256
1998-8-13,,,,,,481990,,,,243,,,,,,,,,,,243
1998-8-6,,,,,,480678,,,,238,,,,,,,,,,,238
1998-7-30,,,,,,479153,,,,243,,,,,,,,,,,243
1998-7-23,,,,,,476932,,,,223,,,,,,,,,,,223
1998-7-16,,,,,,481522,,,,195,,,,,,,,,,,195
1998-7-9,,,,,,479440,,,,196,,,,,,,,,,,196
1998-7-2,,,,,,491832,,,,188,,,,,,,,,,,188
1998-6-25,,,,,,480511,,,,180,,,,,,,,,,,180
1998-6-18,,,,,,477649,,,,157,,,,,,,,,,,157
1998-6-11,,,,,,472597,,,,132,,,,,,,,,,,132
1998-6-4,,,,,,476574,,,,129,,,,,,,,,,,129
1998-5-28,,,,,,471997,,,,117,,,,,,,,,,,117
1998-5-21,,,,,,474000,,,,97,,,,,,,,,,,97
1998-5-14,,,,,,469128,,,,73,,,,,,,,,,,73
1998-5-7,,,,,,473803,,,,69,,,,,,,,,,,69
1998-4-30,,,,,,481445,,,,53,,,,,,,,,,,53
1998-4-23,,,,,,476170,,,,43,,,,,,,,,,,43
1998-4-16,,,,,,471730,,,,31,,,,,,,,,,,31
1998-4-9,,,,,,467625,,,,30,,,,,,,,,,,30
1998-4-2,,,,,,468282,,,,29,,,,,,,,,,,29
1998-3-26,,,,,,466556,,,,26,,,,,,,,,,,26
1998-3-19,,,,,,468414,,,,20,,,,,,,,,,,20
1998-3-12,,,,,,467527,,,,19,,,,,,,,,,,19
1998-3-5,,,,,,466373,,,,14,,,,,,,,,,,14
1998-2-26,,,,,,466237,,,,13,,,,,,,,,,,13
1998-2-19,,,,,,464706,,,,12,,,,,,,,,,,12
1998-2-12,,,,,,461319,,,,9,,,,,,,,,,,9
1998-2-5,,,,,,463131,,,,9,,,,,,,,,,,9
1998-1-29,,,,,,465445,,,,16,,,,,,,,,,,16
1998-1-22,,,,,,466496,,,,16,,,,,,,,,,,16
1998-1-15,,,,,,468372,,,,20,,,,,,,,,,,20
1998-1-8,,,,,,476867,,,,23,,,,,,,,,,,23
1998-1-2,,,,,,476190,,,,64,,,,,,,,,,,64
1997-12-26,,,,,,471597,,,,78,,,,,,,,,,,78
1997-12-18,,,,,,466694,,,,84,,,,,,,,,,,84
1997-12-11,,,,,,464043,,,,85,,,,,,,,,,,85
1997-12-4,,,,,,467322,,,,90,,,,,,,,,,,90
1997-11-28,,,,,,460748,,,,100,,,,,,,,,,,100
1997-11-20,,,,,,460894,,,,110,,,,,,,,,,,110
1997-11-13,,,,,,459449,,,,113,,,,,,,,,,,113
1997-11-6,,,,,,457793,,,,143,,,,,,,,,,,143
1997-10-30,,,,,,453544,,,,190,,,,,,,,,,,190
1997-10-23,,,,,,455299,,,,208,,,,,,,,,,,208
1997-10-16,,,,,,453978,,,,232,,,,,,,,,,,232
1997-10-9,,,,,,451412,,,,276,,,,,,,,,,,276
1997-10-2,,,,,,453327,,,,340,,,,,,,,,,,340
1997-9-25,,,,,,453087,,,,379,,,,,,,,,,,379
1997-9-18,,,,,,451587,,,,374,,,,,,,,,,,374
1997-9-11,,,,,,453121,,,,372,,,,,,,,,,,372
1997-9-4,,,,,,453918,,,,411,,,,,,,,,,,411
1997-8-28,,,,,,450803,,,,407,,,,,,,,,,,407
1997-8-21,,,,,,449091,,,,385,,,,,,,,,,,385
1997-8-14,,,,,,449622,,,,365,,,,,,,,,,,365
1997-8-7,,,,,,447624,,,,376,,,,,,,,,,,376
1997-7-31,,,,,,447422,,,,378,,,,,,,,,,,378
1997-7-24,,,,,,446368,,,,347,,,,,,,,,,,347
1997-7-17,,,,,,450727,,,,303,,,,,,,,,,,303
1997-7-10,,,,,,449886,,,,294,,,,,,,,,,,294
1997-7-3,,,,,,456522,,,,304,,,,,,,,,,,304
1997-6-26,,,,,,450268,,,,295,,,,,,,,,,,295
1997-6-19,,,,,,447544,,,,221,,,,,,,,,,,221
1997-6-12,,,,,,443436,,,,189,,,,,,,,,,,189
1997-6-5,,,,,,447838,,,,211,,,,,,,,,,,211
1997-5-29,,,,,,442688,,,,209,,,,,,,,,,,209
1997-5-22,,,,,,442278,,,,183,,,,,,,,,,,183
1997-5-15,,,,,,450198,,,,154,,,,,,,,,,,154
1997-5-8,,,,,,460930,,,,140,,,,,,,,,,,140
1997-5-1,,,,,,466380,,,,114,,,,,,,,,,,114
1997-4-24,,,,,,445849,,,,95,,,,,,,,,,,95
1997-4-17,,,,,,443088,,,,76,,,,,,,,,,,76
1997-4-10,,,,,,442191,,,,64,,,,,,,,,,,64
1997-4-3,,,,,,438627,,,,57,,,,,,,,,,,57
1997-3-27,,,,,,438441,,,,41,,,,,,,,,,,41
1997-3-20,,,,,,438287,,,,35,,,,,,,,,,,35
1997-3-13,,,,,,437364,,,,26,,,,,,,,,,,26
1997-3-6,,,,,,435211,,,,28,,,,,,,,,,,28
1997-2-27,,,,,,436009,,,,24,,,,,,,,,,,24
1997-2-20,,,,,,434448,,,,22,,,,,,,,,,,22
1997-2-13,,,,,,432568,,,,18,,,,,,,,,,,18
1997-2-6,,,,,,,,,,17,,,,,,,,,,,17
1997-1-30,,,,,,,,,,18,,,,,,,,,,,18
1997-1-23,,,,,,,,,,17,,,,,,,,,,,17
1997-1-16,,,,,,,,,,17,,,,,,,,,,,17
1997-1-9,,,,,,,,,,19,,,,,,,,,,,19
1997-1-2,,,,,,,,,,57,,,,,,,,,,,57
1996-12-26,,,,,,,,,,70,,,,,,,,,,,70
1996-12-19,,,,,,,,,,68,,,,,,,,,,,68
1996-12-12,,,,,,,,,,66,,,,,,,,,,,66
1996-12-5,,,,,,,,,,75,,,,,,,,,,,75
1996-11-29,,,,,,,,,,96,,,,,,,,,,,96
1996-11-21,,,,,,,,,,106,,,,,,,,,,,106
1996-11-14,,,,,,,,,,109,,,,,,,,,,,109
1996-11-7,,,,,,,,,,126,,,,,,,,,,,126
1996-10-31,,,,,,,,,,181,,,,,,,,,,,181
1996-10-24,,,,,,,,,,197,,,,,,,,,,,197
1996-10-17,,,,,,,,,,213,,,,,,,,,,,213
1996-10-10,,,,,,,,,,246,,,,,,,,,,,246
1996-10-3,,,,,,,,,,302,,,,,,,,,,,302
1996-9-26,,,,,,,,,,323,,,,,,,,,,,323
1996-9-19,,,,,,,,,,311,,,,,,,,,,,311
1996-9-12,,,,,,,,,,291,,,,,,,,,,,291
1996-9-5,,,,,,,,,,324,,,,,,,,,,,324
1996-8-29,,,,,,,,,,337,,,,,,,,,,,337
1996-8-22,,,,,,,,,,319,,,,,,,,,,,319
1996-8-15,,,,,,,,,,295,,,,,,,,,,,295
1996-8-8,,,,,,,,,,284,,,,,,,,,,,284
1996-8-1,,,,,,,,,,308,,,,,,,,,,,308
1996-7-25,,,,,,,,,,299,,,,,,,,,,,299
1996-7-18,,,,,,,,,,283,,,,,,,,,,,283
1996-7-11,,,,,,,,,,263,,,,,,,,,,,263
1996-7-5,,,,,,,,,,254,,,,,,,,,,,254
1996-6-27,,,,,,,,,,227,,,,,,,,,,,227
