Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,6086,Fort Smith Transit,Fort Smith,AR,"Fort Smith, AR-OK",248,55,"106,470",MB,DO,,,,,,,,,,,,"323,653","322,075","300,659","312,271","299,569","315,760","281,454"
2003,6087,"First Transit, Inc.",Houston,TX,"Houston, TX",10,"1,295","3,822,509",DR,DO,,,,,,,"5,053,195","5,083,880","5,106,073","4,752,406","5,646,871","6,113,815","6,074,139",,,,,
2003,6087,"First Transit, Inc.",Houston,TX,"Houston, TX",10,"1,295","3,822,509",MB,DO,,,,,,,"2,706,389","4,474,212","5,318,062","5,436,968","5,656,257","6,972,651","7,793,911",,,,,
2008,6088,Jefferson Parish Department of Transit Administration,Gretna,LA,"New Orleans, LA",37,198,"1,009,283",DR,PT,,,,,,,,,"560,394","469,571","473,507","456,064","470,575","454,320","362,242","306,386","347,796","328,278"
2008,6088,Jefferson Parish Department of Transit Administration,Gretna,LA,"New Orleans, LA",37,198,"1,009,283",MB,PT,,,,,,,,,"2,197,533","2,186,315","2,219,703","2,276,336","2,277,878","2,276,336","1,863,840","1,151,076","1,165,352","1,304,594"
2008,6090,Lower Rio Grande Valley Development Council,McAllen,TX,"McAllen, TX",70,314,"523,144",DR,DO,,,,,,,,,,,,,"10,154","50,452","31,364","212,045","113,836","182,939"
2008,6090,Lower Rio Grande Valley Development Council,McAllen,TX,"McAllen, TX",70,314,"523,144",DR,PT,,,,,,,,,,"3,130","14,480","59,208","45,782",,,,,
2008,6090,Lower Rio Grande Valley Development Council,McAllen,TX,"McAllen, TX",70,314,"523,144",MB,DO,,,,,,,,,,,,,"107,862","397,588","153,231","118,377","236,861","566,667"
2008,6090,Lower Rio Grande Valley Development Council,McAllen,TX,"McAllen, TX",70,314,"523,144",MB,PT,,,,,,,,,"205,044","363,287","385,007","372,391","310,859",,,,,
2008,6091,Hill Country Transit District,San Saba,TX,"Killeen, TX",177,64,"167,976",DR,DO,,,,,,,,,,,"332,467","483,567","435,265","457,811","450,690","537,443","1,343,093","1,574,245"
