Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,2128,Suburban Transit Corporation,New Brunswick,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,2129,"Rockland Coaches, Inc. ",Newark,NJ,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",,0,0,,,,,,,,,,,,,,
2007,2132,New Jersey Transit Corporation-45,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,2135,Monsey New Square Trails Corporation,Spring Valley,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2136,Queens Surface Corporation,Flushing,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2007,2137,Monroe Bus Corporation,Brooklyn,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982",,,,,,,,,,,,,,0,0,0,0
2007,2145,Tompkins Consolidated Area Transit,Ithaca,NY,"Ithaca, NY",421,30,"53,528",,,"1,933","16,592","17,413","300,916","10,561","13,624","7,722","12,122","299,110","220,558","24,332","8,071","24,918","156,554","206,649"
1993,2146,"Designated Recipient Services, Inc. ",Syracuse,NY,"Syracuse, NY",74,134,"388,918",,,,,,,,,,,,,,,,,
2006,2147,GTJC,Lynbrook,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,0,0,0,0,0,0,0,0,0,0,0,0,
2007,2148,Newburgh Beacon Bus Corporation,New Windsor,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982",,,,,,,,,,,,0,0,0,0,0,"182,934"
2007,2149,"Rockland Coaches, Inc.",Westwood,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,0,0,0,0,0,0,,0,0,0,0,0,0,0
2002,2154,New York Waterway,Weehawken,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,,,,0,,,,,
2007,2155,Cumberland County Office on Aging,Bridgeton,NJ,"Vineland, NJ",290,62,"88,724",,,,,,"2,825",0,0,0,0,0,0,0,0,0,"3,876",0
1996,2156,"Buffalo Motor Bus, Ltd. ",Buffalo,NY,"Buffalo--Niagara Falls, NY",34,286,"954,332",,,,,,0,,,,,,,,,,,
2007,2158,Tioga County,Owego,NY,"Binghamton, NY-PA",182,76,"158,884",,,,,,,0,0,0,0,0,"38,989",0,0,0,0,0
2007,2159,"Atlantic Paratrans of NYC, Inc.",Staten Island,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,0,0,0
2007,2160,"Community Transit, Inc. ",Paramus,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,0,0,0
2007,2161,DeCamp Bus Lines,Montclair,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,0,0,0
2003,2162,Lafeyette-Greenville IBOA,Jersey City,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,,,,
2007,2163,"Lakeland Bus Lines, Inc.",Dover,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,0,0,0
2004,2164,Leisure Line,Paramus,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,,,
2007,2165,"Olympia Trails Bus Company, Inc.",Elizabeth,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,0,0,0
2007,2166,"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,0,0,0
2002,2167,South Orange Avenue IBOA ,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,,,,,
2007,2168,Trans-Hudson Express,Jersey City,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,0,0,0
2007,2169,"Trans-Bridge Lines, Inc. ",Bethlehem,PA,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,0,0,0,0,0,0,0,0,0,0
2001,2170,"Vanpool of New Jersey, Inc. ",Newark,NJ,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",,,,,,,,,0,0,0,,,,,,
2007,2171,"Private One of New York, LLC, dba: New York Airport Service",Brooklyn,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,0,0,0,0,0,0,0,0,0
2007,2172,"Centro of Oswego, Inc.",Syracuse,NY,"Syracuse, NY",81,180,"402,267",,,,,,,,,0,0,"68,585",0,0,148,0,0,0
2006,2173,"American Transit, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,0,0,0,0,0,0,0,0,
2007,2175,Private Transportation Corporation,Brooklyn,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,,,0,0,0,0,0,0,0
2007,2177,"Adirondack Transit Lines, Inc,",Hurley,NY,"Kingston, NY",424,34,"53,458",,,,,,,,,,,,"3,864,000","1,294,653",0,0,"255,185","785,122"
2007,2178,Ulster County Area Transit,Kingston,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982",,,,,,,,,,,,"60,576","73,720","111,398","621,176","13,606","2,644"
2007,2179,"Hendrick Hudson Bus Lines, Inc.",Newburgh,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982",,,,,,,,,,,,0,0,0,0,0,0
2006,2180,Atlantic Express,Staten Island,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,,,,,0,0,0,0,
2005,2181,Roosevelt Island Operating Corporation,Roosevelt Island,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,,,,,0,0,,,
2007,2182,Town of Highlands Dial-A-Bus,Highland Falls,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982",,,,,,,,,,,,,,0,0,0,0
2007,2183,Town of Monroe Dial-A-Bus,Monroe,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982",,,,,,,,,,,,,,0,0,0,0
2007,2185,"Centro of Oneida, Inc.",Syracruse,NY,"Utica, NY",233,55,"113,409",,,,,,,,,,,,,,,,0,0
2007,2187,Village of Kiryas Joel,Monroe,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982",,,,,,,,,,,,,,,,"33,000",0
2007,2188,MTA Bus Company,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,,,,,,,0,0,"1,932,547"
2007,2189,"BillyBey Ferry Company, LLC",New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,,,,,,,,,0
2007,2190,Port Imperial Ferry Corporation dba NY Waterway,Weehawken,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,,,,,,,,,,,,,,0
1995,2909,"Upstate Transit, Inc. ",Saratoga Springs,NY,"Albany--Schenectady--Troy, NY",59,209,"509,106",,,,0,0,,,,,,,,,,,,
1991,2914,"Empire Trailways, Inc. ",Rochester,NY,"Rochester, NY",48,220,"619,653",,,,,,,,,,,,,,,,,
1991,2916,"Yankee Trails, Inc. ",Rensselaer,NY,"Albany--Schenectady--Troy, NY",59,209,"509,106",,,,,,,,,,,,,,,,,
1999,2918,"Carey Transportation, Inc. ",New Haven,CT,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",,,0,"414,906","578,741",0,0,0,0,,,,,,,,
1991,2919,"Erin Tours, Inc. ",Brooklyn,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",,,,,,,,,,,,,,,,,
1994,2920,"Metro Apple Express, Inc. ",Brooklyn,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",,,0,0,,,,,,,,,,,,,
1995,2922,"Niagara Scenic Bus Lines, Inc. ",Hamburg,NY,"Buffalo--Niagara Falls, NY",34,286,"954,332",,,,,,,,,,,,,,,,,
1993,2923,Rockland Coaches Inc. ,Bergenfield,NJ,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",,,,,,,,,,,,,,,,,
2007,3001,Kanawha Valley Regional Transportation Authority,Charleston,WV,"Charleston, WV",166,113,"182,991","26,360","23,540","472,776","115,491","51,060","333,794","213,610","641,682","306,553","808,707","182,450","423,997","284,304","1,414,090","82,642","87,573","347,262"
2007,3002,The Tri-State Transit Authority,Huntington,WV,"Huntington, WV-KY-OH",171,107,"177,550","8,351","55,506","18,526","135,346","134,917","162,559","64,815","731,822","250,101","106,399","422,202","873,984","626,663","61,284","36,839","127,014","268,595"
2007,3003,Mid-Ohio Valley Transit Authority,Parkersburg,WV,"Parkersburg, WV-OH",297,50,"85,605","3,548","5,600","4,138","9,350",,,,,,"59,190",0,"370,984",0,,,,
1999,3004,Peninsula Transportation District Commission,Hampton,VA,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098","43,092","614,654","136,032","478,109","781,632","868,063","140,004","391,698","1,418,287",,,,,,,,
1999,3005,Tidewater Transportation District Commission,Norfolk,VA,"Norfolk--Virginia Beach--Newport News, VA",24,664,"1,323,098","268,359","279,280","687,329","171,976","808,485","1,293,147","2,526,290","679,199","1,038,589",,,,,,,,
2007,3006,Greater Richmond Transit Company,Richmond,VA,"Richmond, VA",46,437,"818,836","268,993","10,428",0,"47,268","45,941","55,023","1,009,067","432,519","1,403,672","796,091","1,565,700","485,152","210,216","1,006,734","228,086","501,579","445,443"
2007,3007,Greater Roanoke Transit Company,Roanoke,VA,"Roanoke, VA",152,112,"197,442",0,"250,000","13,132","16,669","230,362",0,"4,731","24,944","23,420","42,216","35,711",0,"30,414","400,145","108,309","123,351","282,053"
2007,3008,Greater Lynchburg Transit Company,Lynchburg,VA,"Lynchburg, VA",261,75,"98,714",0,"23,831","119,429",927,653,"158,523","43,404","306,828","40,727","23,965","26,423","162,435","10,303","17,564","76,981","28,721","129,798"
2007,3009,Petersburg Area Transit,Petersburg,VA,"Richmond, VA",46,437,"818,836",0,"291,266",,600,"4,020","2,331","6,631","66,055","6,742","6,660","16,952","42,110","7,673","108,731","10,839","89,297","96,357"
2007,3010,Lehigh and Northampton Transportation Authority,Allentown,PA,"Allentown-Bethlehem, PA-NJ",58,290,"576,408","46,909","73,956","102,767","54,194","130,736","190,577","32,391","49,299","238,337","77,900","69,247","319,938","94,517","73,911","164,355","54,070","147,286"
2007,3011,Altoona Metro Transit,Altoona,PA,"Altoona, PA",304,38,"82,520",902,"3,556","76,227","6,799","9,802","6,869","7,087","8,105","10,757","35,264","29,745","6,503","3,964","9,024","66,969","8,784","11,378"
2007,3012,Cambria County Transit Authority,Johnstown,PA,"Johnstown, PA",319,43,"76,113","207,675","15,972","15,888","99,444","29,847","4,811","35,811","16,410","16,017","102,747","37,744","8,689","46,210","25,476","31,910","41,891","79,175"
2007,3013,Erie Metropolitan Transit Authority,Erie,PA,"Erie, PA",156,79,"194,804","98,298","27,773","30,172","12,344","80,395","30,766","149,364","4,166","117,868","71,447","89,493","301,877","58,262","50,339","11,483","122,636","12,831"
2007,3014,Capital Area Transit,Harrisburg,PA,"Harrisburg, PA",87,208,"362,782","73,185","8,855","30,762","5,233","4,950","72,547","15,685","76,758","20,745","43,964","20,852","268,248","42,715","74,840","265,605","69,698","316,598"
2007,3015,Luzerne County Transportation Authority,Kingston,PA,"Scranton, PA",84,159,"385,237","8,400","10,660","22,053","15,405","1,044","30,476","45,403","106,980","50,228","4,715","18,285","25,986","87,022","195,741","254,363","105,610","38,059"
2007,3018,Red Rose Transit Authority,Lancaster,PA,"Lancaster, PA",97,199,"323,554","55,218","15,660","28,012","134,390","22,646","61,622","95,037","217,504","68,117","78,416","53,682","95,735","221,510","227,436","410,244","44,902","124,876"
2007,3019,Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,"Philadelphia, PA-NJ-DE-MD",4,"1,800","5,149,079","48,351,324","20,557,103","15,790,718","21,411,931","8,691,956","8,032,815","50,168,657","69,315,725","127,544,954","38,999,005","23,678,407","39,272,955","9,361,417","25,720,499","10,180,902","7,636,458","20,076,491"
2007,3022,Port Authority of Allegheny County,Pittsburgh,PA,"Pittsburgh, PA",22,852,"1,753,136","1,769,378","5,354,397","1,846,179","2,849,953","2,136,442","2,667,903","3,627,184","2,789,167","3,107,485","6,284,798","1,424,196","87,250,361","4,164,246","28,080,706","5,035,811","1,423,440","3,663,187"
2007,3023,Beaver County Transit Authority,Rochester,PA,"Pittsburgh, PA",22,852,"1,753,136","78,163","21,327","1,031","30,638","32,968","66,128","74,159","124,388","32,208","196,181","218,717","241,830","60,838","9,169","54,902","21,684","4,622"
2007,3024,Berks Area Reading Transportation Authority,Reading,PA,"Reading, PA",130,101,"240,264","588,512","59,424","109,402","313,193","25,782","61,918","70,411","40,831","71,389","17,827","165,878","75,184","79,183","87,976","253,417","205,519","113,908"
2007,3025,County of Lackawanna Transit System,Scranton,PA,"Scranton, PA",84,159,"385,237","2,594","13,712","2,807","31,199","11,898","5,879","23,465","11,329","19,284","113,595","208,378","18,808","63,844","7,212","31,530","70,705","63,346"
2007,3026,Williamsport Bureau of Transportation,Williamsport,PA,"Williamsport, PA",386,27,"58,693","116,542","15,081","9,449","105,052","53,905","11,117","41,079","37,537","89,032","178,872","125,177","4,732","46,095","25,020","5,055","57,088","15,067"
2007,3027,York County Transportation Authority,York,PA,"York, PA",158,119,"192,903","18,166","67,040","115,889","52,833",,"11,139","29,897","1,294","13,676","17,610","130,483","22,127","36,484","2,238","5,579","79,355","26,471"
2007,3030,Washington Metropolitan Area Transit Authority,Washington,DC,"Washington, DC-VA-MD",8,"1,157","3,933,920","56,491,503","39,379,796","48,820,020","60,304,325","154,196,567","55,163,371","78,666,587","78,691,721","61,563,463","54,039,526","73,313,746","110,921,897","54,427,720","163,444,498","39,195,770","97,189,018","311,191,177"
1995,3031,Delaware Administration for Regional Transit,Dover,DE,"Wilmington, DE--NJ--MD--PA",68,188,"449,616",0,0,0,0,0,,,,,,,,,,,,
1995,3032,Delaware Administration for Specialized Transportation,Dover,DE,"Dover, DE",392,38,"50,787",0,0,0,0,0,,,,,,,,,,,,
2007,3034,Maryland Transit Administration,Baltimore,MD,"Baltimore, MD",18,683,"2,076,354","10,066,902","5,189,155","10,086,432","5,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0
2007,3035,Ohio Valley Regional Transportation Authority,Wheeling,WV,"Wheeling, WV-OH",294,54,"87,613","20,472","23,014","31,634","63,410","167,513","102,902","533,973","1,964,889","731,491","74,374","200,736","32,431","36,836","48,112","30,799","8,211","14,902"
2007,3036,Charlottesville Transit Service,Charlottesville,VA,"Charlottesville, VA",305,37,"81,449","7,561","20,799","3,583","4,040","9,850","10,735","87,270","348,043","17,613","133,144","41,793","136,140","16,733","75,561","90,937","14,243","64,862"
2007,3040,Annapolis Department of Transportation,Annapolis,MD,"Baltimore, MD",18,683,"2,076,354","3,275",0,417,"1,302","138,225","15,048","6,249","11,070","10,276","18,316","21,329","147,744","6,887","26,927","73,682","87,719","98,407"
2007,3041,Allegany County Transit,Cumberland,MD,"Cumberland, MD--WV",453,47,"52,115","18,765",0,876,,,,,,,,,,,,,"55,922",0
2007,3042,Washington County Transportation Department,Hagerstown,MD,"Hagerstown, MD-WV-PA",221,77,"120,326","3,327","3,327",0,"1,479","112,218","37,359","6,420","2,812","26,136","3,791","9,151","2,299","7,448","3,756","18,969","24,504","7,712"
1996,3043,The Columbia Transit System ,Columbia,MD,"Baltimore, MD",17,593,"1,889,873",0,"69,580",0,0,0,,,,,,,,,,,,
2007,3044,Westmoreland County Transit Authority,Greensburg,PA,"Pittsburgh, PA",22,852,"1,753,136","8,026","2,033","44,531","2,007","10,760","5,388",267,"64,634","72,300",36,360,333,"6,875","53,751","2,232","73,176","1,327"
1995,3045,"JAUNT, Inc. ",Charlottesville,VA,"Charlottesville, VA",307,27,"67,553","11,488","11,889","75,103","17,560","58,244",,,,,,,,,,,,
1992,3046,Maryland State Railroad Administration,BWI Airport,MD,"Baltimore, MD",17,593,"1,889,873",0,0,,,,,,,,,,,,,,,
1995,3047,Delaware Transit Corporation ,Doverngton,DE,"Wilmington, DE--NJ--MD--PA",68,188,"449,616",0,,0,0,0,,,,,,,,,,,,
2007,3048,Howard Transit,Laurel,MD,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,,,,,,0,0,"42,250","31,000","647,338","29,900","55,377","29,875","13,000","13,000"
2007,3050,"G G and C Bus Company, Inc.",Washington,PA,"Pittsburgh, PA",22,852,"1,753,136","21,072",0,"10,919","5,215","4,374","5,052","18,079","3,663","6,841","2,859","22,831","6,325","9,330","14,448","2,069","31,009","9,703"
2007,3051,Ride-On Montgomery County Transit,Rockville,MD,"Washington, DC-VA-MD",8,"1,157","3,933,920",0,"1,818,269","1,512,331","7,705,818","904,000","2,211,440",0,"1,105,720",0,"4,133,305","449,872",0,"1,771,701",0,0,"1,024,909","6,534,398"
2007,3054,Centre Area Transportation Authority,State College,PA,"State College, PA",334,21,"71,301","49,168","5,187","10,000","-1,285","7,220","148,526","97,425","119,300","16,026","23,788","135,946","27,194","35,038","41,242","34,724","12,412","33,434"
2007,3055,Shenango Valley Shuttle Service,Hermitage,PA,"Youngstown, OH-PA",80,228,"417,437",,,,,,,,,,,,,"11,361","5,655","5,096","1,858","2,361"
2007,3057,Pennsylvania Department of Transportation,Harrisburg,PA,"Philadelphia, PA-NJ-DE-MD",4,"1,800","5,149,079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,3058,City of Fairfax CUE Bus,Fairfax,VA,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,,,,,,0,0,"3,000",0,"352,526","1,808,498","368,422","72,375",0,0
2007,3061,Mid Mon Valley Transit Authority,Charleroi,PA,"Monessen, PA",405,37,"56,508",,"22,655","5,612","3,028","4,182","23,686","13,698","51,754","17,673","86,093","32,731","45,933","48,701","77,872","48,287","174,071","51,599"
1992,3064,Clarksville Transit System ,Clarksville,TN,"Clarksville, TN-KY",230,87,"97,581",,"187,817",,,,,,,,,,,,,,,
2007,3067,Access Transportation Systems,Pittsburgh,PA,"Pittsburgh, PA",22,852,"1,753,136",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,3068,Fairfax Connector Bus System,Fairfax,VA,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,0,0,"1,652,080","1,359,151",,"1,765,166","8,840,024","5,035,275","15,380,449","2,436,898","4,065,214","671,973","2,540,913","16,889,912","21,256,626"
2007,3069,City of Danville Mass Transit System,Danville,VA,"Danville, VA",443,33,"50,902",,,"38,187",0,"37,338","22,243","22,760","22,314","19,429","7,592","2,876","2,931","18,008","19,175","48,865","4,547","115,566"
2007,3070,Potomac and Rappahannock Transportation Commission,Woodbridge,VA,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,0,0,"6,602","115,000","2,342,096",0,"185,313","144,567","742,339",0,0,0,"1,530,480","324,696","2,092,317"
2007,3071,City of Alexandria - Alexandria Transit Company,Alexandria,VA,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,,,,,,"162,848","3,450,759","1,724,176","2,598,650","116,352","65,950","2,284,064","3,679,684","410,097","1,304,681"
2007,3072,Transit Services of Frederick County,Frederick,MD,"Frederick, MD",224,79,"119,144",,,,,"14,323","7,644","9,686","210,643","70,506",0,695,"23,637","128,630","195,782","281,656","28,423","31,940"
2007,3073,Virginia Railway Express,Alexandria,VA,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,"13,654,490","4,919,331","6,348,877","6,492,898","5,558,331","8,414,021","9,047,646","4,934,093","3,667,900","699,375","457,149","1,593,957",0,"1,007,440","21,895,047"
2007,3074,Harford Transit,Abingdon,MD,"Aberdeen-Havre de Grace-Bel Air, MD",173,102,"174,598",,,,,"4,839",0,"130,886","56,286","69,433","101,558","172,802","43,642","79,907","35,120","5,211","24,556","25,526"
2007,3075,Delaware Transit Corporation,Dover,DE,"Philadelphia, PA-NJ-DE-MD",4,"1,800","5,149,079",,,,,,,0,0,0,0,0,0,0,0,0,0,0
2007,3076,Williamsburg Area Transport,Williamsburg,VA,"Virginia Beach, VA",27,527,"1,394,439",,,,,,0,0,0,"2,836","12,819","19,394","48,495",0,"3,628","30,160","11,477","266,322"
2007,3078,Southwestern Pennsylvania Commission,Pittsburgh,PA,"Pittsburgh, PA",22,852,"1,753,136",,,,,,,,,,0,0,0,0,0,0,0,0
2007,3079,Fredericksburg Regional Transit,Fredericksburg,VA,"Fredericksburg, VA",264,65,"97,102",,,,,,,,,,,,,0,"39,650","21,000","27,538","383,431"
2006,3080,Arlington Transit - Arlington County,Arlington,VA,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,,,,,,0,,,,,,"436,674",,0,
2007,3081,Loudoun County Commuter Bus Service - Office of Transportation Services,Leesburg,VA,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,,,,,,0,0,0,0,0,0,"3,726,000","309,593",0,"1,654,054"
2001,3082,"Atlantic Paratrans of PA, Inc. ",Philadelphia,PA,"Philadelphia, PA--NJ",4,"1,164","4,222,211",,,,,,,,0,0,0,0,,,,,,
2007,3083,"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,"Virginia Beach, VA",27,527,"1,394,439",,,,,,,,,,"1,209,783","1,152,755","1,248,122","1,141,561","1,101,505","563,585","497,702","510,632"
2003,3084,University of Pittsburgh,Pittsburgh,PA,"Pittsburgh, PA",22,852,"1,753,136",,,,,,,,,0,0,0,0,0,,,,
2007,3085,Prince George's County Transit,Largo,MD,"Washington, DC-VA-MD",8,"1,157","3,933,920",,,,,,,,,,,,,0,"316,513","661,485","1,803,769","3,937,785"
2007,3087,Fayette Area Coordinated Transportation,Lemont Furnace,PA,"Uniontown-Connellsville, PA",389,45,"58,442",,,,,,,,,,,,,0,,"118,940","131,860","23,264"
2007,3088,"County Commissioners of Charles County, MD",Port Tobacco,MD,"St. Charles, MD",324,46,"74,765",,,,,,,,,,,,,,0,"4,650","2,803","433,371"
2007,3089,Monongalia County Urban Transit,Morgantown,WV,"Morgantown, WV",408,34,"55,997",,,,,,,,,,,,,,,0,0,0
2007,3091,Blacksburg Transit,Blacksburg,VA,"Blacksburg, VA",402,26,"57,236",,,,,,,,,,,,,,,0,0,0
2007,3092,Carroll County Planning Department,Westminster,MD,"Westminster, MD",361,53,"65,034",,,,,,,,,,,,,,,227,"5,801","2,382"
2007,3094,City of Harrisonburg Department of Public Transportation,Harrisonburg,VA,"Harrisonburg, VA",431,27,"52,647",,,,,,,,,,,,,,,"232,818","17,456","86,398"
2007,3095,County of Lebanon Transit Authority,Lebanon,PA,"Lebanon, PA",366,30,"63,681",,,,,,,,,,,,,,,,"34,919","27,021"
2007,3096,The Tri--County Council for the Lower Eastern Shore,Snow Hill,MD,"Salisbury, MD-DE",383,43,"59,426",,,,,,,,,,,,,,,0,0,"15,049"
2007,4001,Chattanooga Area Regional Transportation Authority,Chattanooga,TN,"Chattanooga, TN-GA",90,290,"343,509","36,020","111,372","358,889","947,683","459,104","981,091","282,723","307,946","323,145","341,101","451,235","662,355","251,245","240,635","150,464","409,250","234,774"
2007,4002,Knoxville Area Transit,Knoxville,TN,"Knoxville, TN",78,339,"419,830","56,989","55,747","121,282","80,480","48,195","115,143","624,048","208,482","254,358","304,289","345,858","358,710","651,518","880,591","744,907","200,356","53,872"
2007,4003,Memphis Area Transit Authority,Memphis,TN,"Memphis, TN-MS-AR",39,400,"972,091","552,708","2,137,854","1,007,688","221,647","909,362","456,054","1,127,876","2,526,224","1,273,535","2,227,818","815,181","2,354,557","4,376,231","2,073,901","537,279","866,812","255,256"
2007,4004,Metropolitan Transit Authority,Nashville,TN,"Nashville-Davidson, TN",48,431,"749,935","99,128","672,596","355,415","140,626","140,153","117,896","281,835","701,189","1,066,634","767,349","1,009,269","145,945","502,369","6,206,046","14,050,310","7,686,449","7,297,074"
2007,4005,Asheville Transit System,Asheville,NC,"Asheville, NC",137,207,"221,570",,"4,139",0,"1,416","3,815","359,589",0,"100,050","43,786","2,955","65,735","302,279","15,036","311,719","111,414","123,391","172,778"
2007,4006,Cape Fear Public Transportation Authority,Wilmington,NC,"Wilmington, NC",179,119,"161,149","179,349","14,783",611,"3,911","5,239","1,187","11,494","15,464","13,829","57,152","17,701",0,"365,162","512,897","59,542",0,"111,454"
2007,4007,Capital Area Transit,Raleigh,NC,"Raleigh, NC",66,320,"541,527","22,758","5,263","14,849","50,018","57,680","95,027","449,611","58,115","459,051","330,313","662,046","18,526","536,876","36,681","430,278","164,494","18,143"
2007,4008,Charlotte Area Transit System,Charlotte,NC,"Charlotte, NC-SC",47,435,"758,927","286,646","1,379,219","152,870","68,021","407,500","337,217","1,393,953","4,560,500","1,841,085","12,311,867","2,352,685",0,"18,497,513",0,0,"108,417,345","59,453,918"
2007,4009,Fayetteville Area System of Transit,Fayetteville,NC,"Fayetteville, NC",114,167,"276,368","8,378","20,440","28,435","38,569","75,808","17,427","79,955","96,706","225,718","43,107","99,196","32,644","10,438","9,734","20,621","10,990","31,973"
2007,4010,Gastonia Transit,Gastonia,NC,"Gastonia, NC",199,119,"141,407","2,770","14,799","103,870",0,,,,,,,,,,,,,
2007,4011,High Point Transit,High Point,NC,"High Point, NC",205,94,"132,844","250,449","13,401","12,262","4,714","6,411","5,353","3,962","15,630","11,327","12,530","11,981","27,976","8,706","57,128","459,564","52,666","56,820"
2007,4012,Winston-Salem Transit Authority - Trans-Aid of Forsyth County,Winston-Salem,NC,"Winston-Salem, NC",106,251,"299,290","29,284","79,748","120,131","118,735","141,987","459,169","964,297","86,925","166,129","93,300","649,712","268,244","32,989","103,118","31,646","155,336","442,573"
1992,4013,Greensboro Agency Transportation Express,Greensboro,NC,"Greensboro, NC",127,92,"194,508","9,535","4,069",,,,,,,,,,,,,,,
2007,4014,Coast Transit Authority,Gulfport,MS,"Gulfport-Biloxi, MS",147,135,"205,754","17,473","12,434","353,594",,"170,055","118,320",0,"112,120","113,120","202,881","75,913","15,658","1,498,023","630,257",0,0,"432,102"
2007,4015,City of Jackson Transit System ,Jackson,MS,"Jackson, MS",108,161,"292,637","29,397","73,406",0,"82,726",0,0,"67,895","368,976","214,748","691,738","3,040,010",0,0,0,0,0,0
2007,4016,Ashland Bus System,Ashland,KY,"Huntington, WV-KY-OH",171,107,"177,550",,"15,730",,,,,,,,,,,,,,,
2007,4017,Lexington Transit Authority,Lexington,KY,"Lexington-Fayette, KY",126,70,"250,994","27,264","190,016","10,594","12,675","8,432","49,317","56,380","195,223","650,700","56,993","602,412","14,704","159,900","472,508","257,819","10,101","2,356"
2007,4018,Transit Authority of River City,Louisville,KY,"Louisville, KY-IN",44,391,"863,582","-317,950","221,800","366,406","1,775,106","107,971","1,135,285","1,274,637","826,976","2,274,077","2,417,767","2,092,360","2,594,740","3,461,240","281,112","968,945","348,183","236,360"
2007,4019,Transit Authority of Northern Kentucky,Fort Wright,KY,"Cincinnati, OH-KY-IN",26,672,"1,503,262","64,757","300,158","1,525,395","130,886","470,894","28,056","6,476","495,811","256,918","26,000","446,131","192,663","485,217","83,735","356,648","658,028","447,032"
